Dataset:              Benthic Infauna Community Summary
File Name:            CP_BEN_C.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       318
Missing Value Symbol: .

Variables:    STA_NAME     CPO Sampling Station Code
              DATE         Sample collection date (YYMMDD)
              N_GRABS      Number of grabs
              I_TAXA       Mean number of infaunal taxa per grab
              I_ORGS       Mean infaunal abundance per grab
              I_HPRIME     Mean inf. H prime diversity per grab

STA_NAME;DATE;N_GRABS;I_TAXA;I_ORGS;I_HPRIME
CP94001;940815;2;54.00;573.00;3.76
CP94002;940815;2;3.00;6.50;1.36
CP94003;940816;2;77.00;1229.50;4.07
CP94004;940816;2;40.50;418.50;3.60
CP94005;940802;2;31.50;281.00;3.69
CP94006;940803;2;26.50;112.50;3.34
CP94007;940816;2;35.50;321.00;4.09
CP94008;940803;2;34.50;234.50;4.19
CP94009;940801;2;23.50;216.50;3.24
CP94010;940817;2;15.00;265.50;1.50
CP94011;940817;2;28.00;174.50;3.76
CP94012;940818;2;40.50;322.50;3.92
CP94013;940818;2;50.00;417.00;4.13
CP94014;940818;2;29.00;235.00;3.76
CP94015;.;0;.;.;.
CP94016;940808;2;4.00;11.50;1.53
CP94017;940809;2;2.00;8.50;0.75
CP94018;940811;2;13.50;89.50;2.11
CP94019;940811;2;51.50;176.50;4.78
CP94020;940803;4;34.25;161.00;3.92
CP94021;940802;3;46.00;338.00;3.82
CP94022;940817;3;8.00;24.00;2.72
CP94023;940815;2;38.00;154.50;4.36
CP94024;940818;2;23.00;229.50;3.09
CP94025;940818;2;11.00;23.00;2.95
CP94026;940819;2;21.50;527.00;1.62
CP94027;940825;2;7.00;18.50;2.50
CP94028;940727;0;.;.;.
CP94029;940726;2;30.00;255.50;3.55
CP94030;940719;2;25.50;179.00;3.37
CP94031;940701;2;21.50;113.00;3.56
CP94032;940728;2;28.50;136.00;4.08
CP94033;940728;2;20.50;80.50;3.51
CP94034;940706;2;10.00;84.00;2.50
CP94035;940706;2;17.50;165.00;2.80
CP94036;940823;3;2.33;2.33;1.19
CP94037;940810;2;22.50;115.00;3.78
CP94038;940707;2;8.50;252.00;1.00
CP94039;940810;2;10.50;219.50;1.63
CP94040;940823;2;4.50;15.50;1.76
CP94041;940810;2;8.50;32.00;2.69
CP94042;940810;2;21.00;168.00;3.16
CP94043;940823;2;2.00;8.00;0.52
CP94044;940809;2;16.50;107.00;2.65
CP94045;940809;2;26.50;175.50;3.58
CP94046;940817;2;18.00;58.50;3.53
CP94047;940816;2;6.00;194.00;1.22
CP94048;940818;2;2.00;2.50;0.79
CP94049;940817;2;10.50;48.50;2.48
CP94050;940818;2;6.50;20.00;2.50
CP94051;940816;2;1.00;1.00;0.00
CP94052;940816;3;0.00;0.00;0.00
CP94053;940816;2;3.00;91.50;0.60
CP94054;940819;2;7.50;193.00;1.83
CP94055;940802;2;12.00;112.50;2.84
CP94056;940808;2;14.50;92.50;2.82
CP94057;940802;2;23.00;276.00;2.72
CP94058;940807;2;14.00;77.50;3.21
CP94059;940808;2;15.00;50.50;3.31
CP94060;940806;2;10.00;110.50;2.48
CP94061;940717;2;8.50;82.50;1.76
CP94062;940716;2;3.50;12.00;1.45
CP94063;940716;2;7.00;31.00;2.48
CP94064;940715;2;3.50;8.50;1.73
CP94065;940715;2;7.00;77.00;1.74
CP94066;940717;2;2.00;20.00;0.91
CP94067;940717;2;8.50;327.50;1.28
CP94068;940714;2;10.00;161.00;2.28
CP94069;940715;2;4.00;70.50;0.56
CP94070;940714;2;7.50;53.50;1.95
CP94071;940713;3;11.00;238.33;2.19
CP94072;940712;2;7.50;91.00;1.68
CP94073;940825;2;47.50;344.50;4.47
CP94074;940824;2;35.50;279.50;3.50
CP94075;940823;4;40.25;288.00;4.08
CP94076;940811;2;18.50;884.50;1.84
CP94077;940812;2;4.50;27.00;1.41
CP94078;940808;2;38.50;624.50;4.11
CP94079;940729;2;10.00;64.00;2.46
CP94080;940729;2;16.00;46.00;3.50
CP94081;940726;2;45.50;364.00;4.04
CP94082;940810;4;4.30;40.80;0.70
CP94083;940829;2;26.00;343.00;2.95
CP94084;940712;2;13.00;154.00;2.41
CP94CF_;940829;2;7.00;119.50;0.88
CP94DSL;940920;4;4.25;15.50;1.46
CP94ES4;940713;2;12.50;93.00;2.40
CP94JAC;940809;2;4.00;6.50;1.66
CP94KOP;940803;.;.;.;.
CP94LTH;940923;4;6.25;23.25;1.82
CP94MI_;940726;2;15.00;58.00;2.84
CP94NMK;940920;4;5.25;40.00;1.71
CP94NOI;940803;.;.;.;.
CP94PLM;940922;4;13.50;81.00;2.70
CP94RC_;940728;2;12.50;34.50;3.13
CP94SPY;940803;.;.;.;.
CP94ZI_;940725;2;4.00;39.50;1.09
CP95101;950809;2;5.00;74.00;1.27
CP95102;950809;2;7.00;39.00;2.56
CP95103;950808;2;8.00;35.50;2.16
CP95104;950810;2;7.50;134.50;1.78
CP95105;950811;2;9.50;144.00;2.32
CP95106;950811;2;11.00;171.00;2.47
CP95107;950810;2;2.50;33.50;0.59
CP95108;950808;2;7.50;37.00;2.67
CP95109;950812;3;5.67;16.67;1.78
CP95110;950812;2;6.50;165.00;1.85
CP95111;950812;2;10.50;114.50;2.77
CP95112;950813;2;10.00;125.00;1.66
CP95113;950813;2;17.50;50.50;3.34
CP95114;950721;3;4.00;64.00;0.58
CP95115;950725;2;21.00;117.00;3.36
CP95116;950719;2;2.00;3.00;0.69
CP95117;950722;2;7.00;24.00;2.55
CP95118;950712;2;19.00;226.00;2.94
CP95119;950712;2;6.50;13.50;2.62
CP95120;950720;3;2.67;116.00;0.34
CP95121;950720;2;0.50;0.50;0.00
CP95122;950720;2;0.50;0.50;0.00
CP95123;950726;2;20.00;120.00;3.41
CP95124;950719;2;0.00;0.00;0.00
CP95125;950711;2;27.50;422.50;2.47
CP95126;950711;2;17.50;86.50;3.32
CP95127;950711;2;17.50;123.50;2.82
CP95128;950719;2;18.00;262.50;2.07
CP95129;950719;2;11.50;112.50;2.17
CP95130;950727;2;26.00;85.00;3.96
CP95131;950729;2;7.50;20.50;2.67
CP95132;950724;2;23.50;107.00;3.37
CP95133;950724;2;11.00;34.50;2.43
CP95134;950721;2;10.00;31.50;2.64
CP95135;950723;2;8.50;182.50;1.33
CP95136;950814;2;0.00;0.00;0.00
CP95137;.;0;.;.;.
CP95138;950823;2;10.50;58.00;2.60
CP95139;950821;2;4.50;41.50;0.70
CP95140;950821;2;6.00;23.50;2.12
CP95141;950802;3;13.67;50.67;3.17
CP95142;950801;2;24.00;41.00;4.36
CP95143;950802;2;14.00;60.50;3.33
CP95144;950731;0;.;.;.
CP95145;950731;2;5.00;14.00;1.68
CP95146;950706;2;9.50;41.50;2.41
CP95147;950706;2;6.00;12.50;2.20
CP95148;950705;2;6.50;148.50;0.75
CP95149;950818;2;4.00;9.00;1.60
CP95150;950818;2;5.00;19.50;1.65
CP95151;950802;2;23.00;85.00;3.75
CP95152;950802;2;11.50;27.00;3.16
CP95153;950803;2;25.50;243.50;3.27
CP95154;950804;2;18.50;56.50;3.58
CP95155;950731;2;12.50;64.50;2.69
CP95156;950801;3;2.67;9.67;1.03
CP95157;950816;2;8.50;20.50;2.53
CP95158;950815;2;25.00;204.00;3.67
