Dataset:              Infaunal Abundance - Summary by Station and Taxon
File Name:            CP_BEN_T.txt
Date Created:         01OCT1999
# Variables:          7
# Header Records:     17
# Data Records:       6596
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxonomic Code
              N_GRABS      Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SD_ABN       Std. dev. of abundance

STA_NAME;DATE;COD_EMAP;N_GRABS;T_ABN;M_ABN;SD_ABN
CP94001;940815;ACTECANA;2;33;16.50;3.54
CP94001;940815;ALPHAMBL;1;1;1.00;.
CP94001;940815;ALVAAUBE;1;1;1.00;.
CP94001;940815;AMAETRIL;1;1;1.00;.
CP94001;940815;AMPEVADO;1;1;1.00;.
CP94001;940815;APHEXSP1;1;2;2.00;.
CP94001;940815;ARMAMACU;1;1;1.00;.
CP94001;940815;ASTYLUNA;2;5;2.50;0.71
CP94001;940815;BITTVARI;2;26;13.00;1.41
CP94001;940815;BRANAREN;1;1;1.00;.
CP94001;940815;BULLSTRI;2;3;1.50;0.71
CP94001;940815;CAECNITI;2;7;3.50;0.71
CP94001;940815;CAECPULC;2;88;44.00;2.83
CP94001;940815;CAPICAPI;1;2;2.00;.
CP94001;940815;CAPIJONE;1;4;4.00;.
CP94001;940815;CAPRSCAU;2;3;1.50;0.71
CP94001;940815;CARIXSP1;1;3;3.00;.
CP94001;940815;CHIOCANC;2;23;11.50;9.19
CP94001;940815;CHONXSP1;1;2;2.00;.
CP94001;940815;CIRRXSPP;2;4;2.00;1.41
CP94001;940815;COOPATLA;1;1;1.00;.
CP94001;940815;CORBSWIF;1;1;1.00;.
CP94001;940815;COSTSPAR;1;1;1.00;.
CP94001;940815;CREPXSPP;1;1;1.00;.
CP94001;940815;CUMEXXSP;1;1;1.00;.
CP94001;940815;DIOPCUPR;1;1;1.00;.
CP94001;940815;DORVRUDO;1;2;2.00;.
CP94001;940815;DYNAXXSP;2;2;1.00;0.00
CP94001;940815;EMPLXSP1;1;1;1.00;.
CP94001;940815;ERICBRAS;1;1;1.00;.
CP94001;940815;EUBRXSP1;1;1;1.00;.
CP94001;940815;EUPOXSPP;1;1;1.00;.
CP94001;940815;EXOGDISP;1;9;9.00;.
CP94001;940815;FABRTRIL;2;84;42.00;0.00
CP94001;940815;FINEADAM;2;30;15.00;2.83
CP94001;940815;GLYCABRA;1;1;1.00;.
CP94001;940815;GLYCSOLI;2;8;4.00;0.00
CP94001;940815;GRANBONN;2;3;1.50;0.71
CP94001;940815;HAMIELEG;1;1;1.00;.
CP94001;940815;HAMISUCC;1;1;1.00;.
CP94001;940815;HOLOXSP1;1;1;1.00;.
CP94001;940815;LAONXSP1;2;423;211.50;65.76
CP94001;940815;LEPTXSPP;2;17;8.50;3.54
CP94001;940815;LEUCAMER;1;1;1.00;.
CP94001;940815;LIMNRUBI;2;3;1.50;0.71
CP94001;940815;LYONHYAL;2;6;3.00;2.83
CP94001;940815;MEDIAMBI;2;16;8.00;7.07
CP94001;940815;MEDIXSPP;2;41;20.50;20.51
CP94001;940815;MERCXXSP;1;1;1.00;.
CP94001;940815;MONTDORS;1;2;2.00;.
CP94001;940815;MUSCLATE;1;1;1.00;.
CP94001;940815;NOTOHEMI;1;1;1.00;.
CP94001;940815;NUCUPROX;2;3;1.50;0.71
CP94001;940815;PARAPINN;1;1;1.00;.
CP94001;940815;PARVMULT;2;4;2.00;0.00
CP94001;940815;PARVOBES;1;1;1.00;.
CP94001;940815;PARVXXSP;1;1;1.00;.
CP94001;940815;PHORARCH;1;1;1.00;.
CP94001;940815;PHOTLONG;1;3;3.00;.
CP94001;940815;PRIOCRIS;1;1;1.00;.
CP94001;940815;PSEU2SP1;1;3;3.00;.
CP94001;940815;PSEUXSP1;2;71;35.50;4.95
CP94001;940815;RICTPUNC;1;5;5.00;.
CP94001;940815;RUDIXSP1;2;2;1.00;0.00
CP94001;940815;SCOLVERR;2;69;34.50;3.54
CP94001;940815;SCRUXXSP;2;2;1.00;0.00
CP94001;940815;SEMEPROF;1;1;1.00;.
CP94001;940815;SMARVIRI;1;1;1.00;.
CP94001;940815;SPHALABY;1;5;5.00;.
CP94001;940815;SPHATAYL;2;9;4.50;3.54
CP94001;940815;STREBENE;2;14;7.00;2.83
CP94001;940815;TAGEDIVI;2;25;12.50;0.71
CP94001;940815;TECTXXSP;2;4;2.00;1.41
CP94001;940815;TELLVERS;1;1;1.00;.
CP94001;940815;TERESTRO;2;12;6.00;4.24
CP94001;940815;TURBDALL;1;1;1.00;.
CP94001;940815;TURBINTE;2;2;1.00;0.00
CP94001;940815;XENABREV;1;5;5.00;.
CP94001;940815;XXX1HYDR;1;1;1.00;.
CP94001;940815;XXX1POLY;1;1;1.00;.
CP94001;940815;XXXXANTH;1;1;1.00;.
CP94001;940815;XXXXENTO;1;1;1.00;.
CP94001;940815;XXXXMALD;2;13;6.50;0.71
CP94001;940815;XXXXNEMA;2;2;1.00;0.00
CP94001;940815;XXXXSPIR;1;3;3.00;.
CP94001;940815;XXXXTERE;1;1;1.00;.
CP94001;940815;XXXXTUBI;2;4;2.00;1.41
CP94002;940815;CARIXSP1;1;1;1.00;.
CP94002;940815;MEDIXSPP;2;7;3.50;3.54
CP94002;940815;MULILATE;1;1;1.00;.
CP94002;940815;PARAPINN;1;2;2.00;.
CP94002;940815;SCOLOTEX;1;2;2.00;.
CP94002;940815;XXXXNEMA;1;1;1.00;.
CP94003;940816;ACTECANA;2;26;13.00;4.24
CP94003;940816;AGLAVERR;2;29;14.50;0.71
CP94003;940816;AMATALTE;2;2;1.00;0.00
CP94003;940816;AMATDIST;1;1;1.00;.
CP94003;940816;AMATVIDO;2;2;1.00;0.00
CP94003;940816;AMPEVADO;2;5;2.50;2.12
CP94003;940816;AMPHTHRO;1;1;1.00;.
CP94003;940816;AMPILONG;1;2;2.00;.
CP94003;940816;AMYGPAPY;2;3;1.50;0.71
CP94003;940816;ASCOULLA;2;11;5.50;6.36
CP94003;940816;ASTYLUNA;2;11;5.50;2.12
CP94003;940816;BATECATH;1;1;1.00;.
CP94003;940816;BEANKLUG;2;2;1.00;0.00
CP94003;940816;BITTVARI;1;3;3.00;.
CP94003;940816;BOWEGRAC;1;1;1.00;.
CP94003;940816;BOWEMAXI;1;1;1.00;.
CP94003;940816;BOWMXSPP;1;1;1.00;.
CP94003;940816;BRANAREN;2;8;4.00;1.41
CP94003;940816;BULLSTRI;1;1;1.00;.
CP94003;940816;CAECNITI;1;1;1.00;.
CP94003;940816;CAECPULC;2;453;226.50;36.06
