Dataset:              Water Quality Bottom Data
File Name:            CP_WQ_B.DAT
Date Created:         01Jan1998
# Variables:          10
# Header Records:     20
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at bottom
              TEMP         Temperature (C) at bottom
              SAL          Salinity (ppt) at bottom
              PH           pH (units) at bottom
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at bottom
              DEPTH        Depth (m) of near-bottom observation

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS;DEPTH
CP94001;940815;12:31;6.7;28.4;24.3;7.8;38.2;14.24;1.2
CP94002;940815;15:43;3.4;27.8;19.9;7.6;30.1;11.10;3.0
CP94003;940816;12:31;7.5;28.8;26.6;7.9;41.4;15.83;1.7
CP94004;940816;14:02;6.7;29.3;30.8;8.0;47.3;18.82;1.0
CP94005;940802;12:55;5.8;32.2;23.6;7.9;37.2;12.46;0.5
CP94006;940802;18:58;7.7;33.0;20.7;8.2;33.0;10.00;1.4
CP94007;940816;16:56;7.8;29.7;25.6;8.0;40.0;14.79;1.4
CP94008;940803;12:57;7.1;31.4;20.2;8.4;32.3;10.17;1.5
CP94009;940801;18:49;1.7;29.2;24.6;7.4;38.7;14.17;2.7
CP94010;940817;10:07;6.3;28.4;21.8;7.9;34.7;12.39;4.0
CP94011;940817;13:35;7.2;29.2;26.3;7.9;41.0;15.48;1.3
CP94012;940818;15:35;7.2;28.6;25.5;7.9;39.9;15.04;1.5
CP94013;940818;13:45;6.9;28.6;25.1;7.9;39.4;14.78;1.5
CP94014;940818;10:30;5.5;28.2;28.0;7.9;43.4;17.08;1.7
CP94015;.;.;.;.;.;.;.;.;.
CP94016;940808;15:15;5.2;28.7;0.2;7.0;0.4;-3.76;1.5
CP94017;940809;16:12;1.5;28.0;15.1;7.6;26.1;7.46;1.0
CP94018;940811;17:12;6.0;28.9;32.8;7.6;50.0;20.47;7.0
CP94019;940811;11:35;6.1;27.3;34.6;8.0;52.5;22.33;8.4
CP94020;940802;13:00;6.2;27.7;32.6;7.9;49.6;20.65;8.6
CP94021;940802;14:13;5.0;26.9;28.9;7.7;44.7;18.16;8.4
CP94022;940815;11:39;5.6;28.7;19.0;7.5;30.6;10.19;4.4
CP94023;940815;12:46;5.9;28.6;26.8;7.6;41.7;16.05;5.5
CP94024;940817;15:45;6.3;27.6;26.3;7.7;40.9;15.95;4.2
