Dataset:              Demersal Community Summary
File Name:            CP_DEM_C.txt
Date Created:         02Dec1998
# Variables:          6
# Header Records:     16
# Data Records:       200
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Sampling Station Code
              DATE         Sample collection date (YYMMDD)
              N_TRAWLS     Number of trawls
              D_TAXA       Mean number of demersal taxa per trawl
              D_ORGS       Mean demersal abundance per trawl
              D_HPRIME     Mean demersal H prime diversity per trawl

STA_NAME;DATE;N_TRAWLS;D_TAXA;D_ORGS;D_HPRIME
CP94001;940815;2;4.50;16.50;1.50
CP94002;940815;2;9.00;38.50;2.63
CP94003;940816;2;6.50;43.00;2.06
CP94004;940816;2;4.00;17.50;1.31
CP94005;940802;1;9.00;35.00;2.60
CP94006;940803;2;11.00;179.00;1.77
CP94007;940816;2;14.50;172.50;2.40
CP94008;940803;2;7.00;20.50;2.15
CP94009;940801;2;6.00;34.50;1.71
CP94010;940817;2;9.00;85.50;2.23
CP94011;940817;2;3.50;37.00;1.22
CP94012;940817;0;.;.;.
CP94013;940818;1;4.00;57.00;1.13
CP94014;940818;0;.;.;.
CP94015;.;0;.;.;.
CP94016;940808;2;7.50;24.50;1.97
CP94017;940809;2;5.00;12.00;2.13
CP94018;940811;2;3.00;3.00;1.58
CP94019;940811;2;2.50;3.50;1.00
CP94020;940803;2;7.00;43.00;1.97
CP94021;940802;2;8.00;137.50;1.90
CP94022;940817;2;10.00;103.50;2.51
CP94023;940815;2;12.00;164.50;1.53
CP94024;940818;2;12.50;177.00;1.53
CP94025;940818;2;10.50;103.50;2.01
CP94026;940819;2;15.50;112.50;2.52
CP94027;940825;2;9.00;59.00;2.64
CP94028;940726;2;4.50;19.00;1.10
CP94029;940725;2;6.50;40.50;1.85
CP94030;940719;2;10.50;207.00;1.80
CP94031;940701;2;6.00;25.00;1.92
CP94032;940727;2;8.00;138.00;1.91
CP94033;940727;2;6.50;33.00;1.59
CP94034;940706;2;4.50;16.50;1.76
CP94035;940706;2;5.00;18.00;1.99
CP94036;940822;2;8.00;102.00;1.73
CP94037;940810;2;5.00;7.50;2.22
CP94038;940707;2;6.00;133.50;2.07
CP94039;940809;2;4.50;5.50;1.98
CP94040;940823;2;5.50;13.50;2.05
CP94041;940810;2;3.50;8.00;1.56
CP94042;940810;2;2.00;3.50;0.63
CP94043;940823;2;11.00;225.00;2.98
CP94044;940808;2;4.50;13.00;1.90
CP94045;940808;2;7.50;118.50;1.57
CP94046;940816;2;10.00;114.00;1.94
CP94047;940817;2;4.50;90.00;1.74
CP94048;940818;2;7.50;251.00;2.11
CP94049;940817;2;10.00;179.50;1.93
CP94050;940816;2;8.00;43.50;2.36
CP94051;940817;2;1.50;3.50;0.50
CP94052;940817;2;0.50;0.50;0.00
CP94053;940817;2;6.00;36.50;2.03
