Dataset:              Demersal Lengths - Summary by Station and Taxon
File Name:            CP_DEM_L.txt
Date Created:         02Dec1998
# Variables:          7
# Header Records:     17
# Data Records:       1682
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              N_LEN        Number of lengths
              M_LEN        Mean length (mm)
              SD_LEN       Standard deviation of lengths
              MEASTYPE     Length measurement type code

STA_NAME;DATE;COD_EMAP;N_LEN;M_LEN;SD_LEN;MEASTYPE
CP94001;940815;CALLSAPI;3;90.3;69.7;C
CP94001;940815;EUCIGULA;21;99.4;13.1;F
CP94001;940815;EUCIHARE;4;83.0;4.3;F
CP94001;940815;EUCIXSPP;1;42.0;.;F
CP94001;940815;GYMNMICR;1;875.0;.;D
CP94001;940815;LAGORHOM;1;92.0;.;F
CP94001;940815;PENAXSPP;2;44.5;9.2;S
CP94002;940815;ANCHMITC;1;51.0;.;F
CP94002;940815;ARIUFELI;12;248.0;49.3;F
CP94002;940815;BAIRCHRY;1;135.0;.;T
CP94002;940815;CALLSAPI;16;166.3;17.8;C
CP94002;940815;CENTUNDE;1;945.0;.;F
CP94002;940815;CITHSPIL;2;105.0;7.1;T
CP94002;940815;CYNOREGA;14;191.8;32.0;T
CP94002;940815;EUCIGULA;3;72.3;9.5;F
CP94002;940815;EUCIHARE;1;62.0;.;F
CP94002;940815;MICRUNDU;13;162.7;20.4;T
CP94002;940815;PENAXSPP;1;101.0;.;S
CP94002;940815;SPHOTEST;12;116.1;19.2;T
CP94003;940816;CALLSAPI;38;30.1;5.3;C
CP94003;940816;CHILSCHO;7;187.0;30.9;B
CP94003;940816;GOBIROBU;8;27.8;4.5;T
CP94003;940816;LAGORHOM;1;180.0;.;T
CP94003;940816;ORTHCHRY;6;141.7;24.2;T
CP94003;940816;PENAXSPP;22;54.5;14.3;S
CP94003;940816;PORTXSPP;1;59.0;.;C
CP94003;940816;SYNGSCOV;3;70.0;9.8;T
CP94004;940816;CALLSAPI;4;129.5;15.2;C
CP94004;940816;CHAEFABE;1;162.0;.;T
