Dataset:              Demersal Trawl Species List
File Name:            CP_DEM_S.TXT
Date Created:         17Mar1998
# Variables:          8
# Header Records:     18
# Data Records:       127
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              CLASS        Class
              ORDER        Order
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species
              COMMNAME     Common Name

COD_EMAP;PHYLUM;CLASS;ORDER;FAMILY;GENUS;SPECIES;COMMNAME
ACHILINE;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;SOLEIDAE;Achirus;lineatus;lined sole
ACIPOXYR;CHORDATA;OSTEICHTHYES;ACIPENSERIFORMES;ACIPENSERIDAE;Acipenser;oxyrhynchus;Atlantic sturgeon
ALOSAEST;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;CLUPEIDAE;Alosa;aestivalis;blueback herring
ALUTSCHO;CHORDATA;OSTEICHTHYES;TETRAODONTIFORMES;BALISTIDAE;Aluterus;schoepfi;orange filefish
ALUTSCRI;CHORDATA;OSTEICHTHYES;TETRAODONTIFORMES;BALISTIDAE;Aluterus;scriptus;scrawled filefish
AMEICATU;CHORDATA;OSTEICHTHYES;SILURIFORMES;ICTALURIDAE;Ameiurus;catus;white catfish
AMEINEBU;CHORDATA;OSTEICHTHYES;SILURIFORMES;ICTALURIDAE;Ameiurus;nebulosus;brown bullhead
ANCHHEPS;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;ENGRAULIDAE;Anchoa;hepsetus;striped anchovy
ANCHMITC;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;ENGRAULIDAE;Anchoa;mitchilli;bay anchovy
ANCYQUAD;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;BOTHIDAE;Ancylopsetta;quadrocellata;ocellated flounder
ANGUROST;CHORDATA;OSTEICHTHYES;ANGUILLIFORMES;ANGUILLIDAE;Anguilla;rostrata;American eel
ARCHPROB;CHORDATA;OSTEICHTHYES;PERCIFORMES;SPARIDAE;Archosargus;probatocephalus;sheepshead
ARIUFELI;CHORDATA;OSTEICHTHYES;SILURIFORMES;ARIIDAE;Arius;felis;hardhead catfish
ASTRY-GR;CHORDATA;OSTEICHTHYES;PERCIFORMES;URANOSCOPIDAE;Astroscopus;y-graecum;southern stargazer
BAGRMARI;CHORDATA;OSTEICHTHYES;SILURIFORMES;ARIIDAE;Bagre;marinus;gafftopsail catfish
BAIRCHRY;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Bairdiella;chrysoura;silver perch
BREVPATR;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;CLUPEIDAE;Brevoortia;patronus;gulf menhaden
BREVTYRA;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;CLUPEIDAE;Brevoortia;tyrannus;Atlantic menhaden
CALLORNA;ARTHROPODA;MALACOSTRACA;DECAPODA;PORTUNIDAE;Callinectes;ornatus;shelligs
CALLSAPI;ARTHROPODA;MALACOSTRACA;DECAPODA;PORTUNIDAE;Callinectes;sapidus;blue crab
CALLSIMI;ARTHROPODA;MALACOSTRACA;DECAPODA;PORTUNIDAE;Callinectes;similis;lesser blue crab
CARAHIPP;CHORDATA;OSTEICHTHYES;PERCIFORMES;CARANGIDAE;Caranx;hippos;crevalle jack
CARALATU;CHORDATA;OSTEICHTHYES;PERCIFORMES;CARANGIDAE;Caranx;latus;horse-eye jack
CENTPHIL;CHORDATA;OSTEICHTHYES;PERCIFORMES;SERRANIDAE;Centropristis;philadelphica;rock sea bass
CENTSTRI;CHORDATA;OSTEICHTHYES;PERCIFORMES;SERRANIDAE;Centropristis;striata;black sea bass
CENTUNDE;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTROPOMIDAE;Centropomus;undecimalis;common snook
CHAEFABE;CHORDATA;OSTEICHTHYES;PERCIFORMES;EPHIPPIDAE;Chaetodipterus;faber;Atlantic spadefish
CHASBOSQ;CHORDATA;OSTEICHTHYES;PERCIFORMES;BLENNIIDAE;Chasmodes;bosquianus;striped blenny
CHASSABU;CHORDATA;OSTEICHTHYES;PERCIFORMES;BLENNIIDAE;Chasmodes;saburrae;Florida blenny
CHILSCHO;CHORDATA;OSTEICHTHYES;TETRAODONTIFORMES;TETRAODONTIDAE;Chilomycterus;schoepfi;striped burrfish
CHLOCHRY;CHORDATA;OSTEICHTHYES;PERCIFORMES;CARANGIDAE;Chloroscombrus;chrysurus;Atlantic bumper
CITHSPIL;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;BOTHIDAE;Citharichthys;spilopterus;bay whiff
CYNONEBU;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Cynoscion;nebulosus;spotted seatrout
CYNOREGA;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Cynoscion;regalis;weakfish
DASYAMER;CHORDATA;ELASMOBRANCHIOMORPHI;RAJIFORMES;DASYATIDAE;Dasyatis;americana;southern stingray
DASYSABI;CHORDATA;ELASMOBRANCHIOMORPHI;RAJIFORMES;DASYATIDAE;Dasyatis;sabina;Atlantic stingray
DASYSAY_;CHORDATA;ELASMOBRANCHIOMORPHI;RAJIFORMES;DASYATIDAE;Dasyatis;say;bluntnose stingray
DIAPAURA;CHORDATA;OSTEICHTHYES;PERCIFORMES;GERREIDAE;Diapterus;auratus;Irish pompano
DOROCEPE;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;CLUPEIDAE;Dorosoma;cepedianum;gizzard shad
ECHENEUC;CHORDATA;OSTEICHTHYES;PERCIFORMES;ECHENEIDAE;Echeneis;neucratoides;whitefin sharksucker
ENNEGLOR;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTRARCHIDAE;Enneacanthus;gloriosus;bluespotted sunfish
ETROCROS;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;BOTHIDAE;Etropus;crossotus;fringed flounder
EUCIARGE;CHORDATA;OSTEICHTHYES;PERCIFORMES;GERREIDAE;Eucinostomus;argenteus;spotfin mojarra
EUCIGULA;CHORDATA;OSTEICHTHYES;PERCIFORMES;GERREIDAE;Eucinostomus;gula;silver jenny
EUCIHARE;CHORDATA;OSTEICHTHYES;PERCIFORMES;GERREIDAE;Eucinostomus;harengulus;tidewater mojarra
EUCIXSPP;CHORDATA;OSTEICHTHYES;PERCIFORMES;GERREIDAE;Eucinostomus;spp;unid. mojarra
FISTTABA;CHORDATA;OSTEICHTHYES;GASTEROSTEIFORMES;FISTULARIIDAE;Fistularia;tabacaria;bluespotted cornetfish
FUNDDIAP;CHORDATA;OSTEICHTHYES;ATHERINIFORMES;CYPRINODONTIDAE;Fundulus;diaphanus;banded killifish
GOBIBOSC;CHORDATA;OSTEICHTHYES;PERCIFORMES;GOBIIDAE;Gobiosoma;bosc;naked goby
GOBIROBU;CHORDATA;OSTEICHTHYES;PERCIFORMES;GOBIIDAE;Gobiosoma;robustum;neon goby
GYMNALTA;CHORDATA;ELASMOBRANCHIOMORPHI;RAJIFORMES;DASYATIDAE;Gymnura;altavela;spiny butterfly ray
GYMNMICR;CHORDATA;ELASMOBRANCHIOMORPHI;RAJIFORMES;DASYATIDAE;Gymnura;micrura;smooth butterfly ray
GYMNXXSP;CHORDATA;ELASMOBRANCHIOMORPHI;RAJIFORMES;DASYATIDAE;Gymnura;sp;unid. butterfly ray
HIPPEREC;CHORDATA;OSTEICHTHYES;GASTEROSTEIFORMES;SYNGNATHIDAE;Hippocampus;erectus;lined seahorse
HYPSHENT;CHORDATA;OSTEICHTHYES;PERCIFORMES;GOBIIDAE;Hypsoblennius;hentz;feather blenny
ICTAXXSP;CHORDATA;OSTEICHTHYES;SILURIFORMES;ICTALURIDAE;Ictalurus;sp;unid. catfish
ILLEILLE;MOLLUSCA;CEPHALOPODA;TEUTHOIDEA;OMMASTREPHIDAE;Illex;illecebrosus;northern shortfin squid
LAGORHOM;CHORDATA;OSTEICHTHYES;PERCIFORMES;SPARIDAE;Lagodon;rhomboides;pinfish
LARIFASC;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Larimus;fasciatus;banded drum
LEIOXANT;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Leiostomus;xanthurus;spot
LEPIOSSE;CHORDATA;OSTEICHTHYES;LEPISOSTEIFORMES;LEPISOSTEIDAE;Lepisosteus;osseus;longnose gar
LEPOGIBB;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTRARCHIDAE;Lepomis;gibbosus;pumpkinseed
LEPOGULO;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTRARCHIDAE;Lepomis;gulosus;warmouth
LEPOMACR;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTRARCHIDAE;Lepomis;macrochirus;bluegill
LEPOMICR;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTRARCHIDAE;Lepomis;microlophus;redear sunfish
LIBIDUBI;ARTHROPODA;MALACOSTRACA;DECAPODA;MAJIDAE;Libinia;dubia;longnose spider crab
LOLLBREV;MOLLUSCA;CEPHALOPODA;TEUTHOIDEA;LOLIGINIDAE;Lolliguncula;brevis;Atlantic brief squid
LUTJGRIS;CHORDATA;OSTEICHTHYES;PERCIFORMES;LUTJANIDAE;Lutjanus;griseus;gray snapper
LUTJSYNA;CHORDATA;OSTEICHTHYES;PERCIFORMES;LUTJANIDAE;Lutjanus;synagris;lane snapper
MENIMERC;ARTHROPODA;MALACOSTRACA;DECAPODA;XANTHIDAE;Menippe;mercenaria;Florida stone crab
MENTAMER;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Menticirrhus;americanus;southern kingfish
MICRUNDU;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Micropogonias;undulatus;Atlantic croaker
MONAHISP;CHORDATA;OSTEICHTHYES;TETRAODONTIFORMES;BALISTIDAE;Monacanthus;hispidus;planehead filefish
MOROAMER;CHORDATA;OSTEICHTHYES;PERCIFORMES;PERCICHTHYIDAE;Morone;americana;white perch
MOROSAXA;CHORDATA;OSTEICHTHYES;PERCIFORMES;PERCICHTHYIDAE;Morone;saxatilis;striped bass
MUGICEPH;CHORDATA;OSTEICHTHYES;PERCIFORMES;MUGILIDAE;Mugil;cephalus;striped mullet
MUGICURE;CHORDATA;OSTEICHTHYES;PERCIFORMES;MUGILIDAE;Mugil;curema;white mullet
MYCTMICR;CHORDATA;OSTEICHTHYES;PERCIFORMES;SERRANIDAE;Mycteroperca;microlepis;gag
MYROPUNC;CHORDATA;OSTEICHTHYES;ANGUILLIFORMES;OPHICHTHIDAE;Myrophis;punctatus;speckled worm eel
OGCOXXSP;CHORDATA;OSTEICHTHYES;LOPHIIFORMES;OGCOCEPHALIDAE;Ogcocephalus;sp;unid. batfish
OLIGSAUR;CHORDATA;OSTEICHTHYES;PERCIFORMES;CARANGIDAE;Oligoplites;saurus;leather jack
OPHIGOME;CHORDATA;OSTEICHTHYES;ANGUILLIFORMES;OPHICHTHIDAE;Ophichthus;gomesi;shrimp eel
OPISOGLI;CHORDATA;OSTEICHTHYES;CLUPEIFORMES;CLUPEIDAE;Opisthonema;oglinum;Atlantic thread herring
OPSATAU_;CHORDATA;OSTEICHTHYES;BATRACHOIDIFORMES;BATRACHOIDIDAE;Opsanus;tau;oyster toadfish
ORTHCHRY;CHORDATA;OSTEICHTHYES;PERCIFORMES;HAEMULIDAE;Orthopristis;chrysoptera;pigfish
OVALOCEL;ARTHROPODA;MALACOSTRACA;DECAPODA;PORTUNIDAE;Ovalipes;ocellatus;lady crab
PARAALBI;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;BOTHIDAE;Paralichthys;albigutta;gulf flounder
PARADENT;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;BOTHIDAE;Paralichthys;dentatus;summer flounder
PARALETH;CHORDATA;OSTEICHTHYES;PLEURONECTIFORMES;BOTHIDAE;Paralichthys;lethostigma;southern flounder
PENAAZTE;ARTHROPODA;MALACOSTRACA;DECAPODA;PENAEIDAE;Penaeus;aztecus;brown shrimp
PENADUOR;ARTHROPODA;MALACOSTRACA;DECAPODA;PENAEIDAE;Penaeus;duorarum;pink shrimp
PENASETI;ARTHROPODA;MALACOSTRACA;DECAPODA;PENAEIDAE;Penaeus;setiferus;white shrimp
PENAXSPP;ARTHROPODA;MALACOSTRACA;DECAPODA;PENAEIDAE;Penaeus;spp;unid. shrimp
PEPRALEP;CHORDATA;OSTEICHTHYES;PERCIFORMES;STROMATEIDAE;Peprilus;alepidotus;harvestfish
PEPRTRIA;CHORDATA;OSTEICHTHYES;PERCIFORMES;STROMATEIDAE;Peprilus;triacanthus;butterfish
PERCFLAV;CHORDATA;OSTEICHTHYES;PERCIFORMES;PERCIDAE;Perca;flavescens;yellow perch
POGOCROM;CHORDATA;OSTEICHTHYES;PERCIFORMES;SCIAENIDAE;Pogonias;cromis;black drum
POMASALT;CHORDATA;OSTEICHTHYES;PERCIFORMES;POMATOMIDAE;Pomatomus;saltatrix;bluefish
POMONIGR;CHORDATA;OSTEICHTHYES;PERCIFORMES;CENTRARCHIDAE;Pomoxis;nigromaculatus;black crappie
PORTGIBB;ARTHROPODA;MALACOSTRACA;DECAPODA;PORTUNIDAE;Portunus;gibbesii;iridescent swimming crab
PORTXSPP;ARTHROPODA;MALACOSTRACA;DECAPODA;PORTUNIDAE;Portunus;spp;unid. swimming crab
PRIOCARO;CHORDATA;OSTEICHTHYES;SCORPAENIFORMES;TRIGLIDAE;Prionotus;carolinus;northern searobin
PRIOEVOL;CHORDATA;OSTEICHTHYES;SCORPAENIFORMES;TRIGLIDAE;Prionotus;evolans;striped searobin
PRIOSCIT;CHORDATA;OSTEICHTHYES;SCORPAENIFORMES;TRIGLIDAE;Prionotus;scitulus;leopard searobin
