Dataset:              Station Location and Information Data
File Name:            CP_STAT.txt
Date Created:         02Dec1998
# Variables:          12
# Header Records:     22
# Data Records:       343
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              CLASCODE     Carolinian Province Office Station Type
              STRATA       Estuary Class Code
              STA_AREA     Statistical Area of Station (sq. km)
              ESTUARY      Estuary Name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (-decimal degrees)
              DEPTH        Depth (m) at Time of WQ Profile
              STATE        State of Estuary (2 Letter Postal Code)
              EMAPSTAT     EMAP Station Name
              SEGMENT      EMAP River Segment Number (SPUNIT)
              MAIASTAT     MAIA Station Code

STA_NAME;CLASCODE;STRATA;STA_AREA;ESTUARY;LATDEG;LNGDEG;DEPTH;STATE;EMAPSTAT;SEGMENT;MAIASTAT
CP93BKY;Supplement; ;.;Brickyard Creek;32.8348;-80.0035;.;SC; ; ; 
CP93BRU;Supplement; ;.;Brunswick River;31.1893;-81.5218;.;GA; ; ; 
CP93CFT;Supplement; ;.;Clubfoot Creek;34.9050;-76.7583;.;NC; ; ; 
CP93DET;Supplement; ;.;Detyens -Wando River;32.9223;-79.8265;.;SC; ; ; 
CP93DYT;Supplement; ;.;Drayton -Ashley River;32.8500;-80.0493;.;SC; ; ; 
CP93EAU;Supplement; ;.;Eau Gallie -Indian River;28.1265;-80.6170;.;FL; ; ; 
CP93FTJ;Supplement; ;.;Fort Johnson;32.7523;-79.9028;.;SC; ; ; 
CP93INL;Supplement; ;.;Breech Inlet;32.7758;-79.8142;.;SC; ; ; 
CP93KOP;Supplement; ;.;Koppers -Ashley River;32.8172;-79.9573;.;SC; ; ; 
CP93LTH;Supplement; ;.;Lighthouse Creek;32.6967;-79.8942;.;SC; ; ; 
CP93MAS;Supplement; ;.;Masonborough Inlet;34.1555;-77.8500;.;NC; ; ; 
CP93NAS;Supplement; ;.;Nassau River;30.5792;-81.6418;.;FL; ; ; 
CP93OGE;Supplement; ;.;Ogeechee River;31.9268;-81.2555;.;GA; ; ; 
CP93ORT;Supplement; ;.;Ortega River;30.2680;-81.7230;.;FL; ; ; 
CP93PLM;Supplement; ;.;Plum Island;32.7637;-79.9420;.;SC; ; ; 
CP93SAM;Supplement; ;.;Sampit River;33.3552;-79.2852;.;SC; ; ; 
CP93SAN;Supplement; ;.;South Santee River;33.1537;-79.3270;.;SC; ; ; 
CP93SAP;Supplement; ;.;Sapelo Island;31.4167;-81.2923;.;GA; ; ; 
CP93SAV;Supplement; ;.;Savannah River;32.1345;-81.1347;.;GA; ; ; 
CP93SED;Supplement; ;.;South Edisto River;32.6202;-80.4228;.;SC; ; ; 
CP93SLO;Supplement; ;.;Slocum Creek;34.9033;-76.9133;.;NC; ; ; 
CP93SPY;Supplement; ;.;Shipyard Creek;32.8360;-79.9395;.;SC; ; ; 
CP93TIV;Supplement; ;.;Titusville -Indian River;28.6937;-80.8132;.;FL; ; ; 
CP93WKY;Supplement; ;.;Whiskey Creek;34.1567;-77.8500;.;NC; ; ; 
CP94001;Random-Base;RR;34.1;Indian River Lagoon;27.2012;-80.1758;1.2;FL;CA94RR09;301; 
CP94002;Random-Base;SR;25.1;Saint Lucie River;27.2137;-80.2198;3.0;FL;CA94SR50; ; 
CP94003;Random-Base;RR;33.7;Indian River Lagoon;27.4050;-80.2882;1.7;FL;CA94RR10;302; 
CP94004;Random-Base;RR;33.3;Indian River Lagoon;27.5350;-80.3300;1.0;FL;CA94RR11;303; 
CP94005;Random-Base;RR;32.9;Indian River Lagoon;27.6785;-80.3860;0.5;FL;CA94RR12;304; 
CP94006;Random-Base;RR;32.6;Indian River Lagoon;27.8972;-80.5030;1.4;FL;CA94RR13;305; 
CP94007;Random-Base;RP;36.3;Indian River Lagoon;27.9172;-80.5068;1.4;FL;CA94RP14;306; 
CP94008;Random-Base;RR;36.3;Indian River Lagoon;27.9950;-80.5525;1.5;FL;CA94RR14;306; 
CP94009;Random-Base;RR;40.4;Indian River Lagoon;28.1607;-80.6187;2.7;FL;CA94RR15;307; 
CP94010;Random-Base;RR;37.7;Indian River Lagoon;28.2567;-80.6750;4.0;FL;CA94RR16;308; 
CP94011;Random-Base;RR;37.4;Indian River Lagoon;28.5025;-80.7477;1.3;FL;CA94RR17;309; 
CP94012;Random-Base;RP;44.4;Indian River Lagoon;28.7128;-80.7938;1.5;FL;CA94RP18;310; 
CP94013;Random-Base;RR;44.4;Indian River Lagoon;28.7218;-80.8030;1.5;FL;CA94RR18;310; 
CP94014;Random-Base;SR;105.8;Mosquito Lagoon;28.8518;-80.7910;1.7;FL;CA94SR49; ; 
CP94015;Random-Base;SR;5.7;Guana River;30.0362;-81.3317;.;FL;CA94SR47; ; 
CP94016;Random-Base;SR;3.1;Julington Creek;30.1337;-81.6255;1.5;FL;CA94SR46; ; 
CP94017;Random-Base;SR;6.2;Trout River;30.3975;-81.6453;1.0;FL;CA94SR45; ; 
CP94018;Random-Base;SR;9.3;Nassau Sound;30.5155;-81.4435;7.0;FL;CA94SR44; ; 
CP94019;Random-Base;SR;12.6;Saint Marys River;30.7107;-81.4703;8.4;GA;CA94SR43; ; 
CP94020;Random-Base;SR;29.8;Saint Andrews Sound;30.9817;-81.4278;8.6;GA;CA94SR42; ; 
CP94021;Random-Base;SR;16.3;Saint Simons Sound;31.1065;-81.4513;8.5;GA;CA94SR41; ; 
CP94022;Random-Base;SR;41.1;Doboy Sound;31.3907;-81.2930;4.4;GA;CA94SR40; ; 
CP94023;Random-Base;SR;27.0;Sapelo Sound;31.5470;-81.1898;5.5;GA;CA94SR39; ; 
CP94024;Random-Base;SR;18.9;Saint Catherines Sound;31.7215;-81.1638;4.2;GA;CA94SR38; ; 
CP94025;Random-Base;SR;36.4;Ossabaw Sound;31.8618;-81.0390;5.5;GA;CA94SR37; ; 
