Dataset:              Benthic Taxonomy Information
File Name:            ben_tax.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       745
Delimiter:            ,
Missing Value Symbol: .

Variables:        TSN            ITIS Taxonomic Serial Number 
                  TSN_NAME       ITIS Taxa Latin Name              
                  PHYLUM         Taxonomic Phylum            
                  CLASS          Taxonomic Class            
                  ORDER          Taxonomic Order            
                  FAMILY         Taxonomic Family           
                  GENUS          Taxonomic Genus             

tsn,PHYLUM,CLASS,ORDER,FAMILY,GENUS,tsn_name,ntsn,STATUS,TAXON_RANK_NAME,old_name,KINGDOM,SPECIES,
 , , , , , ,No Animals in Sample,., , , , ,Animals in Sample,
100502,Arthropoda,Insecta,Ephemeroptera, , ,Ephemeroptera,100502,A,Order, ,Animalia, ,
101537,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Hexagenia,Hexagenia,101537,A,Genus, , , ,
101665,Arthropoda,Insecta,Odonata,Gomphidae,Gomphus,Gomphus,101665,A,Genus, ,Animalia, ,
125923,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus punctipennis,125923,A,Species, , ,punctipennis,
126774,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium,126774,A,Genus, , , ,
127076,Arthropoda,Insecta,Diptera,Ceratopogonidae, ,Ceratopogonidae,127076,A,Family, , , ,
127917,Arthropoda,Insecta,Diptera,Chironomidae, ,Chironomidae,127917,A,Family, , , ,
127998,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,Clinotanypus pinguis,127998,A,Species, , ,pinguis,
128010,Arthropoda,Insecta,Diptera,Chironomidae,Coelotanypus,Coelotanypus,128010,A,Genus, , , ,
128112,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia parajanta,128112,A,Species, ,Animalia,parajanta,
128277,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius,128277,A,Genus, , , ,
128316,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius sublettei,128316,A,Species, , ,sublettei,
