Dataset:              Fish Trawl Data
File Name:            FTRAWL.dat
Date Created:         06/08/10
# Variables:          12
# Header Records:     23
# Data Records:       1362
Delimiter:            ,
Missing Value Symbol: .

Variables:    STATION       Station Name                          
              STAT_ALT      Alternate Site Sampled (A B or C)   
              EVNTDATE      Event Date                           
              FTRLTYPE	   Type of Fish Trawl                  
              FTRLFLAG      Status of Completed Fish Trawl      
              FSPECCNT      Total Fish Species in Trawl (#)     
              FT_DUR        Duration of Fish Trawl (mmss)       
              FWTR_SPD      Trawl Speed through Water (knots)    
              BEG_LAT       Fish Trawl Beginning Latitude (dd)   
              BEG_LNG       Fish Trawl Beginning Longitude (dd)  
              END_LAT       Fish Trawl End Latitude (dd)         
              END_LNG       Fish Trawl End Longitude (dd)        

STATION,STAT_ALT,EVNTDATE,FTRLTYPE,FTRLFLAG,FSPECCNT,FT_DUR,FWTR_SPD,BEG_LAT,BEG_LNG,END_LAT,END_LNG,FTRAWLID,
CT00-0001,A,08/17/00,NCA, ,3,10:00,.,.,.,.,., ,
CT00-0003,A,08/04/00,NCA,UNSUCCESSFUL,.,3:00,.,.,.,.,., ,
CT00-0005,A,09/18/00,NCA, ,4,10:00,.,.,.,.,., ,
CT00-0007,A,08/10/00,NCA, ,7,10:00,.,.,.,.,., ,
CT00-0009,A,08/31/00,NCA, ,5,10:00,.,.,.,.,., ,
CT00-0011,B,09/01/00,NCA, ,4,10:00,.,.,.,.,., ,
CT00-0013,B,08/29/00,NCA, ,5,10:00,.,.,.,.,., ,
CT00-0015,A,09/06/00,NCA, ,8,10:00,.,.,.,.,., ,
CT00-0017,A,09/05/00,NCA, ,3,10:00,.,.,.,.,., ,
CT00-0055,A,09/19/00,CT, ,15,30:00,.,.,.,.,., ,
CT00-0057,A,09/18/00,CT, ,15,12:00,.,.,.,.,., ,
CT00-0059,A,09/18/00,CT, ,15,30:00,.,.,.,.,., ,
CT00-0061,A,09/19/00,CT, ,19,30:00,.,.,.,.,., ,
CT00-0063,A,09/19/00,CT, ,18,30:00,.,.,.,.,., ,
CT00-0065,A,09/25/00,CT, ,23,30:00,.,.,.,.,., ,
CT00-0067,A,09/25/00,CT, ,7,30:00,.,.,.,.,., ,
CT00-0069,A,09/07/00,CT, ,6,30:00,.,.,.,.,., ,
DE00-0001,A,10/17/00,NCA, ,3,10:50,2.0,38.4506,-75.0751,38.4532,-75.0806, ,
DE00-0003,A,10/17/00,NCA, ,4,12:35,2.0,38.4829,-75.1052,38.4869,-75.102, ,
DE00-0007,A,10/19/00,NCA, ,6,10:00,2.0,38.5719,-75.6732,38.5686,-75.6778, ,
DE00-0009,A,10/10/00,NCA, ,6,11:10,2.3,.,.,.,., ,
DE00-0011,B,10/16/00,NCA, ,0,10:00,2.0,38.5501,-75.1055,38.5518,-75.1002, ,
DE00-0013,A,10/20/00,NCA, ,4,10:00,2.0,38.5894,-75.6622,38.5938,-75.6598, ,
DE00-0015,A,10/12/00,NCA, ,6,11:52,2.8,38.5935,-75.284,38.5917,-75.2793, ,
DE00-0017,A,10/12/00,NCA, ,1,10:10,1.8,38.7557,-75.1745,38.5902,-75.18, ,
DE00-0019,A,10/16/00,NCA, ,0,10:00,2.0,38.592,-75.0793,38.5968,-75.0792, ,
DE00-0021,A,10/20/00,NCA, ,5,10:00,2.0,38.6162,-75.6367,38.6148,-75.6406, ,
DE00-0025,A,10/18/00,NCA,UNSUCCESSFUL,.,10:00,2.0,38.6373,-75.1158,38.6355,-75.1176, ,
DE00-0029,A,10/18/00,NCA,UNSUCCESSFUL,., ,2.0,38.6724,-75.1309,38.67,-75.1282, ,
DE00-0031,A,10/18/00,NCA, ,1,10:00,2.0,38.6703,-75.0743,38.6632,-75.0756, ,
DE00-0033,A,10/18/00,NCA,UNSUCCESSFUL,., ,2.0,38.6844,-75.0949,.,., ,
DE00-0037,A,09/28/00,NCA, ,7,10:00,.,39.2262,-75.4011,39.2236,-75.4008, ,
DE00-0039,A,10/09/00,NCA, ,8,10:00,.,39.0619,-75.3804,39.0657,-75.3973, ,
DE00-0041,A,10/10/00,NCA, ,9,10:00,.,38.9962,-75.293,.,., ,
DE00-0043,A,10/02/00,NCA, ,11,08:00,2.0,39.0308,-75.2233,38.8674,-75.216, ,
DE00-0045,A,10/02/00,NCA, ,13,10:00,1.5,38.7967,-75.1341,38.8033,-75.1314, ,
DE00-0047,A,10/11/00,NCA, ,5,10:00,1.8,39.7638,-75.4744,39.7585,-75.4788, ,
DE00-0049,A,10/11/00,NCA, ,8,10:00,2.9,39.6527,-75.5465,39.6565,-75.5426, ,
DE00-0051,A,10/05/00,NCA, ,9,10:00,1.6,39.5126,-75.5526,39.5101,-75.5533, ,
DE00-0053,A,10/04/00,NCA,UNCLEAR,8,10:00,1.5,39.3742,-75.4681,39.3657,-75.4594, ,
DE00-0055,A,10/10/00,NCA, ,4,10:00,.,39.2038,-75.3588,39.204,-75.3637, ,
DE00-0057,A,10/03/00,NCA, ,9,10:00,1.7,38.9155,-75.1021,38.9194,-75.109, ,
DE00-0059,A,09/27/00,NCA, ,6,10:00,.,38.7972,-75.2464,38.799,-75.2445, ,
DE00-0061,A,09/28/00,NCA,UNCLEAR,., ,.,39.2426,-75.4501,.,., ,
DE00-0065,B,09/29/00,NCA, ,5,10:00,.,39.3919,-75.539,39.3927,-75.541, ,
DE00-0069,B,09/22/00,NCA,UNCLEAR,6,10:00,.,39.7355,-75.5336,39.7366,-75.5357, ,
MA00-0091,A,09/08/00,MA, ,7,20:00,.,42.4498,-70.9185,42.4355,-70.919, ,
MA00-0093,A,09/08/00,MA, ,10,20:00,.,42.4512,-70.9107,42.4385,-70.9132, ,
MA00-0095,A,09/09/00,MA, ,8,20:00,.,42.6977,-70.7102,42.6878,-70.698, ,
MA00-0097,A,09/09/00,MA, ,9,20:00,.,42.6798,-70.7072,42.6757,-70.6898, ,
MA00-0099,A,09/10/00,MA, ,16,20:00,.,42.0258,-70.3365,42.0332,-70.3508, ,
MA00-0101,A,09/10/00,MA, ,11,17:00,.,41.9327,-70.3803,41.9303,-70.3668, ,
MA00-0103,A,09/11/00,MA, ,10,20:00,.,41.7902,-70.2702,41.7942,-70.2533, ,
MA00-0105,A,09/11/00,MA, ,8,20:00,.,41.831,-70.1232,41.8245,-70.1382, ,
MA00-0107,A,09/11/00,MA, ,11,20:00,.,41.9003,-70.1322,41.8882,-70.1393, ,
