Dataset:              Benthic Community Data
File Name:            va90_3_4.txt
Date Created:         11/17/97
# Variables:          10
# Header Records:     20
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              #GRABS       Number of grabs
              #TAXA        Mean number of taxa per grab
              #ORGS        Mean number of organisms per grab
              #I_TAXA      Mean number of infaunal taxa per grab
              #I_ORGS      Mean number of infaunal organisms per grab
              BMASS        Mean biomass (g) per grab
              MOIST        Mean moisture (%) per grab
              SICL         Mean silt/clay (%) per grab

STA_NAME    DATE  #GRABS #TAXA  #ORGS   #I_TAXA       #I_ORGS    BMASS      MOIST      SICL
VA90-021  900721       3    28    350     24.33        328.67   0.8011      63.01     89.21
VA90-022  900723       3    24    547     22.00        541.33   0.9077      55.35     87.46
VA90-023  900819       3    29    307     23.00        267.33   0.1299      46.00     56.50
VA90-024  900721       3    29    513     25.00        443.33   0.4727      50.14     54.97
VA90-025  900722       3    27   1465     24.00       1443.33   1.8029      62.63     82.10
VA90-026  900722       3    21   1070     18.67       1067.67   2.1971      47.20     46.15
VA90-027  900805       3    10    132      8.33         68.00   0.1219      18.62      1.09
VA90-028  900731       3    14    100     11.67         95.33   0.4059      57.51     60.08
VA90-029  900805       3    28   2482     23.00       2442.67   0.5028      28.62     14.45
VA90-031  900829       3    23    420     20.00        415.33   0.1511        .        5.83
VA90-032  900804       3    29    389     26.00        385.00   0.3021      30.92     16.79
VA90-033  900830       3    28    724     21.33        527.33   0.4622      24.00     14.48
VA90-034  900818       3    27    246     21.33        218.00   0.2440      37.23     63.62
VA90-035  900803       3    29    743     23.33        723.33   0.3238      32.73     14.33
VA90-036  900831       3    15    346     12.33        292.67   0.2365      18.06      6.65
VA90-037  900816       3    25    120     19.33         82.33   7.3247      18.00      1.82
VA90-038       .       .     .      .       .             .      .            .         .  
VA90-039  900811       3    21    122     18.00        113.67   0.0727      37.56      8.99
VA90-040  900819       3    25    219     21.00        209.33   0.2510      21.17      6.01
VA90-041  900720       3    32    205     28.33        198.00   0.1858      19.55      2.46
VA90-042  900803       3    38    219     33.00        203.67   0.6478      18.26      2.16
VA90-044  900721       3    19     68     12.67         48.00   0.0580      37.23     47.69
VA90-045  900720       3    19    152     16.00        146.33   0.1499      30.10     27.79
VA90-046  900804       3    53    302     41.67        231.33   1.9909      28.14      8.56
VA90-047  900729       3    29    163     25.33        152.67   0.8036      22.82      6.90
VA90-048  900722       3    36    264     31.00        251.67   1.1927      26.16     11.24
VA90-050  900720       3    11     49     10.33         48.33   0.1606      27.80     13.74
VA90-051  900731       3    47    360     38.67        293.00   1.5397      29.40     26.83
VA90-052  900826       3    10     50      6.67         40.67   0.0069      18.12      0.85
VA90-053  900803       3    39    549     29.00        224.33   3.1764      44.94     75.65
VA90-054  900731       3    52    343     42.67        297.00   2.6092      25.50     25.03
VA90-055  900824       3    24    145     22.00        140.00   0.3795      22.30      5.10
VA90-056  900819       3     0      0      0.33          0.33   0.0005      64.04     75.10
VA90-057  900725       3    31    147     26.33        134.67   0.1137      18.13      2.91
VA90-058  900817       3     9    130      9.00        129.33   0.0793      34.90      1.40
VA90-059  900722       3    36    481     20.33        329.67   2.2158      56.63     57.01
VA90-060  900803       3     6     52      5.00         51.00   0.0270      60.69     75.35
VA90-061  900725       3    34    384     27.67        324.67   0.4985      26.18     15.47
VA90-062  900824       3     0      0      0.33          0.33   0.0000      76.83     94.26
VA90-063  900825       3    10     71     10.00         71.00   0.1869      37.37     16.14
VA90-065  900816       3    20    253     19.00        251.67   0.6532      23.00      0.88
VA90-066  900824       3     3      6      2.67          5.67   0.0068      70.70     94.76
VA90-068       .       .     .      .       .             .      .            .         .  
VA90-069       .       .     .      .       .             .      .            .         .  
VA90-070  900728       3    38    637     30.00        585.33   1.5408      40.69     68.58
VA90-071  900924       3    35    671     23.33        406.00   3.5385      60.43     75.64
VA90-072       .       .     .      .       .             .      .            .         .  
VA90-073  900804       3    30   1557     21.67       1514.00   0.4076      60.81     65.00
VA90-074  900803       3    65   4445     46.33       4188.33   1.1505      26.01     10.05
VA90-075  900803       3    36    415     24.00        359.00   0.2788      14.20      6.38
VA90-076  900729       3    61    400     41.33        144.00   1.8174      21.33      6.26
VA90-077       .       .     .      .       .             .      .            .         .  
VA90-078  900818       3    45    443     37.33        431.33   1.3405      26.00     17.44
VA90-079  900813       3    28    305     22.00        286.67   0.6773      48.08     38.75
VA90-086  900801       3    13     48     11.67         45.33   0.0235      57.97     66.33
VA90-088  900826       3    13    650     13.00        649.67   0.2710      66.87     98.30
VA90-090  900726       3     4    136      3.67        135.67   0.0672      76.09     94.66
