Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
.,AMERBAHI,AMERICAMYSIS,BAHIA,AMERICAMYSIS BAHIA,
.,AMPEABVA,AMPELISCA,ABDITA-VADORUM COMPL,AMPELISCA ABDITA-VADORUM COMPLEX,
.,AMPHITRI, , ,AMPHITRITINAE,
.,APHESPEA,APHELOCHAETA,SP. A BLAKE,APHELOCHAETA SP. A BLAKE,
.,APHELOCH, , ,APHELOCHAETA SPP.,
.,ARICCERU, , ,ARICIDEA CERRUTTI,
.,XXXXASCI,UNID., ,ASCIDACEA,
.,ASTEPAX,ASTEROPELLA,PAX,ASTEROPELLA PAX,
.,AUTOLYNI, , ,AUTOLYNINAE,
.,CAECREGU, , ,CAECUM REGULARE,
.,CLEAPLAN,CLEANTOIDES,PLANICAUDA,CLEANTOIDES PLANICAUDA,
.,CREPCOFO,CREPIDULA,CONVEXA & FORNICATA,CREPIDULA CONVEXA-FORNICATA COMPL,
.,CRYPCOST,CRYPTOPLEURA,COSTATA,CRYPTOPLEURA COSTATA,
.,CUMITELL,CUMINGA,TELLINOIDES,CUMINGA TELLINOIDES,
.,CYCLJEAN,CYCLOTREMISCUS,JEANNAE,CYCLOTREMISCUS JEANNAE,
.,XXXBDORI,UNID., ,DORIDELLIDAE,
.,DORVRUDO, , ,DORVILLEA RUDOLPHI,
.,DRILDEBI,DRILONEREIS,DEBILIS,DRILONEREIS DEBILIS,
.,DYOPMONA, , ,DYOPEDOS MONACANTHUS,
.,EPITHUMP, , ,EPITONIUM HUMPHREYSI,
.,EUSACRES,EUSARSIELLA,CRESSEYI,EUSARSIELLA CRESSEYI,
.,EUSANODI,EUSARSIELLA,NODIMARGINIS,EUSARSIELLA NODIMARGINIS,
.,EUSAOZOT,EUSARSIELLA,OZOTOTHRIX,EUSARSIELLA OZOTOTHRIX,
.,EUSASPIN,EUSARSIELLA,SPINOSA,EUSARSIELLA SPINOSA,
.,EUSATEXA,EUSARSIELLA,TEXANA,EUSARSIELLA TEXANA,
.,EXOGPSEU,EXOGONE,PSEUDOLOUREI,EXOGONE PSEUDOLOUREI,
.,FABRICIN, , ,FABRICINAE,
.,GAMMSUTH, , ,GAMMAROPSIS SUTHERLANDI,
.,GONIVIRG, , ,GONIOBASIS VIRGINICA,
.,GYPTCRYP,GYPTIS,CRYPTA,GYPTIS CRYPTA,
.,HAUSJAYN,HAUSTORIUS,JAYNEAE,HAUSTORIUS JAYNEAE,
.,HETEPENT,HETERODRILUS,PENTCHEFFI,HETERODRILUS PENTCHEFFI,
.,HYDRACAR,UNIDENTIFIED, ,HYDRACARINA,
.,AMASCAPE,AMASTIGOS,CAPERATUS,AMASTIGOS CAPERATUS,
.,LAEVXXXX,LAEVICARDIUM,SP.,LAEVICARDIUM SP.,
.,LEPIXXAA,LEPIDASTHENIUS,SP.A,LEPIDASTHENIUS SP.A,
.,XXXXLEPT,UNID., ,LEPTOCHELIIDAE,
.,LIMNANXI,LIMNODRILOIDES,ANXIUS,LIMNODRILOIDES ANXIUS,
.,LIMNBACU,LIMNODRILOIDES,BACULATUS,LIMNODRILOIDES BACULATUS,
.,LISTSMIT,LISTRIELLA,SMITHI,LISTRIELLA SMITHI,
.,MAREVIRI,MARENZELLERIA,VIRIDIS,MARENZELLERIA VIRIDIS,
.,MONTBAPT,MONTICELLINA,BAPTISTEAE,MONTICELLINA BAPTISTEAE,
.,MONTBPDS,MONTICELLINA,BAPTISTEAE & DORSOBR,MONTICELLINA BAPTISTEAE-DORSOBRAN,
.,MULIPONC,MULINIA,PONTCHARTRAINENSIS,MULINIA PONTCHARTRAINENSIS,
.,XXXXMYOD,UNID., ,MYODOCOPIDA,
.,NEMERTIN,UNIDENTIFIED, ,NEMERTINEA,
.,NEOMKALA,NEOMEGAMPHOPUS,KALANII,NEOMEGAMPHOPUS KALANII,
.,NEPHCRYP,NEPHTYS,CRYPTOMMA,NEPHTYS CRYPTOMMA,
.,ODOSWEBE,ODOSTOMIA,WEBERI,ODOSTOMIA WEBERI,
.,OPHIWURD,OPHIOPHRAGMUS,WURDEMANI,OPHIOPHRAGMUS WURDEMANI,
.,OPHIUROI,UNIDENTIFIED, ,OPHIUROIDEA,
.,PARALONK,PARAKAKETIO,LONGIPROSTATUS,PARAKAKETIO LONGIPROSTATUS,
.,PARABREV,PARANINOE,BREVIPES,PARANINOE BREVIPES,
.,PAROXXXX,PARAONIS,SP.,PARAONIS SP.,
.,PARAAEST, , ,PARAPLEUSTES AESTUARIUS,
.,PECTGOUL,PECTINARIA,GOULDII,PECTINARIA GOULDII,
.,XXXXPHAL,UNID., ,PHALLODRILINAE,
.,PHYLMACU, , ,PHYLLODOCE MACULATA,
.,PILABERK,PILARGIS,BERKELEYAE,PILARGIS BERKELEYAE,
.,PINNBEHR,PINNIXA,BEHREAE,PINNIXA BEHREAE,
.,PLESRECT,PLESIOLEMBOS,RECTANGULATUS,PLESIOLEMBOS RECTANGULATUS,
.,XXXXPODO,UNID., ,PODOCOPIDA,
.,PODOXXXA,PODOCOPIDA,SP.A,PODOCOPIDA SP.A,
.,PODOXXXC, ,SP.C,PODOCOPIDA SP.C,
.,PODOXXXD,PODOCOPIDA,SP.D,PODOCOPIDA SP.D,
.,PODOXXXE,PODOCOPIDA,SP.E,PODOCOPIDA SP.E,
.,PODOXXXF,PODOCOPIDA,SP.F,PODOCOPIDA SP.F,
.,HYPELONG, , ,HYPERETEONE LONGA,
.,SYLLCORA,SYLLIS,CORALLICOIDES,SYLLIS CORALLICOIDES,
.,POLYCIRN,POLYCIRRINAE,UNIDENTIFIED,POLYCIRRINAE UNIDENTIFIED,
.,SCOLSQUA,SCOLELEPIS,SQUAMATA,SCOLELEPIS SQUAMATA,
.,PTERCALY,PTERIA,CALYMBUS,PTERIA CALYMBUS,
.,SABAELON, , ,SABACO ELONGATUS,
.,PRIOSALO,PRIONOTOLEBERIS,SALOMANI,PRIONOTOLEBERIS SALOMANI,
.,TECTBORI,TECTIDRILUS,BORI,TECTIDRILUS BORI,
.,SCOLHEBE, , ,SCOLETOMA HEBES,
.,SCOLIMPA,SCOLETOMA,IMPATIENS,SCOLETOMA IMPATIENS,
.,LUMBRINE,SCOLETOMA,SPP.,SCOLETOMA SPP.,
.,SELIADAM,SELIA,ADAMSI,SELIA ADAMSI,
