Dataset:              Water Quality Surface Data
File Name:            va91_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       101
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA91-261   910803    6.8   26.53  22.92    7.9  13    61   765 13.78    24.2
VA91-262   910815    6.7   25.73  24.43    8.0  15    60   380 15.16    27.4
VA91-263   910803    8.1   28.41  15.04    7.8  15    28  2722  7.33    29.0
VA91-265   910815    7.2   26.24  24.70    8.1  15    63   532 15.21    24.2
VA91-266   910817    7.2   27.18  20.63    7.9  11    46  1771 11.87    27.1
VA91-269   910804    8.2   28.55   4.52    7.8  16    40  1523 -0.52    14.8
VA91-270   910817    6.7   26.60  22.65    8.0   7    69   843 13.56    26.2
VA91-271   910816    7.2   26.17  22.82    8.2   7    72   775 13.82    23.1
VA91-273   910804    8.6   29.08   0.11    8.0  30    31   573 -3.94    15.2
VA91-275   910805    8.2   28.59   0.08    7.6  26    19   605 -3.82    21.2
VA91-276   910816    8.6   27.08  19.11    8.2   4    75   762 10.77    16.8
VA91-278   910805    7.4   29.13   0.11    7.3  11    25   161 -3.95    36.3
VA91-279   910823    7.4   27.09  20.81    8.1   4    76   499 12.04    21.4
VA91-281   910809    5.2   27.59  17.43    7.7   9    70   178  9.36    15.5
VA91-282   910812    7.8   26.71  17.85    8.2   6    78   737  9.93    15.1
VA91-283   910823    8.8   28.22  20.56    8.2   6    75   390 11.50    16.4
VA91-284   910810    7.0   26.66  17.19    8.1   7    80   427  9.46    19.1
VA91-285   910822    9.5   26.88  18.57    8.1   8    55   183 10.42    18.4
VA91-288   910810    6.2   27.71  12.73    7.4  13    21    93  5.82    39.7
VA91-290   910811    5.9   27.57  15.73    7.9   9     .  1196  8.10    20.8
VA91-291   910811    8.1   26.93  15.73    8.0   9    72   226  8.29    16.4
VA91-292   910822    7.9   27.59  17.34    8.0   4    56   231  9.29    22.4
VA91-294   910730    6.8   27.71   1.71    7.0  13    37   565 -2.36    17.2
VA91-295   910821    7.6   27.40  16.83    8.1   3    77   351  8.97    13.7
VA91-296   910821    6.8   26.85  16.53    7.9  10    60  1196  8.91    16.4
VA91-298   910730    6.3   27.31   0.20    7.0  20    23   290 -3.36    22.4
VA91-300   910729    6.4   28.66   0.04    6.7  30    26   173 -3.87    23.2
VA91-302   910728    7.6   27.82  12.96    8.1  11    75   936  5.96    12.6
VA91-303   910827    6.7   26.39  16.81    7.9   8    77   367  9.25    14.2
VA91-307   910827    6.9   26.41  16.93    8.0   6    59  1092  9.34    15.7
VA91-309   910729    7.5   29.06   0.04    7.0  30    30   324 -3.98    23.5
VA91-312   910728    5.0   27.44  12.36    8.0   6    79  1507  5.62    16.8
VA91-314   910724    8.2   30.53  11.78    8.2  12    54  1724  4.24    14.1
VA91-315   910724    5.7   28.47  10.45    7.6  19    57  1279  3.90    11.5
VA91-316   910827    7.4   26.05  15.98    8.0   8    46    94  8.73    24.0
VA91-317   910829    6.9   26.45  14.02    7.9  17    18  1419  7.15    40.8
VA91-319   910723    8.3   30.85   3.02    8.2  21    48   676 -2.33     6.4
VA91-322   910815     .    26.89  14.04    8.3  10    53  1014  7.04    18.7
VA91-325   910815     .    26.07    .      8.3   7    85   498  8.04    13.3
VA91-326   910723    8.7   29.94   0.19    8.5  21    32   645 -4.13    17.9
VA91-328   910822    7.6   27.55  28.68    8.3  23    39  1029 17.79    37.4
VA91-330   910817    4.6   26.97  13.81    8.0  17    43    57  6.84    20.5
VA91-333   910722    7.8   30.12   0.17    8.3  15    32   692 -4.20    11.0
VA91-335   910904     .    23.25  29.29    8.3   5    83   528 19.54    17.7
VA91-336   910816    4.9   27.16  12.68    7.9  15    30   398  5.94    23.0
