Dataset:              Water Quality Bottom Data
File Name:            va93_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA93-601  930918    5.9  23.37  27.18    8.3    12    46      5  17.91
VA93-602  930813    6.4  25.52  18.49    8.2     8    49     55  10.77
VA93-604  930726    7.3  24.53  27.84    8.2     5    83    180  18.08
VA93-606  930814    6.6  26.95   9.12    8.0     9    31     10   3.35
VA93-607  930827    4.4  26.31  22.10    8.2     6    57     44  13.24
VA93-608  930904    4.7  25.18  27.26    8.3     4    43      6  17.45
VA93-609  930815    5.7  27.44   0.36    7.7    22     2      5  -3.33
VA93-610  930816    7.5  28.77   0.14    8.0    28     5      5  -3.88
VA93-611  930828    5.6  27.47  19.89    8.0     7    53     28  11.24
VA93-612  930904    4.1  25.26  26.67    8.3     3    60      7  16.99
VA93-613  930817    6.6  27.95   0.12    7.6     7    52      5  -3.66
VA93-615  930904    3.8  26.03  24.14    8.3     4    32      8  14.85
VA93-616  930727    5.1  25.57  21.26    8.3     5    71      8  12.83
VA93-617  930822    6.5  26.19  17.28    8.5     6    53     36   9.67
VA93-618  930903    3.3  26.00  22.86    8.2     4    41      6  13.91
VA93-619  930728    6.7  26.51  17.51    8.4     7    68    130   9.75
VA93-620  930808    4.0  26.35  14.78    8.0     6    78     25   7.76
VA93-621  930820    7.6  27.89   6.14    8.0    22     3      4   0.86
VA93-622  930807    5.8  25.71  15.64    8.3     5    66      5   8.58
VA93-623  930808    6.9  25.57  16.25    8.4     8    71     99   9.07
VA93-624  930808    6.2  26.27  17.84    8.2     8    65     28  10.06
VA93-626  930903    0.3  25.45  21.16    7.8     1    81      5  12.79
VA93-627  930809    4.2  26.29  17.11    8.0     4    54      2   9.51
VA93-628  930819    6.8  27.73   1.32    7.5    19     8      5  -2.69
VA93-630  930804    0.0  24.92  17.90    7.6     3    73      5  10.49
VA93-631  930809    8.0  25.32  14.48    8.5     6    61    313   7.83
VA93-632  930820    6.5  27.58   0.13    7.3    24     9      4  -3.54
VA93-633  930901    7.9  27.98  16.38    8.3     4    57    193   8.47
VA93-634  930817    6.0  26.63  28.30    8.2    16    39     36  17.80
VA93-635  930823    6.7  28.03   0.05    7.3    24     4      9  -3.73
VA93-637  930811    6.8  26.22  12.01    8.6    13    60      6   5.72
VA93-638  930730    6.8  27.65  13.27    8.5     4    73     24   6.25
VA93-639  930821    7.7  28.16   0.05    7.3    24    25      5  -3.77
VA93-640  930810    6.6  25.50  11.62    8.0    12    39     92   5.63
VA93-641  930816    7.5  23.43  30.89    8.3     4    60    170  20.70
VA93-642  930810    7.1  26.40   9.12    8.0    17    23     69   3.51
VA93-643  930809    5.4  26.18   9.70    7.9     9    60     12   4.01
VA93-644  930902    0.0  24.72  21.36    7.8     2    50      4  13.15
VA93-645  930810    7.0  26.63   2.89    7.9     6    21      4  -1.21
VA93-647  930805    0.0  24.63  17.62    7.6     2    84      4  10.37
VA93-648  930805    2.3  27.31  12.45    7.5     5    34      5   5.74
VA93-649  930827    6.6  27.46  11.12    8.0    17    42     22   4.70
VA93-650  930829    6.2  27.11  14.31    8.0     6    74     95   7.18
VA93-651  930801    7.9  27.41   0.15    7.8    27    18     66  -3.48
VA93-652  930828    6.5  29.16  10.91    8.3     9    38     53   4.03
VA93-653  930827    3.5  25.71  14.30    7.8     3    59      3   7.58
VA93-654  930815    6.2  25.97  29.67    8.2    20    43    185  19.03
VA93-655  930803    6.7  27.74   0.17    8.4     3    39     97  -3.56
VA93-657  930825    4.0  25.41  14.43    7.8     4    75      2   7.76
VA93-658  930826    4.4  25.59  13.07    7.7     5    69     24   6.69
VA93-659  930821    6.3  23.65  30.91    8.0     2    58    186  20.65
VA93-660  930822    6.2  24.08  28.83    7.9     6    41      9  18.96
VA93-661  930805    3.6  26.66  11.02    7.7     4    35      2   4.86
VA93-663  930819    6.3  24.37  26.56    7.9     7    40      2  17.16
VA93-664  930819    6.8  25.99  23.14    8.1    15    44     26  14.12
VA93-666  930814    5.7  25.56  19.03    7.9     5    37      3  11.16
VA93-667  930802    6.4  26.57   5.57    7.5     5    58      3   0.81
VA93-668  930730    5.5  26.68  15.45    7.7     4    39      2   8.16
VA93-669  930822    8.4  25.77  29.87    8.0    20    44     52  19.24
VA93-670  930801    8.1  26.88   0.43    7.9     9    40      8  -3.13
VA93-671  930821    7.1  25.36  29.45    8.0    17    43     78  19.05
VA93-672  930801    7.7  26.28   0.15    9.1    24    14      6  -3.17
VA93-673  930729    5.8  27.19   2.58    7.6     7    15      7  -1.60
VA93-675  930728    4.7  26.89   0.21    7.3     8    40      2  -3.30
VA93-676  930820    2.7  25.04  15.98    7.0    20    47     34   9.02
VA93-677  930726    6.7  27.29   0.12    7.5    18    58     21  -3.47
VA93-678  930727    6.4  26.74   0.12    7.4     8    69      4  -3.32
VA93-681  930809    5.8  21.58  27.39    7.9     9    62     40  18.56
VA93-682  930808    3.8  24.50  24.85    7.7     4    21      7  15.83
