Dataset:              Fish Species Abundance Data
File Name:            va91_4_2.txt
Date Created:         02/23/96
# Variables:          6
# Header Records:     16
# Data Records:       477
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              T_ABN        # of individuals collected of the taxon
              M_LEN        Mean length (mm) of fish in taxon
              SDLEN        Standard dev. (mm) of length

STA_NAME   DATE LATIN NAME                               T_ABN    M_LEN  SDLEN
VA91-261 910803 CENTROPRISTIS STRIATA                        7   146.86  10.71
VA91-261 910803 CITHARICHTHYS MACROPS                        2   112.50   3.54
VA91-261 910803 ETROPUS MICROSTOMUS                         10    95.90   6.03
VA91-261 910803 LEIOSTOMUS XANTHURUS                         2   188.50   4.95
VA91-261 910803 MONACANTHUS HISPIDUS                         2    84.50  13.44
VA91-261 910803 PARALICHTHYS DENTATUS                        3   183.33   7.51
VA91-261 910803 PRIONOTUS CAROLINUS                         28   142.18   8.92
VA91-261 910803 PRIONOTUS EVOLANS                            5   118.00   2.92
VA91-261 910803 RAJA EGLANTERIA                              2   430.00  21.21
VA91-261 910803 SCOPHTHALMUS AQUOSUS                         3   157.33   6.51
VA91-261 910803 SPHOEROIDES MACULATUS                        4   109.25  20.71
VA91-261 910803 TRINECTES MACULATUS                         24   104.50  23.96
VA91-262 910815 CENTROPRISTIS STRIATA                       17   145.76  12.18
VA91-262 910815 CYNOSCION REGALIS                            1   239.00    .  
VA91-262 910815 ETROPUS MICROSTOMUS                          1   104.00    .  
VA91-262 910815 LEIOSTOMUS XANTHURUS                        19   178.21   7.05
VA91-262 910815 MICROPOGONIAS UNDULATUS                     24   174.63   9.50
VA91-262 910815 ORTHOPRISTIS CHRYSOPTERA                    16   110.81   6.61
VA91-262 910815 PARALICHTHYS DENTATUS                        2   257.50 144.96
VA91-262 910815 PARALICHTHYS OBLONGUS                        1   113.00    .  
VA91-262 910815 PEPRILUS TRIACANTHUS                         3   103.67   8.14
VA91-262 910815 PRIONOTUS CAROLINUS                          1    98.00    .  
VA91-262 910815 RAJA EGLANTERIA                             10   243.50 139.56
VA91-262 910815 SPHOEROIDES MACULATUS                        1    93.00    .  
VA91-262 910815 SYMPHURUS PLAGIUSA                          91   160.13  17.76
VA91-262 910815 TRINECTES MACULATUS                          1   165.00    .  
VA91-262 910815 UROPHYCIS REGIA                             25   213.76  10.27
VA91-263 910803 ANCHOA MITCHILLI                             2    56.00   5.66
VA91-263 910803 CYNOSCION REGALIS                            1   147.00    .  
VA91-263 910803 LEIOSTOMUS XANTHURUS                         5   122.00  11.75
