Dataset:              Fish Community Abundance Data
File Name:            va93_4_7.txt
Date Created:         02/23/96
# Variables:          4
# Header Records:     14
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              #TAXA        Total no. of fish taxa in trawl
              #ORGS        Total no. of individual fish in trawl

STA_NAME    DATE       #TAXA    #ORGS
VA93-601  930918          17      166
VA93-602  930813           5      308
VA93-604  930726           1        3
VA93-606  930814           5      135
VA93-607  930827           4       14
VA93-608  930904          13      297
VA93-609  930815           7      148
VA93-610  930816           7      114
VA93-611  930828           7      110
VA93-612  930904           8       53
VA93-613  930817           6       72
VA93-615  930904          10      282
VA93-616  930728           5        8
VA93-617  930822           7       43
VA93-618  930903           6      221
VA93-619  930728           0        0
VA93-620  930808           1        2
VA93-621  930820           4       34
VA93-622  930807           5       91
VA93-623  930808           2       12
VA93-624  930808           7      101
VA93-626  930903           3        4
VA93-627  930809          10      343
VA93-628  930819           5      130
VA93-630  930804           0        0
VA93-631  930809           4       84
VA93-632  930820           4      469
VA93-633  930901           7      454
VA93-634  930817           6       10
VA93-635  930823           6      311
VA93-637  930811           3       24
VA93-638  930730           4        7
VA93-639  930821           7      457
VA93-640  930810           5      373
VA93-641  930816           4        6
VA93-642  930810           6      210
VA93-643  930809           4      546
VA93-644  930902           1        1
VA93-645  930810           4       75
VA93-647  930805           0        0
VA93-648  930805           6      205
VA93-649  930827           5       32
VA93-650  930829           0        0
VA93-651  930801           9      101
VA93-652  930828           5       80
VA93-653  930827           4       88
VA93-654  930815           5       29
VA93-655  930803           3       70
VA93-657  930825           1        1
VA93-658  930826           5      265
VA93-659  930821           5        8
VA93-660  930822          12      126
VA93-661  930805           5      518
VA93-663  930819           5       28
VA93-664  930819           7       26
VA93-666  930814           6      194
VA93-667  930802           5       28
VA93-668  930730           6       22
VA93-669  930822          15      112
VA93-670  930801           7      313
VA93-671  930821           6        8
VA93-672  930801           6      739
VA93-673  930729           8      291
VA93-675  930728           4       68
VA93-676  930820           6       28
VA93-677  930726           0        0
VA93-678  930727           7      161
VA93-681  930809           3       10
VA93-682  930808           5      103
VA93-683  930811           3        8
VA93-684       .           .        .
VA93-685  930810           3        7
VA93-686  930901           9      305
VA93-687  930831           4       24
VA93-688  930831           6       33
VA93-689       .           .        .
VA93-690  930827           4        8
VA93-693  930730           5       29
VA93-694  930726           8       63
VA93-695       .           .        .
VA93-696  930802           7       99
VA93-697  930804           1        1
VA93-698       .           .        .
VA93-699  930917           8     1244
VA93-700  930917           2        3
VA93-702  930826           4       18
VA93-703  930825           1        3
VA93-704  930825           5       10
VA93-705       .           .        .
VA93-706  930916           5       27
VA93-707  930917           8       48
VA93-709  930813           5       50
VA93-710  930726           5       37
VA93-711  930819           4       40
VA93-712  930814           5        6
VA93-713  930813           7      136
VA93-714  930819           0        0
VA93-715  930914           4       13
VA93-716  930914           6      290
VA93-717  930915           5      202
VA93-718  930814           3      489
VA93-719  930727           5       23
VA93-720  930816           4      160
VA93-721       .           .        .
VA93-722       .           .        .
VA93-723  930822           3       31
VA93-724  930822           1        1
VA93-725  930815           0        0
VA93-726  930728           7      192
VA93-727  930729           5       35
