Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
.,CENTPHIL,CENTROPRISTIS,PHILADELPHIA,CENTROPRISTIS PHILADELPHIA,
.,UNKNOW04, , ,UNKNOWN,
.,GERRCINE,GERRES,CINERUS,GERRES CINERUS,
.,NOTRGSPC, , ,NO TARGET SPECIES,
.,LEPOGULO,LEPOMIS,GULOSUS,LEPOMIS GULOSUS,
.,XXXXXX03, , ,UNKNOWN,
.,NOORGPRS, , ,NO ORGANISMS PRESENT,
.,POLYSPAT,POLYDON,SPATHULA,POLYDON SPATHULA,
.,XXXXXX01, , ,UNKNOWN,
.,DASYSAYI,DASYATIS,SAYI,DASYATIS SAYI,
.,LOLIBREV,LOLIGO,BREVIUS,LOLIGO BREVIUS,
82696,ARTHRO01, , ,ARTHROPODA,
83677,CRUSTA01, , ,CRUSTACEA,
95599,DECAPO01, , ,DECAPODA,
95602,PENAEU02, , ,PENAEIDAE UNCL,
95603,PENAEU01,PENAEUS,SP,PENAEUS SP,
95605,PENAAZTE,PENAEUS,AZTECUS,PENAEUS AZTECUS,
95608,PENADUOR,PENAEUS,DUORARUM,PENAEUS DUORARUM,
95610,PENASETI,PENAEUS,SETIFERUS,PENAEUS SETIFERUS,
95649,TRACSIMI,TRACHYPENAEUS,SIMILIS,TRACHYPENAEUS SIMILIS,
96221,MACROHIO,MACROBRACHIUM,OHIONE,MACROBRACHIUM OHIONE,
96383,PALAXXXX,PALAEMONETES,PALUDOSUS,PALAEMONETES SP,
96383,PALAXXXX,PALAEMONETES,SP.,PALAEMONETES SP,
96385,PALAPALU,PALAEMONETES,PALUDOSUS,PALAEMONETES PALUDOSUS,
97337,CAMBAR01,CAMBARUS,SP,CAMBARUS SP,
97337,CAMBXXXX,CAMBARUS,SP.,CAMBARUS SP.,
98455,LIBIEMAR,LIBINIA,EMARGINATA,LIBINIA EMARGINATA,
98689,PORTUN01, , ,PORTUNIDAE UNCL,
98695,CALLIN01,CALLINECTES,SP,CALLINECTES SP,
98696,CALLSAPI,CALLINECTES,SAPIDUS,CALLINECTES SAPIDUS,
98697,CALLSIMI,CALLINECTES,SIMILIS,CALLINECTES SIMILIS,
98811,MENIMERC,MENIPPE,MERCENARIA,MENIPPE MERCENARIA,
99143,SQUIEMPU,SQUILLA,EMPUSA,SQUILLA EMPUSA,
158852,CHORDA01, , ,CHORDATA,
159786,ELASMO04, , ,ELASMOBRANCHII,
159851,LAMNIF01, , ,LAMNIFORMES,
160178,CARCHA02, , ,CARCHARHINIDAE UNCL,
160226,MUSTEL01,MUSTELUS,SP,MUSTELUS SP,
160230,MUSTCANI,MUSTELUS,CANIS,MUSTELUS CANIS,
160267,CARCHA01,CARCHARHINUS,SP,CARCHARHINUS SP,
160289,CARCPLUM,CARCHARHINUS,PLUMBEUS,CARCHARHINUS PLUMBEUS,
160318,CARCLIMB,CARCHARHINUS,LIMBATUS,CARCHARHINUS LIMBATUS,
160340,CARCPORO,CARCHARHINUS,POROSUS,CARCHARHINUS POROSUS,
160409,CARCISOD,CARCHARHINUS,ISODON,CARCHARHINUS ISODON,
160502,SPHYTIBU,SPHYRNA,TIBURO,SPHYRNA TIBURO,
160806,RAJIFO01, , ,RAJIFORMES,
160845,RAJIDA01, , ,RAJIDAE UNCL,
160846,RAJA01,RAJA,SP,RAJA SP,
160855,RAJAEGLA,RAJA,EGLANTERIA,RAJA EGLANTERIA,
160856,RAJAERIN,RAJA,ERINACEA,RAJA ERINACEA,
160858,RAJAOCEL,RAJA,OCELLATA,RAJA OCELLATA,
160946,DASYAT02, , ,DASYATIDAE UNCL,
160947,DASYAT01,DASYATIS,SP,DASYATIS SP,
