Dataset:              Station Location Data
File Name:            va91_1_2.txt
Date Created:         02/22/96
# Variables:          5
# Header Records:     15
# Data Records:       101
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (decimal degrees)
              DEPTH        Depth (m)
              SYSTEM       Large water body system

STA_NAME     LATDEG     LNGDEG     DEPTH   SYSTEM
VA91-261    36.9402   -76.2135       5.4   CHESAPEAKE BAY
VA91-262    36.9563   -76.0082      21.8   CHESAPEAKE BAY
VA91-263    36.9767   -76.4833       3.5   CHESAPEAKE BAY
VA91-265    37.0888   -76.1317      12.9   CHESAPEAKE BAY
VA91-266    37.0980   -76.3333       2.2   CHESAPEAKE BAY
VA91-269    37.1633   -76.6287       5.4   CHESAPEAKE BAY
VA91-270    37.2210   -76.2552       6.1   CHESAPEAKE BAY
VA91-271    37.2373   -76.0493       4.1   CHESAPEAKE BAY
VA91-273    37.2407   -76.9550       6.0   CHESAPEAKE BAY
VA91-275    37.3197   -77.1918       9.0   CHESAPEAKE BAY
VA91-276    37.3697   -76.1732      10.1   CHESAPEAKE BAY
VA91-278    37.3787   -77.3163       8.0   CHESAPEAKE BAY
VA91-279    37.5182   -76.0903      11.7   CHESAPEAKE BAY
VA91-281    37.5397   -76.4048       5.7   CHESAPEAKE BAY
VA91-282    37.6505   -76.2145      11.3   CHESAPEAKE BAY
VA91-283    37.6665   -76.0072      14.9   CHESAPEAKE BAY
VA91-284    37.7990   -76.1313      10.3   CHESAPEAKE BAY
VA91-285    37.8148   -75.9237       4.8   CHESAPEAKE BAY
VA91-288    37.8313   -76.7470       3.0   CHESAPEAKE BAY
VA91-290    37.8500   -76.3607       4.8   CHESAPEAKE BAY
VA91-291    37.9313   -76.2560       7.7   CHESAPEAKE BAY
VA91-292    37.9473   -76.0478       3.2   CHESAPEAKE BAY
VA91-294    38.0387   -76.9167       3.9   CHESAPEAKE BAY
VA91-295    38.0798   -76.1723       5.9   CHESAPEAKE BAY
VA91-296    38.0957   -75.9637       8.9   CHESAPEAKE BAY
VA91-298    38.1395   -77.0540       3.8   CHESAPEAKE BAY
VA91-300    38.1812   -77.1930       3.7   CHESAPEAKE BAY
VA91-302    38.2072   -76.5990       6.3   CHESAPEAKE BAY
VA91-303    38.2120   -76.2973      12.1   CHESAPEAKE BAY
VA91-307    38.2282   -76.0883       4.2   CHESAPEAKE BAY
VA91-309    38.2347   -77.2297       8.8   CHESAPEAKE BAY
VA91-312    38.2562   -76.6608       4.6   CHESAPEAKE BAY
VA91-314    38.2813   -76.7108       2.2   CHESAPEAKE BAY
