Dataset:              Infaunal Abundance - Raw Data By Grab and Taxon
File Name:            CP_BEN_A.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       9609
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              GRABREP      Grab replicate number
              COD_EMAP     Carolinian Province Office Taxa Code
              ABUNDANC     Abundance of taxon
              SPEC_IGN     Ignore taxa flag

STA_NAME;DATE;GRABREP;COD_EMAP;ABUNDANC;SPEC_IGN
CP94001;940815;1;ACTECANA;19;.
CP94001;940815;1;ALPHAMBL;1;.
CP94001;940815;1;AMAETRIL;1;.
CP94001;940815;1;AMPEVADO;1;.
CP94001;940815;1;APHEXSP1;2;.
CP94001;940815;1;ARMAMACU;1;.
CP94001;940815;1;ASTYLUNA;3;.
CP94001;940815;1;BITTVARI;12;.
CP94001;940815;1;BULLSTRI;2;.
CP94001;940815;1;CAECNITI;4;.
CP94001;940815;1;CAECPULC;46;.
CP94001;940815;1;CAPICAPI;2;.
CP94001;940815;1;CAPRSCAU;1;.
CP94001;940815;1;CARIXSP1;3;.
CP94001;940815;1;CHIOCANC;18;.
CP94001;940815;1;CIRRXSPP;3;.
CP94001;940815;1;COSTSPAR;1;.
CP94001;940815;1;DIOPCUPR;1;.
CP94001;940815;1;DORVRUDO;2;.
CP94001;940815;1;DYNAXXSP;1;.
CP94001;940815;1;FABRTRIL;42;.
CP94001;940815;1;FINEADAM;13;.
CP94001;940815;1;GLYCSOLI;4;.
CP94001;940815;1;GRANBONN;2;.
CP94001;940815;1;HAMIELEG;1;.
CP94001;940815;1;LAONXSP1;258;.
CP94001;940815;1;LEPTXSPP;6;.
CP94001;940815;1;LEUCAMER;1;.
CP94001;940815;1;LIMNRUBI;2;.
CP94001;940815;1;LYONHYAL;5;.
CP94001;940815;1;MEDIAMBI;3;.
CP94001;940815;1;MEDIXSPP;6;1
CP94001;940815;1;MONTDORS;2;.
CP94001;940815;1;MUSCLATE;1;.
CP94001;940815;1;NUCUPROX;2;.
CP94001;940815;1;PARVMULT;2;.
CP94001;940815;1;PARVXXSP;1;1
CP94001;940815;1;PHOTLONG;3;.
CP94001;940815;1;PRIOCRIS;1;.
CP94001;940815;1;PSEUXSP1;32;.
CP94001;940815;1;RICTPUNC;5;.
CP94001;940815;1;RUDIXSP1;1;.
CP94001;940815;1;SCOLVERR;32;.
CP94001;940815;1;SCRUXXSP;1;.
CP94001;940815;1;SEMEPROF;1;.
CP94001;940815;1;SPHALABY;5;.
CP94001;940815;1;SPHATAYL;7;.
CP94001;940815;1;STREBENE;9;.
CP94001;940815;1;TAGEDIVI;13;.
CP94001;940815;1;TECTXXSP;3;.
CP94001;940815;1;TELLVERS;1;.
CP94001;940815;1;TERESTRO;9;.
CP94001;940815;1;TURBINTE;1;.
CP94001;940815;1;XXX1HYDR;1;.
CP94001;940815;1;XXX1POLY;1;.
CP94001;940815;1;XXXXANTH;1;.
CP94001;940815;1;XXXXMALD;7;1
CP94001;940815;1;XXXXNEMA;1;2
CP94001;940815;1;XXXXTUBI;1;1
CP94001;940815;2;ACTECANA;14;.
CP94001;940815;2;ALVAAUBE;1;.
CP94001;940815;2;ASTYLUNA;2;.
CP94001;940815;2;BITTVARI;14;.
CP94001;940815;2;BRANAREN;1;.
CP94001;940815;2;BULLSTRI;1;.
CP94001;940815;2;CAECNITI;3;.
CP94001;940815;2;CAECPULC;42;.
CP94001;940815;2;CAPIJONE;4;.
CP94001;940815;2;CAPRSCAU;2;.
CP94001;940815;2;CHIOCANC;5;.
CP94001;940815;2;CHONXSP1;2;.
CP94001;940815;2;CIRRXSPP;1;.
CP94001;940815;2;COOPATLA;1;.
CP94001;940815;2;CORBSWIF;1;.
CP94001;940815;2;CREPXSPP;1;2
CP94001;940815;2;CUMEXXSP;1;.
CP94001;940815;2;DYNAXXSP;1;.
CP94001;940815;2;EMPLXSP1;1;.
CP94001;940815;2;ERICBRAS;1;.
CP94001;940815;2;EUBRXSP1;1;.
CP94001;940815;2;EUPOXSPP;1;.
CP94001;940815;2;EXOGDISP;9;.
CP94001;940815;2;FABRTRIL;42;.
CP94001;940815;2;FINEADAM;17;.
CP94001;940815;2;GLYCABRA;1;.
CP94001;940815;2;GLYCSOLI;4;.
CP94001;940815;2;GRANBONN;1;.
CP94001;940815;2;HAMISUCC;1;.
CP94001;940815;2;HOLOXSP1;1;.
CP94001;940815;2;LAONXSP1;165;.
CP94001;940815;2;LEPTXSPP;11;.
CP94001;940815;2;LIMNRUBI;1;.
CP94001;940815;2;LYONHYAL;1;.
CP94001;940815;2;MEDIAMBI;13;.
CP94001;940815;2;MEDIXSPP;35;1
CP94001;940815;2;MERCXXSP;1;.
CP94001;940815;2;NOTOHEMI;1;.
CP94001;940815;2;NUCUPROX;1;.
CP94001;940815;2;PARAPINN;1;.
CP94001;940815;2;PARVMULT;2;.
CP94001;940815;2;PARVOBES;1;.
CP94001;940815;2;PHORARCH;1;.
CP94001;940815;2;PSEU2SP1;3;.
CP94001;940815;2;PSEUXSP1;39;.
CP94001;940815;2;RUDIXSP1;1;.
CP94001;940815;2;SCOLVERR;37;.
CP94001;940815;2;SCRUXXSP;1;.
CP94001;940815;2;SMARVIRI;1;.
CP94001;940815;2;SPHATAYL;2;.
CP94001;940815;2;STREBENE;5;.
CP94001;940815;2;TAGEDIVI;12;.
CP94001;940815;2;TECTXXSP;1;.
CP94001;940815;2;TERESTRO;3;.
CP94001;940815;2;TURBDALL;1;.
CP94001;940815;2;TURBINTE;1;.
CP94001;940815;2;XENABREV;5;.
CP94001;940815;2;XXXXENTO;1;1
CP94001;940815;2;XXXXMALD;6;1
CP94001;940815;2;XXXXNEMA;1;2
CP94001;940815;2;XXXXSPIR;3;.
CP94001;940815;2;XXXXTERE;1;1
CP94001;940815;2;XXXXTUBI;3;1
CP94002;940815;1;CARIXSP1;1;.
CP94002;940815;1;MEDIXSPP;6;.
CP94002;940815;1;PARAPINN;2;.
CP94002;940815;1;XXXXNEMA;1;2
CP94002;940815;2;MEDIXSPP;1;.
CP94002;940815;2;MULILATE;1;.
CP94002;940815;2;SCOLOTEX;2;.
CP94003;940816;1;ACTECANA;16;.
CP94003;940816;1;AGLAVERR;15;.
CP94003;940816;1;AMATALTE;1;.
CP94003;940816;1;AMATDIST;1;.
CP94003;940816;1;AMATVIDO;1;.
CP94003;940816;1;AMPEVADO;1;.
CP94003;940816;1;AMPHTHRO;1;.
CP94003;940816;1;AMYGPAPY;1;2
CP94003;940816;1;ASCOULLA;10;.
CP94003;940816;1;ASTYLUNA;7;.
CP94003;940816;1;BEANKLUG;1;.
CP94003;940816;1;BITTVARI;3;.
CP94003;940816;1;BOWEMAXI;1;.
CP94003;940816;1;BRANAREN;5;.
CP94003;940816;1;BULLSTRI;1;.
CP94003;940816;1;CAECPULC;252;.
CP94003;940816;1;CALLBREV;4;.
CP94003;940816;1;CAPICAPI;5;.
CP94003;940816;1;CERABENT;35;.
CP94003;940816;1;CIRRXSPP;1;.
CP94003;940816;1;CORBSWIF;2;.
CP94003;940816;1;COROTUBE;4;.
CP94003;940816;1;CREPXSPP;5;2
CP94003;940816;1;CYMACOMP;5;.
CP94003;940816;1;DEMOMICR;1;.
CP94003;940816;1;DIPOSOCI;1;.
CP94003;940816;1;DYNAXXSP;4;.
CP94003;940816;1;EMPLXSP1;7;.
CP94003;940816;1;ERICATTE;2;.
CP94003;940816;1;ERICBRAS;10;.
CP94003;940816;1;EULIXSP1;2;.
CP94003;940816;1;EXOGDISP;198;.
CP94003;940816;1;FABRTRIL;229;.
CP94003;940816;1;GLYCSOLI;5;.
CP94003;940816;1;GRANBONN;24;.
CP94003;940816;1;HAMISUCC;6;.
CP94003;940816;1;HAMIXSPP;1;.
CP94003;940816;1;HOLOXSP1;14;.
CP94003;940816;1;HOLOXSP2;11;.
CP94003;940816;1;HOLOXSP3;3;.
CP94003;940816;1;KALLXSP1;2;.
CP94003;940816;1;KINBSIMO;12;.
CP94003;940816;1;LAONXSP1;9;.
CP94003;940816;1;LEPTTENU;9;.
CP94003;940816;1;LEPTXSPP;1;.
CP94003;940816;1;LEUCAMER;1;.
CP94003;940816;1;LINEXSP6;1;.
CP94003;940816;1;LYSIALBA;17;.
CP94003;940816;1;MEDIAMBI;5;.
CP94003;940816;1;MEDIXSPP;42;1
