Dataset:              Infauna Species List
File Name:            CP_BEN_S.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       884
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              GROUP        General Taxonomic Group (Class, Order)
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species

COD_EMAP;PHYLUM;GROUP;FAMILY;GENUS;SPECIES
ABLAANNU;ARTHROPODA;DIPTERA;CHIRONOMIDAE;ABLABESMYIA;ANNULATA
ABLAPELE;ARTHROPODA;DIPTERA;CHIRONOMIDAE;ABLABESMYIA;PELEENSIS
ABLARHAM;ARTHROPODA;DIPTERA;CHIRONOMIDAE;ABLABESMYIA;RHAMPHE
ABLAXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;ABLABESMYIA;SPP
ABRAAEQU;MOLLUSCA;BIVALVIA;SEMELIDAE;ABRA;AEQUALIS
ACALBIFI;ARTHROPODA;DECAPODA;CALIANASSIDAE;ACALLIANASSA;BIFORMIS
ACANMILL;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;ACANTHOHAUSTORIUS;MILLSI
ACANXSPP;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;ACANTHOHAUSTORIUS;SPP
ACETCARA;ARTHROPODA;DECAPODA;PENAEIDAE;ACETES;AMERICANUS CAROLINAE
ACHESAWA;ARTHROPODA;PYCNOGONIDA;AMMOTHEIDAE;ACHELIA;SAWAYAI
ACTECANA;MOLLUSCA;GASTROPODA;CYLICHNIDAE;ACTEOCINA;CANALICULATA
ACUMNAGL;ARTHROPODA;AMPHIPODA;AORIDAE;ACUMINODEUTOPUS;NAGLEI
AEVESETI;ECTOPROCTA;CTENOSTOMATA;VALKERIIDAE;AEVERRILIA;SETIGERA
AGLAVERR;ANNELIDA;POLYCHAETA;NEPHTYIDAE;AGLAOPHAMUS;VERRILLI
ALIGELEV;MOLLUSCA;BIVALVIA;KELLIIDAE;ALIGENA;ELEVATA
ALLISUEC;ANNELIDA;POLYCHAETA;PARAONIDAE;ALLIA;SUECICA
ALMYPROX;ARTHROPODA;CUMACEA;NANNASTACIDAE;ALMYRACUMA;PROXIMOCULIS
ALPHAMBL;ARTHROPODA;DECAPODA;ALPHEIDAE;ALPHEUS;AMBLYONYX
ALPHHETE;ARTHROPODA;DECAPODA;ALPHEIDAE;ALPHEUS;HETEROCHAELIS
ALPHNORM;ARTHROPODA;DECAPODA;ALPHEIDAE;ALPHEUS;NORMANNI
ALPHXXSP;ARTHROPODA;DECAPODA;ALPHEIDAE;ALPHEUS;SP (JUV)
ALVAAUBE;MOLLUSCA;GASTROPODA;RISSOIDAE;ALVANIA;AUBERIANA
AMAETRIL;ANNELIDA;POLYCHAETA;TEREBELLIDAE;AMAEANA;TRILOBATA
AMAKMAGN;ARTHROPODA;ISOPODA;ANTHURIDAE;AMAKUSANTHURA;MAGNIFICA
AMASCAPE;ANNELIDA;POLYCHAETA;CAPITELLIDAE;AMASTIGOS;CAPERATUS
AMATALTE;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;AMATHIA;ALTERNATA
AMATDIST;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;AMATHIA;DISTANS
AMATVIDO;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;AMATHIA;VIDOVICI
AMATXXSP;ECTOPROCTA;CTENOSTOMATA;VESICULARIIDAE;AMATHIA;SP (FRAG)
AMERBAHI;ARTHROPODA;MYSIDACEA;MYSIDAE;AMERICAMYSIS;BAHIA
AMERBIGE;ARTHROPODA;MYSIDACEA;MYSIDAE;AMERICAMYSIS;BIGELOWI (COMPLEX)
AMERXSPP;ARTHROPODA;AMPHIPODA;OEDICEROTIDAE;AMEROCULODES;SPP
AMERXXSP;ARTHROPODA;MYSIDACEA;MYSIDAE;AMERICAMYSIS;SP
AMNIXSPP;MOLLUSCA;GASTROPODA;HYDROBIIDAE;AMNICOLA;SPP
AMPEABDI;ARTHROPODA;AMPHIPODA;AMPELISCIDAE;AMPELISCA;ABDITA
AMPEVADO;ARTHROPODA;AMPHIPODA;AMPELISCIDAE;AMPELISCA;VADORUM
AMPEVERR;ARTHROPODA;AMPHIPODA;AMPELISCIDAE;AMPELISCA;VERRILLI
AMPEXSP1;ARTHROPODA;AMPHIPODA;AMPELISCIDAE;AMPELISCA;SP1
AMPEXSPP;ARTHROPODA;AMPHIPODA;AMPELISCIDAE;AMPELISCA;SPP
AMPHAMER;ANNELIDA;POLYCHAETA;AMPHARETIDAE;AMPHARETE;AMERICANA
AMPHATRA;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;AMPHIODIA;ATRA
AMPHGRAC;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;AMPHIPHOLIS;GRACILLIMA
AMPHGUNN;ANNELIDA;POLYCHAETA;AMPHARETIDAE;AMPHICTEIS;GUNNERI
AMPHSCAP;ANNELIDA;POLYCHAETA;AMPHARETIDAE;AMPHICTEIS;SCAPHOBRANCHIATA
AMPHSEPU;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;AMPHIOPLUS;SEPULTUS
AMPHSQUA;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;AMPHIPHOLIS;SQUAMATA
AMPHTHRO;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;AMPHIOPLUS;THROMBODES
AMPHXSP7;NEMERTEA;ENOPLA;AMPHIPORIDAE;UNID.;SP7
AMPILONG;ARTHROPODA;AMPHIPODA;AMPITHOIDAE;AMPITHOE;LONGIMANA
AMYGPAPY;MOLLUSCA;BIVALVIA;MYTILIDAE;AMYGDALUM;PAPYRIUM
ANADOVAL;MOLLUSCA;BIVALVIA;ARCIDAE;ANADARA;OVALIS
ANADTRAN;MOLLUSCA;BIVALVIA;ARCIDAE;ANADARA;TRANSVERSA
ANADXSPP;MOLLUSCA;BIVALVIA;ARCIDAE;ANADARA;SPP
ANCICARO;ANNELIDA;POLYCHAETA;PILARGIDAE;ANCISTROSYLLIS;CAROLINENSIS
ANCICOMM;ANNELIDA;POLYCHAETA;PILARGIDAE;ANCISTROSYLLIS;COMMENSALIS
ANCIDEPR;ARTHROPODA;ISOPODA;SPHAEROMATIDAE;ANCINUS;DEPRESSUS
ANCIHART;ANNELIDA;POLYCHAETA;PILARGIDAE;ANCISTROSYLLIS;HARTMANAE
ANCIJONE;ANNELIDA;POLYCHAETA;PILARGIDAE;ANCISTROSYLLIS;JONESI
ANCIXSPP;ANNELIDA;POLYCHAETA;PILARGIDAE;ANCISTROSYLLIS;SPP
ANOMAUBE;MOLLUSCA;BIVALVIA;VENERIDAE;ANOMALOCARDIA;AUBERIANA
ANTISARS;ANNELIDA;POLYCHAETA;POLYNOIDAE;ANTINOELLA;SARSI
APHEMARI;ANNELIDA;POLYCHAETA;CIRRATULIDAE;APHELOCHAETA;MARIONI
APHEXSP1;ANNELIDA;POLYCHAETA;CIRRATULIDAE;APHELOCHAETA;SP1
APHEXXSP;ANNELIDA;POLYCHAETA;CIRRATULIDAE;APHELOCHAETA;SP
APOPDAYI;ANNELIDA;POLYCHAETA;SPIONIDAE;APOPRIONOSPIO;DAYI
APOPPYGM;ANNELIDA;POLYCHAETA;SPIONIDAE;APOPRIONOSPIO;PYGMAEA
APSEXXSP;ARTHROPODA;TANAIDACEA;APSEUDIDAE;APSEUDES;SP
ARABIRIC;ANNELIDA;POLYCHAETA;ARABELLIDAE;ARABELLA;IRICOLOR
ARABMUTA;ANNELIDA;POLYCHAETA;ARABELLIDAE;ARABELLA;MUTANS
ARABXSPP;ANNELIDA;POLYCHAETA;ARABELLIDAE;ARABELLA;SPP
ARGUXSP1;ARTHROPODA;ARGULOIDA;ARGULIDAE;UNID;SP1
