Dataset:              Water Quality Surface Data
File Name:            CP_WQ_S.DAT
Date Created:         01Jan1998
# Variables:          9
# Header Records:     19
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at surface
              TEMP         Temperature (C) at surface
              SAL          Salinity (ppt) at surface
              PH           pH (units) at surface
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at surface

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS
CP94001;940815;12:31;6.7;28.4;24.2;7.8;38.1;14.13
CP94002;940815;15:43;6.5;29.1;4.0;7.7;7.3;-1.07
CP94003;940816;12:31;7.9;28.8;26.5;7.9;41.4;15.72
CP94004;940816;14:02;7.2;29.3;30.8;8.0;47.1;18.82
CP94005;940802;12:55;6.1;32.2;23.5;7.9;37.0;12.35
CP94006;940802;18:58;7.7;33.3;18.7;8.3;30.2;8.43
CP94007;940816;16:56;7.9;29.7;25.6;8.0;40.0;14.76
CP94008;940803;12:57;6.9;31.8;20.2;8.4;32.3;10.03
CP94009;940801;18:49;10.4;30.8;22.8;8.2;36.1;12.32
CP94010;940817;10:07;6.7;28.5;21.8;7.9;34.6;12.34
CP94011;940817;13:35;7.3;29.2;26.3;7.9;41.0;15.44
CP94012;940818;15:35;6.9;29.7;24.6;7.8;38.6;14.05
CP94013;940818;13:45;6.8;29.4;24.6;7.8;38.7;14.16
CP94014;940818;10:30;5.6;28.3;27.9;7.9;43.4;16.97
CP94015;.;.;.;.;.;.;.;.
CP94016;940808;15:15;5.3;28.7;0.2;7.0;0.5;-3.76
CP94017;940809;16:12;5.6;28.6;16.4;7.5;26.8;8.28
CP94018;940811;17:12;6.0;29.0;32.4;7.6;49.3;20.10
CP94019;940811;11:35;6.0;27.5;34.3;8.0;52.1;22.00
CP94020;940802;13:00;6.9;28.2;28.7;7.9;32.8;17.58
CP94021;940802;14:13;6.5;28.6;22.5;7.7;31.3;12.79
CP94022;940815;11:39;6.5;28.6;15.0;7.6;24.8;7.25
CP94023;940815;12:46;6.4;28.7;26.3;7.6;41.0;15.64
CP94024;940817;15:45;6.6;27.7;26.3;7.7;41.0;15.94
CP94025;940818;18:42;7.1;27.9;24.5;7.8;38.6;14.55
CP94026;940819;10:15;5.7;27.6;28.5;7.7;44.1;17.66
CP94027;940825;9:37;6.2;26.0;19.2;7.6;31.1;11.15
CP94028;940726;14:19;7.2;29.4;37.5;7.9;56.3;23.78
CP94029;940725;16:02;7.4;28.3;36.2;8.0;54.5;23.22
CP94030;940719;12:08;5.9;31.2;35.5;7.9;53.6;21.69
CP94031;940630;18:15;7.0;27.7;34.7;7.9;52.4;22.27
CP94032;940727;14:32;5.9;27.5;39.1;7.9;58.6;25.67
CP94033;940727;11:32;6.4;27.5;38.3;7.8;57.3;25.02
CP94034;940705;16:20;9.9;29.9;16.6;8.3;27.1;7.98
CP94035;940707;13:44;6.9;29.3;23.3;7.9;36.8;13.22
CP94036;940823;13:44;7.1;26.5;22.4;8.1;35.5;13.42
CP94037;940810;9:31;6.9;25.2;29.3;8.0;45.2;19.00
CP94038;940707;10:03;6.6;29.4;16.8;7.8;27.4;8.31
CP94039;940810;11:04;6.4;24.2;34.2;7.9;51.7;22.94
CP94040;940823;11:42;7.2;25.9;28.3;8.1;43.7;18.02
CP94041;940810;8:10;6.8;25.1;29.2;8.0;45.0;18.90
CP94042;940809;8:22;7.3;24.1;26.3;7.9;41.1;17.05
CP94043;940823;9:10;7.4;25.1;23.4;8.0;37.1;14.57
CP94044;940808;14:35;7.4;24.9;25.8;7.9;40.3;16.45
CP94045;940808;11:09;7.6;23.5;25.6;7.9;40.2;16.66
CP94046;940816;14:22;7.4;28.4;22.0;8.0;34.9;12.50
CP94047;940816;9:20;6.4;26.9;16.0;8.1;26.3;8.46
CP94048;940818;10:21;7.0;27.4;20.1;8.0;32.2;11.43
CP94049;940817;15:35;7.0;28.4;20.3;7.9;30.5;11.27
CP94050;940818;10:40;6.8;27.4;25.4;8.0;40.2;15.39
CP94051;940816;11:21;7.6;27.4;16.6;8.1;27.2;8.77
CP94052;940816;13:12;8.1;27.8;15.6;8.1;24.8;7.93
CP94053;940816;16:00;8.8;28.7;13.1;8.1;21.8;5.77
CP94054;940818;12:22;7.0;28.2;14.0;7.5;23.2;6.59
CP94055;940802;9:04;7.5;28.0;21.6;8.0;34.5;12.36
CP94056;940808;16:15;7.7;25.4;22.4;7.8;35.5;13.73
CP94057;940802;11:16;7.2;28.1;18.3;8.0;29.6;9.83
CP94058;940807;10:55;7.7;23.4;17.6;8.0;28.5;10.64
CP94059;940807;9:09;7.6;19.6;37.1;7.8;55.8;26.48
CP94060;940806;9:36;7.4;26.7;9.7;7.9;16.6;3.86
CP94061;940716;10:00;8.1;29.3;3.0;8.1;5.4;-1.91
CP94062;940716;10:55;8.0;29.4;1.5;7.7;2.9;-3.01
CP94063;940716;13:59;7.8;31.2;1.0;8.0;2.0;-3.91
CP94064;940714;10:04;7.7;27.9;4.0;7.9;7.3;-0.70
CP94065;940715;16:40;8.0;30.0;0.7;8.0;1.4;-3.76
CP94066;940716;11:44;8.1;30.0;3.3;8.1;5.9;-1.86
CP94067;940717;9:35;7.1;30.2;1.4;8.0;2.6;-3.32
CP94068;940714;9:42;7.5;27.6;5.4;7.9;9.6;0.41
CP94069;940714;11:59;7.6;28.7;3.5;7.7;6.3;-1.34
CP94070;940714;11:00;7.6;28.3;6.3;7.9;11.1;0.88
CP94071;940712;9:28;7.8;27.2;4.6;8.4;8.3;-0.07
CP94072;940712;16:31;9.0;28.3;1.5;8.4;2.9;-2.68
CP94073;940825;8:47;6.0;27.2;27.2;7.7;42.4;16.79
CP94074;940823;11:04;6.5;27.9;30.2;8.0;47.9;18.82
CP94075;940823;14:44;7.5;28.5;30.0;7.7;46.4;18.50
CP94076;940811;12:06;5.8;28.0;31.9;8.0;48.7;20.03
CP94077;940811;10:54;4.7;28.3;20.9;7.2;33.4;11.75
CP94078;940808;9:30;5.0;27.6;29.7;7.7;45.7;18.51
CP94079;940729;8:12;6.1;27.7;20.4;7.6;32.8;11.51
CP94080;940726;10:14;6.0;27.5;33.4;7.9;50.6;21.36
CP94081;940726;11:22;5.8;28.5;33.6;7.8;51.1;21.16
CP94082;940810;11:16;7.0;26.9;1.4;6.7;2.3;-2.38
CP94083;940829;11:35;6.6;27.7;19.8;7.9;31.7;11.11
CP94084;940712;10:25;7.6;28.7;4.7;7.4;8.4;-0.46
CP94CF_;940829;14:15;8.5;28.2;8.2;7.4;14.2;2.32
CP94DSL;940924;8:50;.;.;19.0;.;.;.
CP94ES4;940712;12:22;8.0;27.6;4.6;8.5;8.1;-0.21
CP94JAC;940809;9:46;6.1;26.6;32.6;7.8;49.8;21.06
CP94LTH;940923;11:15;.;.;26.0;.;.;.
CP94MI_;940725;10:50;6.4;26.7;35.6;7.9;53.7;23.27
CP94NMK;940920;11:22;.;.;22.1;.;.;.
CP94PLM;940922;11:00;.;.;22.1;.;.;.
CP94RC_;940727;16:33;6.2;28.0;37.3;7.9;55.9;24.11
CP94ZI_;940725;11:37;6.2;28.2;32.2;7.7;49.2;20.23
CP95101;950809;14:15;8.9;24.4;5.0;8.2;8.9;1.00
CP95102;950808;10:01;8.5;23.6;5.0;8.5;8.8;1.19
CP95103;950808;12:45;7.1;28.1;0.1;7.5;0.2;-3.65
CP95104;950810;10:05;7.3;26.2;2.2;9.0;3.9;-1.61
CP95105;950810;12:33;8.1;26.0;3.9;8.3;6.9;-0.30
CP95106;950810;10:40;7.6;26.3;4.7;8.3;8.4;0.25
