Dataset:              Demersal Abundance - Raw Data By Trawl and Taxon
File Name:            CP_DEM_A.txt
Date Created:         02Dec1998
# Variables:          6
# Header Records:     16
# Data Records:       2506
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              TR_REP       Trawl replicate number
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              ABUNDANC     Abundance of taxon
              QACODE_T     Trawl QC code

STA_NAME;TR_REP;DATE;COD_EMAP;ABUNDANC;QACODE_T
CP94001;01;940815;CALLSAPI;2; 
CP94001;01;940815;EUCIGULA;13; 
CP94001;01;940815;EUCIHARE;4; 
CP94001;01;940815;LAGORHOM;1; 
CP94001;01;940815;PENAXSPP;2; 
CP94001;02;940815;CALLSAPI;1; 
CP94001;02;940815;EUCIGULA;8; 
CP94001;02;940815;EUCIXSPP;1; 
CP94001;02;940815;GYMNMICR;1; 
CP94002;01;940815;ANCHMITC;1; 
CP94002;01;940815;ARIUFELI;4; 
CP94002;01;940815;BAIRCHRY;1; 
CP94002;01;940815;CALLSAPI;2; 
CP94002;01;940815;CITHSPIL;1; 
CP94002;01;940815;CYNOREGA;12; 
CP94002;01;940815;EUCIGULA;3; 
CP94002;01;940815;EUCIHARE;1; 
CP94002;01;940815;MICRUNDU;4; 
CP94002;01;940815;PENAXSPP;1; 
CP94002;01;940815;SPHOTEST;6; 
CP94002;02;940815;ARIUFELI;8; 
CP94002;02;940815;CALLSAPI;14; 
CP94002;02;940815;CENTUNDE;1; 
CP94002;02;940815;CITHSPIL;1; 
CP94002;02;940815;CYNOREGA;2; 
CP94002;02;940815;MICRUNDU;9; 
CP94002;02;940815;SPHOTEST;6; 
CP94003;01;940816;CALLSAPI;23; 
CP94003;01;940816;CHILSCHO;3; 
CP94003;01;940816;GOBIROBU;8; 
CP94003;01;940816;ORTHCHRY;5; 
CP94003;01;940816;PENAXSPP;11; 
CP94003;01;940816;PORTXSPP;1; 
CP94003;01;940816;SYNGSCOV;2; 
CP94003;02;940816;CALLSAPI;15; 
CP94003;02;940816;CHILSCHO;4; 
CP94003;02;940816;LAGORHOM;1; 
CP94003;02;940816;ORTHCHRY;1; 
CP94003;02;940816;PENAXSPP;11; 
CP94003;02;940816;SYNGSCOV;1; 
CP94004;01;940816;CALLSAPI;2; 
CP94004;01;940816;EUCIGULA;1; 
CP94004;01;940816;LAGORHOM;7; 
CP94004;02;940816;CALLSAPI;2; 
CP94004;02;940816;CHAEFABE;1; 
CP94004;02;940816;EUCIGULA;4; 
CP94004;02;940816;LAGORHOM;17; 
CP94004;02;940816;OPISOGLI;1; 
CP94005;01;940802;ARCHPROB;2; 
CP94005;01;940802;ARIUFELI;1; 
CP94005;01;940802;CALLSAPI;8; 
CP94005;01;940802;CHAEFABE;1; 
CP94005;01;940802;CHILSCHO;1; 
CP94005;01;940802;LAGORHOM;11; 
CP94005;01;940802;LUTJGRIS;3; 
CP94005;01;940802;ORTHCHRY;7; 
CP94005;01;940802;PARAALBI;1; 
CP94005;02;940802;ARIUFELI;7;UA-Trawl
CP94005;02;940802;CALLSAPI;6;UA-Trawl
CP94005;02;940802;LAGORHOM;6;UA-Trawl
CP94005;02;940802;LUTJGRIS;8;UA-Trawl
CP94005;02;940802;MENTAMER;1;UA-Trawl
CP94006;01;940803;BAGRMARI;4; 
CP94006;01;940803;BAIRCHRY;273; 
CP94006;01;940803;CALLSAPI;1; 
CP94006;01;940803;CHAEFABE;11; 
CP94006;01;940803;CYNOREGA;4; 
CP94006;01;940803;EUCIGULA;2; 
CP94006;01;940803;GYMNMICR;4; 
CP94006;01;940803;MENTAMER;1; 
CP94006;01;940803;MICRUNDU;9; 
CP94006;01;940803;MONAHISP;1; 
CP94006;01;940803;ORTHCHRY;10; 
