"UID","SITE_ID","STATE","ALAT_DD","ALON_DD","DATE_COL","SCREENSIZE","TAXON_ORIGINAL","TAXON_CORRECTED","TOTAL","ADULT","CONDITION","DISTINCT","FLAGGED","IMMATURE","INDETERMINATE","LAB_TIN","LARVAE","NUM_AGGREGATED","PUPAE","QA_CODE","QA_COMMENTS","SAMPLE_ID","WORMS_STATUS","WORMS_APHIAID","ITIS_STATUS","ITIS_TSN","LPIL","PHYLUM","CLASS","ORDER","FAMILY","GENUS","GRAB_TYPE","Grab_Area.m.2.","Number.of.grabs","Final_Grab_Area.m.2.","Grab_Depth.cm.","Sieve_Size.mm.2.","Grab_QA","Grab_Comment"
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Chironomus sp.","Chironomus",3,NA,"N","Y","","N","N","930",NA,0,NA,"","",563884,"accepted",146802,"",129254,"G","Arthropoda","Insecta","Diptera","Chironomidae","Chironomus","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Tubificidae with cap setae","",2,NA,"N","Y","","N","N","1347",NA,0,NA,"","",563884,"",NA,"",NA,"","","","","","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Cryptochironomus sp.","Cryptochironomus",1,NA,"N","Y","","N","N","934",NA,0,NA,"","",563884,"accepted",181574,"",129368,"G","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Microtendipes pedellus gr.","Microtendipes pedellus",2,NA,"N","Y","","N","N","956",NA,0,NA,"","",563884,"",NA,"",129541,"S","Arthropoda","Insecta","Diptera","Chironomidae","Microtendipes","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Polypedilum scalaenum gr.","Polypedilum scalaenum",3,NA,"N","Y","","N","N","983",NA,0,NA,"","",563884,"",NA,"",129708,"S","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Potamothrix vejdovskyi","Potamothrix vejdovskyi",15,NA,"N","Y","","N","N","2451",NA,0,NA,"","",563884,"accepted",137565,"",68790,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Potamothrix","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Potamothrix moldaviensis","Potamothrix moldaviensis",1,NA,"N","Y","","N","N","4454",NA,0,NA,"","",563884,"accepted",137563,"",68789,"S","Annelida","Clitellata","Haplotaxida","Tubificidae","Potamothrix","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Turbellaria","Turbellaria",1,NA,"N","Y","","N","N","2",NA,0,NA,"","",563884,"accepted",794,"",53964,"C","Platyhelminthes","Turbellaria","","","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Polypedilum halterale gr.","Polypedilum halterale",1,NA,"N","Y","","N","N","3320",NA,0,NA,"","",563884,"",NA,"",129684,"S","Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Dreissena bugensis","Dreissena bugensis",86,NA,"N","Y","","N","N","1179",NA,0,NA,"","",563884,"accepted",505319,"",567514,"S","Mollusca","Bivalvia","Veneroida","Dreissenidae","Dreissena","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Nematoda","Nematoda",21,NA,"N","Y","","N","N","67",NA,0,NA,"","",563884,"accepted",799,"",59490,"P","Nematoda","","","","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Micropsectra sp.","Micropsectra",1,NA,"N","Y","","N","N","1054",NA,0,NA,"","",563884,"",NA,"",129890,"G","Arthropoda","Insecta","Diptera","Chironomidae","Micropsectra","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Tubificidae w/o cap setae","Tubificidae",22,NA,"N","N","","N","N","1348",NA,0,NA,"","",563884,"accepted",2040,"",68585,"F","Annelida","Clitellata","Haplotaxida","Tubificidae","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1003,"NCCAGL10-1150","NY",42.50438,-79.38353,"7/15/2010",0.5,"Ostracoda","Ostracoda",2,NA,"N","Y","","N","N","121",NA,0,NA,"","",563884,"accepted",1078,"",84195,"C","Arthropoda","Ostracoda","","","","STANDARD PONAR","0.052","1","0.052","7","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Cryptochironomus sp.","Cryptochironomus",13,NA,"N","Y","","N","N","934",NA,0,NA,"","",563934,"accepted",181574,"",129368,"G","Arthropoda","Insecta","Diptera","Chironomidae","Cryptochironomus","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
1035,"NCCAGL10-GLBA10-169","NY",42.88987,-78.8943,"7/14/2010",0.5,"Tubificidae with cap setae","",29,NA,"N","Y","","N","N","1347",NA,0,NA,"","",563934,"",NA,"",NA,"","","","","","","STANDARD PONAR","0.052","1","0.052","13","0.5","Q18",""
