"PUBLICATION_DATE","TAXA_ID","UID","SITE_ID","VISIT_NO","LAT_DD83","LON_DD83","YEAR","DATE_COL","STUDY","PSTL_CODE","NCCA_REG","INDEX_AP","INDEX_NCCA15","IS_DISTINCT","TOTAL","TARGET_TAXON","APHIA_ID","ITISTSN","HABITAT","PHYLUM","CLASS","ORDER","FAMILY"
"4/27/2021",1,181022,"NCCA15-1148",1,35.99681995,-76.53066727,2015,"4-Sep-15","Estuarine","NC","Southeast","Y","Y","Y",1,"ABLABESMYIA",987209,NA,"EST","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE"
"4/27/2021",100,170880,"NCCA15-1559",1,39.01728494,-75.07506844,2015,"2-Jul-15","Estuarine","NJ","Northeast","","Y","Y",3,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,178911,"NCCA15-2159",1,39.5263733,-74.41010504,2015,"27-Aug-15","Estuarine","NJ","Northeast","","Y","Y",1,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,174470,"NCCA15-2167",1,38.9833381,-75.18071096,2015,"28-Jul-15","Estuarine","DE","Northeast","","Y","Y",7,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,175412,"NCCA15-2056",1,44.46639084,-67.59994305,2015,"4-Aug-15","Estuarine","ME","Northeast","","Y","Y",1,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,175875,"MACA15-3075",1,41.72025527,-70.32820474,2015,"6-Aug-15","Estuarine","MA","Northeast","","Y","Y",5,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,1000104,"NCCA15-1576",1,41.15833138,-73.16846692,2015,"29-Jul-15","Estuarine","CT","Northeast","","Y","Y",2,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,173224,"NCCA15-2168",1,39.1555308,-75.15380668,2015,"20-Jul-15","Estuarine","NJ","Northeast","","Y","Y",3,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",100,175044,"MACA15-3076",1,41.81346871,-70.49153014,2015,"7-Aug-15","Estuarine","MA","Northeast","","Y","Y",1,"AMEROCULODES EDWARDSI",547000,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",1005,177140,"NCCA15-1683",2,24.70726415,-81.33334756,2015,"18-Aug-15","Estuarine","FL","Gulf","","N","Y",1,"HETEROSEROLIS MGRAYI",260637,NA,"EST","ARTHROPODA","MALACOSTRACA","ISOPODA","SEROLIDAE"
"4/27/2021",1008,181483,"NCCA15-1546",2,39.38464311,-75.03745356,2015,"9-Sep-15","Estuarine","NJ","Northeast","","N","Y",1,"HEXAGENIA",593171,101537,"EST","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERIDAE"
"4/27/2021",1008,178530,"NCCA15-1499",2,37.29299849,-76.89311938,2015,"17-Aug-15","Estuarine","VA","Northeast","","N","Y",1,"HEXAGENIA",593171,101537,"EST","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERIDAE"
"4/27/2021",1008,171970,"NCCA15-1499",1,37.29299849,-76.89311938,2015,"1-Jul-15","Estuarine","VA","Northeast","","Y","Y",34,"HEXAGENIA",593171,101537,"EST","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERIDAE"
"4/27/2021",101,170213,"NCCA15-1157",1,36.44132983,-75.95631465,2015,"28-Jun-15","Estuarine","NC","Southeast","Y","Y","Y",1,"AMEROCULODES MILTONI",395434,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",101,168431,"NCCA15-1554",1,39.18547473,-75.37687146,2015,"11-Jun-15","Estuarine","DE","Northeast","","Y","Y",6,"AMEROCULODES MILTONI",395434,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",101,170570,"NCCA15-1557",1,39.4304887,-75.51228633,2015,"1-Jul-15","Estuarine","NJ","Northeast","","Y","Y",1,"AMEROCULODES MILTONI",395434,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",101,170371,"NCCA15-2252",1,36.45307802,-75.88843686,2015,"29-Jun-15","Estuarine","NC","Southeast","Y","Y","Y",5,"AMEROCULODES MILTONI",395434,NA,"EST","ARTHROPODA","MALACOSTRACA","AMPHIPODA","OEDICEROTIDAE"
"4/27/2021",1011,182077,"NCCA15-2266",1,36.05626669,-76.70352499,2015,"11-Sep-15","Albemarle_Pamlico","NC","Southeast","Y","","Y",29,"HEXAGENIA LIMBATA",NA,101552,"EST","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERIDAE"
