PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY
8/23/2024,1,ABLABESMYIA,987209,,EST,ARTHROPODA,HEXAPODA,DIPTERA,CHIRONOMIDAE
8/23/2024,2,ABLABESMYIA,987209,128079,GL,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
8/23/2024,3,ABLABESMYIA ANNULATA,,128081,EST,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
8/23/2024,4,ABLABESMYIA ANNULATA,,128081,GL,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
8/23/2024,5,ABLABESMYIA ASPERA,,128083,GL,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
8/23/2024,6,ABLABESMYIA MALLOCHI,,128097,GL,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
8/23/2024,7,ABLABESMYIA MONILIS,,128107,GL,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
8/23/2024,8,ABRA AEQUALIS,293683,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,SEMELIDAE
8/23/2024,9,ABRA LIOICA,156730,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,SEMELIDAE
8/23/2024,10,ABRA LONGICALLUS,141434,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,SEMELIDAE
8/23/2024,11,ACANTHOCHITONA,137613,,EST,MOLLUSCA,POLYPLACOPHORA,CHITONIDA,ACANTHOCHITONIDAE
8/23/2024,12,ACANTHOHAUSTORIUS,158013,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HAUSTORIIDAE
8/23/2024,13,ACANTHOHAUSTORIUS INTERMEDIUS,158014,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HAUSTORIIDAE
8/23/2024,14,ACANTHOHAUSTORIUS MILLSI,158015,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HAUSTORIIDAE
8/23/2024,15,ACANTHOHAUSTORIUS PANSUS,345319,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HAUSTORIIDAE
8/23/2024,16,ACANTHOHAUSTORIUS SHOEMAKERI,345320,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HAUSTORIIDAE
8/23/2024,17,ACANTHOHAUSTORIUS UNCINUS,345323,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,HAUSTORIIDAE
8/23/2024,18,ACARI,292684,,EST,ARTHROPODA,ARACHNIDA,,
8/23/2024,19,ACARI,292684,733321,GL,ARTHROPODA,ARACHNIDA,,
8/23/2024,20,ACHELIA,134568,,EST,ARTHROPODA,PYCNOGONIDA,PANTOPODA,AMMOTHEIDAE
8/23/2024,21,ACHELIA CHELATA,239750,,EST,ARTHROPODA,PYCNOGONIDA,PANTOPODA,AMMOTHEIDAE
8/23/2024,22,ACILA CASTRENSIS,506568,,EST,MOLLUSCA,BIVALVIA,NUCULIDA,NUCULIDAE
8/23/2024,23,ACROCIRRIDAE,920,,EST,ANNELIDA,POLYCHAETA,TEREBELLIDA,ACROCIRRIDAE
