PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,WTBDY_TYPE,TAXA_ID,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY,DENSITY,IS_DISTINCT,TOTAL
8/23/2024,2012104,NCA_LA-10161,NCA20_LA-10102,1,7/29/2020,LA,MARINE,1,ABLABESMYIA,987209,,EST,ARTHROPODA,HEXAPODA,DIPTERA,CHIRONOMIDAE,25,1,1
8/23/2024,2014775,NCA_CT-10274,NCA20_CT-20024,1,9/1/2020,CT,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,38.462,1,2
8/23/2024,2015579,NCA_NC-10156,NCA20_NC-10022,1,6/24/2021,NC,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,22.727,1,1
8/23/2024,2011647,NCA_RI-10120,NCA20_RI-10010,1,6/14/2020,RI,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,538.462,1,28
8/23/2024,2016380,NCA_CT-10297,NCA21_CT-30006,1,8/18/2021,CT,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,134.615,1,7
8/23/2024,2011668,NCA_RI-10123,NCA20_RI-10013,1,6/16/2020,RI,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,19.231,1,1
8/23/2024,2014959,NCA_NY-10181,NCA20_NY-10012,1,9/20/2020,NY,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,57.692,1,3
8/23/2024,2015459,NCA_NY-10307,NCA21_NY-30034,1,6/20/2021,NY,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,19.231,1,1
8/23/2024,2011712,NCA_RI-10125,NCA20_RI-10015,1,6/22/2020,RI,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,19.231,1,1
8/23/2024,2012473,NCA_NJ-10217,NCA20_NJ-10013,1,8/25/2020,NJ,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,22.727,1,1
8/23/2024,2015362,NCA_NY-10326,NCA21_NY-30108,1,6/13/2021,NY,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,38.462,1,2
8/23/2024,2012478,NCA_CT-10081,NCA20_CT-10005,1,8/25/2020,CT,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,38.462,1,2
8/23/2024,2014958,NCA_NY-10246,NCA20_NY-10053,1,9/20/2020,NY,MARINE,100,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE,38.462,1,2
