PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,WTBDY_TYPE,FINAL_GRAB_AREA,GRAB_DEPTH,GRAB_TYPE,GRABS,SIEVE_SIZE,NOT_COLLECTED,SALINITY,BENT_COMMENT,SHIP_COMMENT
8/23/2024,2011570,NCA_TX-10289,NCA20_TX-10054,1,6/1/2020,TX,MARINE,0.04,12.5,OTHER: EKMAN,2,,,1.9,,
8/23/2024,2011575,NCA_TX-10226,NCA20_TX-10015,1,6/2/2020,TX,MARINE,0.04,6.7,OTHER: EKMAN,2,,,7.15,"Made several attempts, could only get an average depth of 6.7cm.",
8/23/2024,2011576,NGL_MI-10002,NGL20_MI-10131,1,6/2/2020,MI,GREAT_LAKES,0.052,6,STANDARD_PONAR,1,,,,Dropped the standard ponar four times at this location. All four drops were six centimeters in depth.,
8/23/2024,2011577,NGL_IN-10018,NPA20-07,1,6/2/2020,IN,GREAT_LAKES,0.052,4,STANDARD_PONAR,1,,,,4 cm sample collected after first three attempts were less than 7 cm.,
8/23/2024,2011578,NCA_TX-10275,NCA20_TX-10040,1,6/3/2020,TX,MARINE,0.04,8,OTHER: EKMAN,2,,,1.15,,
8/23/2024,2011580,NGL_MI-10552,NGL20_MI-10151,1,6/3/2020,MI,GREAT_LAKES,,,,,,Y,,No soft sediment present. Substrate consists of cobble and boulders for 500 meters around x-site coordinates.,
8/23/2024,2011581,NGL_MI-10009,NGL20_MI-10138,1,6/4/2020,MI,GREAT_LAKES,,,,,,Y,,Entire bottom of Lake is cobble boulder substrate near this area. No soft sediment present.,
8/23/2024,2011587,NCA_TX-10278,NCA20_TX-10043,1,6/4/2020,TX,MARINE,0.04,7.5,OTHER: EKMAN,2,,,4.65,,
8/23/2024,2011588,NCA_TX-10288,NCA20_TX-10053,1,6/4/2020,TX,MARINE,0.046,4.5,OTHER: PETITE PONAR,2,,,2.19,Attempted several grabs; unable to achieve >7cm with available equipment. Sandy substrate.,
8/23/2024,2011589,NCA_TX-10295,NCA20_TX-10060,1,6/4/2020,TX,MARINE,0.04,8.5,OTHER: EKMAN,2,,,2.52,,
8/23/2024,2011596,NGL_MI-10001,NGL20_MI-10130,1,6/5/2020,MI,GREAT_LAKES,0.052,9,STANDARD_PONAR,1,,,,,
8/23/2024,2011597,NGL_IN-10015,NGL20_IN-10002,1,6/5/2020,IN,GREAT_LAKES,0.052,4.6,STANDARD_PONAR,1,,,,"No grabs were 7 cm deep, 3rd attempt kept.",
8/23/2024,2011598,NGL_IN-10016,NPA20-03,1,6/4/2020,IN,GREAT_LAKES,0.052,3.8,STANDARD_PONAR,1,,,,8 attempts inside 100 meters before moving out to tertiary zone.,
8/23/2024,2011599,NGL_IN-10020,NPA20-11,1,6/4/2020,IN,GREAT_LAKES,0.052,3.3,STANDARD_PONAR,1,,,,,
8/23/2024,2011600,NCA_MS-10146,NCA20_MS-10011,1,6/5/2020,MS,MARINE,0.052,11,STANDARD_PONAR,1,,,6.37,,
8/23/2024,2011601,NCA_MS-10171,NCA20_MS-10036,1,6/4/2020,MS,MARINE,0.052,13,STANDARD_PONAR,1,,,6.03,,
8/23/2024,2011617,NGL_IN-10017,NPA20-04,1,6/8/2020,IN,GREAT_LAKES,0.052,3.3,STANDARD_PONAR,1,,,,8 attempts before <7 cm sample accepted.,
8/23/2024,2011619,NGL_IN-10021,NPA20-12,1,6/8/2020,IN,GREAT_LAKES,0.052,4,STANDARD_PONAR,1,,,,,
8/23/2024,2011620,NGL_IN-10019,NPA20-08,1,6/7/2020,IN,GREAT_LAKES,0.052,3.2,STANDARD_PONAR,1,,,,,
8/23/2024,2011625,NCA_TX-10294,NCA20_TX-10059,1,6/9/2020,TX,MARINE,0.04,8,OTHER: EKMAN,2,,,11.64,,
8/23/2024,2011627,NGL_IN-10001,NGL20_IN-10001,1,6/9/2020,IN,GREAT_LAKES,0.052,4.3,STANDARD_PONAR,1,,,,"No grabs >7cm, 4th grab used for benthic samples, all grabs of similar depth.",
8/23/2024,2011628,NCA_TX-10290,NCA20_TX-10055,1,6/9/2020,TX,MARINE,0.04,6,OTHER: EKMAN,2,,,4.32,Attempted to use the petite ponar but no successful grabs were obtained. Unable to get an average of 7cm depth for benthics after multiple grabs.,
8/23/2024,2011629,NGL_MI-10553,NGL20_MI-10152,1,6/8/2020,MI,GREAT_LAKES,0.052,5,STANDARD_PONAR,1,,,,Substrate at this site is clay with some sand. The best grab we could get was only 5 cm deep.,
8/23/2024,2011630,NGL_MI-10017,NGL20_MI-10145,1,6/8/2020,MI,GREAT_LAKES,0.052,5.5,STANDARD_PONAR,1,,,,"After 6 attempts, the deepest penetration we could get was 5.5 cm.",
8/23/2024,2011633,NCA_TX-10285,NCA20_TX-10050,1,6/10/2020,TX,MARINE,0.046,6.25,OTHER: PETITE PONAR,2,,,24.12,Could not get 7cm with grab,
8/23/2024,2011634,NCA_FL-10246,NCA20_FL-10023,1,6/10/2020,FL,MARINE,0.088,10,OTHER: YOUNG-MODIFIED VAN VEEN,2,,,26.37,,
8/23/2024,2011635,NCA_TX-10225,NCA20_TX-10014,1,6/10/2020,TX,MARINE,0.04,7.25,OTHER: EKMAN,2,,,6.32,,
8/23/2024,2011636,NGL_MI-10550,NGL20_MI-10149,1,6/12/2020,MI,GREAT_LAKES,0.052,9,STANDARD_PONAR,1,,,,,
8/23/2024,2011637,NCA_TX-10279,NCA20_TX-10044,1,6/11/2020,TX,MARINE,,,,,,Y,16.73,Shell hash and oyster reef within entire 500 m radius. Attempted grabs in several zones but could not get samples.,
