PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAT_DD,LON_DD,STATION_DEPTH,WTBDY_TYPE,YEAR,DSGN_CYCLE,IND_DOMAIN,EPA_REG,EST_GROUP,EVAL_CAT,FEAT_NM,LAT_DD83,LON_DD83,NCA_REG,NCCA_REG,NEP_OR_ESTUARY_PROGRAM_NAME,NEP_NAT,PROVINCE,SITETYPE,SMALL_EST,STATE_NM,WTBDY_NM,XCOORD,YCOORD,CHES_BAY,DWH_REGION,PENS_PERD_BAY,INDEX_NCCA20,INDEX_LIS
10/3/2024,NCA_AL-10146,2012132,NCA20_AL-10001,1,7/31/2020,AL,30.38926668,-88.00073757,4.3,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile_Bay,30.38926668,-88.00073757,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,766447.545,-761919.138,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10146,2012273,NCA20_AL-10001,2,8/11/2020,AL,30.38926668,-88.00073757,4,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile_Bay,30.38926668,-88.00073757,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,766447.545,-761919.138,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,N,
10/3/2024,NCA_AL-10148,2012167,NCA20_AL-10002,1,8/4/2020,AL,30.20212991,-88.06515104,4,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Pelican_Bay,30.20212991,-88.06515104,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,Mobile Bay,762023.246,-783144.559,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10148,2012272,NCA20_AL-10002,2,8/11/2020,AL,30.20212991,-88.06515104,3.7,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Pelican_Bay,30.20212991,-88.06515104,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,Mobile Bay,762023.246,-783144.559,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,N,
10/3/2024,NCA_AL-10147,2012133,NCA20_AL-10003,1,7/31/2020,AL,30.32929454,-87.97279656,4,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile_Bay,30.32929454,-87.97279656,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,769680.27,-768330.115,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10149,2012096,NCA20_AL-10004,1,7/29/2020,AL,30.64920326,-87.94887626,1.635,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile_Bay,30.64920326,-87.94887626,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,768961.158,-732724.862,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10150,2012153,NCA20_AL-10005,1,8/3/2020,AL,30.39329421,-87.90217976,3.3,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile_Bay,30.39329421,-87.90217976,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,775830.042,-760673.677,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10151,2012168,NCA20_AL-10006,1,8/4/2020,AL,30.28378469,-88.02700471,4.1,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Mobile_Bay,30.28378469,-88.02700471,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,Mobile Bay,764918.313,-773803.61,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10152,2012123,NCA20_AL-10007,1,7/30/2020,AL,30.59173018,-88.11196684,1.5,MARINE,2020,2020,CORE,Region_04,LP_Mobile_Bay,Target_Sampled,Dog_River,30.59173018,-88.11196684,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Small,Alabama,Mobile Bay,753950.057,-740395.655,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
10/3/2024,NCA_AL-10153,2012224,NCA20_AL-10008,1,8/7/2020,AL,30.2579611,-88.35357196,5.5,MARINE,2020,2020,CORE,Region_04,LP_Other,Target_Sampled,Mississippi Sound,30.2579611,-88.35357196,Gulf_Coast,Gulf,Mobile Bay,NEP,Louisianian Province,PROB,Large,Alabama,East Mississippi Sound,733887.4473,-779236.5481,Outside Chesapeake Bay,Inside DWH Area,Outside PPB,Y,
