PUBLICATION_DATE,TAXA_ID,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,STUDY,PSTL_CODE,NCCA_REG,INDEX_AP,INDEX_NCCA15,IS_DISTINCT,TOTAL,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY
4/27/2021,1,181022,NCCA15-1148,1,2015,4-Sep-15,Estuarine,NC,Southeast,Y,Y,Y,1,ABLABESMYIA,987209,,EST,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE
4/27/2021,10,171180,NCCA15-1373,1,2015,7-Jul-15,Estuarine,TX,Gulf,,Y,Y,1,ABRA LONGICALLUS,141434,,EST,MOLLUSCA,BIVALVIA,CARDIIDA,SEMELIDAE
4/27/2021,100,170880,NCCA15-1559,1,2015,2-Jul-15,Estuarine,NJ,Northeast,,Y,Y,3,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,178911,NCCA15-2159,1,2015,27-Aug-15,Estuarine,NJ,Northeast,,Y,Y,1,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,174470,NCCA15-2167,1,2015,28-Jul-15,Estuarine,DE,Northeast,,Y,Y,7,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,175412,NCCA15-2056,1,2015,4-Aug-15,Estuarine,ME,Northeast,,Y,Y,1,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,175875,MACA15-3075,1,2015,6-Aug-15,Estuarine,MA,Northeast,,Y,Y,5,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,1000104,NCCA15-1576,1,2015,29-Jul-15,Estuarine,CT,Northeast,,Y,Y,2,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,173224,NCCA15-2168,1,2015,20-Jul-15,Estuarine,NJ,Northeast,,Y,Y,3,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,100,175044,MACA15-3076,1,2015,7-Aug-15,Estuarine,MA,Northeast,,Y,Y,1,AMEROCULODES EDWARDSI,547000,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,OEDICEROTIDAE
4/27/2021,1000,177524,NCCA15-1288,1,2015,20-Aug-15,Estuarine,WA,West,,Y,Y,9,HETEROPHOXUS,176848,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1000,1000118,NCCA15-2699,1,2015,4-Aug-15,Estuarine,WA,West,,Y,Y,10,HETEROPHOXUS,176848,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
4/27/2021,1000,1000115,NCCA15-2691,1,2015,1-Aug-15,Estuarine,WA,West,,Y,Y,2,HETEROPHOXUS,176848,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,PHOXOCEPHALIDAE
