PUBLICATION_DATE,STUDY,UID,SITE_ID,PSTL_CODE,VISIT_NO,SAMPLE_ID,YEAR,DATE_COL,NCCA_REG,FEAT_NM,INDEX_NCCA15,INDEX_AP,DEPTH,GRAB_AREA,GRABS,GRAB_TYPE,FINAL_GRAB_AREA,SIEVE_SIZE,SALINITY,QA_FLAG,COMMENT,CONDITION_CODE
44313,Albemarle_Pamlico,177271,NCCA15-2261,NC,1,808384,2015,18-Aug,Southeast,White_Oak_River,(blank),Y,7,0.04,1,VAN_VEEN,0.04,0.5,49.7,IN,(blank),OK
44313,Albemarle_Pamlico,177271,NCCA15-2261,NC,1,808384,2015,18-Aug,Southeast,White_Oak_River,(blank),Y,7,0.04,1,VAN_VEEN,0.04,0.5,49.7,(blank),(blank),OK
44313,Albemarle_Pamlico,177800,NCCA15-1168,NC,1,808484,2015,21-Aug,Southeast,Bogue_Sound,(blank),Y,7,0.04,1,VAN_VEEN,0.04,0.5,32.69,(blank),(blank),OK
44313,Albemarle_Pamlico,178323,NCCA15-1160,NC,1,808404,2015,25-Aug,Southeast,Pamlico_Sound,(blank),Y,400,0.04,1,VAN_VEEN,0.04,0.5,20.91,DD,Grab Depth not reported by crew. Crew erroneously reported station depth as grab depth.,OK
44313,Albemarle_Pamlico,178323,NCCA15-1160,NC,1,808404,2015,25-Aug,Southeast,Pamlico_Sound,(blank),Y,400,0.04,1,VAN_VEEN,0.04,0.5,20.91,"IN, DD",Grab Depth not reported by crew. Crew erroneously reported station depth as grab depth.,OK
44313,Albemarle_Pamlico,178323,NCCA15-1160,NC,1,808404,2015,25-Aug,Southeast,Pamlico_Sound,(blank),Y,400,0.04,1,VAN_VEEN,0.04,0.5,20.91,(blank),Grab Depth not reported by crew. Crew erroneously reported station depth as grab depth.,OK
44313,Albemarle_Pamlico,178953,NCCA15-2271,NC,1,808564,2015,26-Aug,Southeast,Neuse_River,(blank),Y,220,0.04,1,VAN_VEEN,0.04,0.5,17.82,(blank),(blank),OK
44313,Albemarle_Pamlico,180020,NCCA15-2265,NC,1,808524,2015,1-Sep,Southeast,South_Creek,(blank),Y,8,0.04,1,VAN_VEEN,0.04,0.5,8.92,(blank),(blank),OK
44313,Albemarle_Pamlico,181650,NCCA15-2267,NC,1,808324,2015,9-Sep,Southeast,Pamlico_River,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,16.92,"IN, DD",(blank),OK
44313,Albemarle_Pamlico,181650,NCCA15-2267,NC,1,808324,2015,9-Sep,Southeast,Pamlico_River,(blank),Y,9,0.04,1,VAN_VEEN,0.04,0.5,16.92,(blank),(blank),OK
