PUBLICATION_DATE,UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,STUDY,PSTL_CODE,LAT_DD83,LON_DD83,XCOORD,YCOORD,UNIQUE_ID,WGT_CAT_AP,WGT_SP_AP,DWH_REGION,EPA_REG,EST_GROUP,EVAL_CAT,FEAT_NM,FRAME1999,FRAME2005,FRAME2010,FRAME2015,NCA_REG,NCCA_REG,NEP_NAME,NEP_NAT,PANEL_RVST,PANEL_SOT,PANEL_USE,PANEL_WGT,PROB_CAT,PROVINCE,SITETYPE,SMALL_EST,STATE_NM,STRATUM,TNT_CAT,WGT_CAT,WGT_SP,WTBDY_NM,LAT_DD,LON_DD,STATION_DEPTH,INDEX_AP,INDEX_FPLG15,INDEX_FTIS15,INDEX_NCCA15,COUNTRY,GREAT_LAKE,NPS_PARK
4/29/2021,169300,MACA15-3001,2015,1,6/18/2015,Estuarine,MA,42.73573313,-70.8103611,2026526.594,856549.458,NCA_MA-10160,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Plum_Island_Sound,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10_RVT2,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(10,20]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_1,Target,NCA_MA_AP_Massachusetts_Region_1,2.216951794,Plum_Island_Sound,42.735722,-70.810408,3,,Y,Y,Y,,,
4/29/2021,182060,MACA15-3001,2015,2,9/10/2015,Estuarine,MA,42.73573313,-70.8103611,2026526.594,856549.458,NCA_MA-10160,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Plum_Island_Sound,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10_RVT2,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(10,20]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_1,Target,NCA_MA_AP_Massachusetts_Region_1,2.216951794,Plum_Island_Sound,42.735654,-70.810297,3,,N,N,N,,,
4/29/2021,1000025,MACA15-3002,2015,1,6/17/2015,Estuarine,MA,42.59722609,-70.66739472,2041833.263,844672.965,NCA_MA-10162,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Gloucester_Harbor,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(0,10]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_1,Target,NCA_MA_AP_Massachusetts_Region_1,1.967993898,Gloucester_Harbor,42.597357,-70.667633,9.8,,Y,Y,Y,,,
4/29/2021,170286,MACA15-3003,2015,1,7/9/2015,Estuarine,MA,42.37324654,-71.0502887,2018188.148,812325.463,NCA_MA-10159,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Massachusetts_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10_RVT2,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(0,10]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_2,Target,NCA_MA_AP_Massachusetts_Region_2,7.177442389,Massachusetts_Bay,42.373145,-71.050311,8,,Y,Y,Y,,,
4/29/2021,177180,MACA15-3003,2015,2,8/18/2015,Estuarine,MA,42.37324654,-71.0502887,2018188.148,812325.463,NCA_MA-10159,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Massachusetts_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10_RVT2,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(0,10]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_2,Target,NCA_MA_AP_Massachusetts_Region_2,7.177442389,Massachusetts_Bay,42.37325,-71.050333,9.1,,N,N,N,,,
4/29/2021,171470,MACA15-3004,2015,1,7/8/2015,Estuarine,MA,42.52101957,-70.83336528,2031000.736,832896.804,NCA_MA-10164,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Salem_Sound,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(20,50]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_2,Target,NCA_MA_AP_Massachusetts_Region_2,13.96886078,Salem_Sound,42.521017,-70.833327,12.8,,Y,Y,Y,,,
4/29/2021,171234,MACA15-3005,2015,1,7/7/2015,Estuarine,MA,42.44840733,-70.95117258,2023830.122,822547.58,NCA_MA-10166,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Massachusetts_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(20,50]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_2,Target,NCA_MA_AP_Massachusetts_Region_2,13.96886078,Massachusetts_Bay,42.448367,-70.951177,1.8,,Y,Y,Y,,,
4/29/2021,172945,MACA15-3008,2015,1,7/17/2015,Estuarine,MA,41.99127182,-70.6584189,2060394.674,779501.997,NCA_MA-10161,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Kingston_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(10,20]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_3,Target,NCA_MA_AP_Massachusetts_Region_3,2.82957776,Kingston_Bay,41.991321,-70.658535,7.5,,Y,Y,Y,,,
4/29/2021,172950,MACA15-3009,2015,1,7/17/2015,Estuarine,MA,41.97126553,-70.64413371,2062118.509,777652.982,NCA_MA-10165,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Plymouth_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(20,50]",Acadian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_3,Target,NCA_MA_AP_Massachusetts_Region_3,4.888553866,Plymouth_Bay,41.971413,-70.643952,1,,Y,Y,Y,,,
4/29/2021,175040,MACA15-3010,2015,1,9/16/2015,Estuarine,MA,41.95005127,-70.25464957,2093656.562,783881.075,NCA_MA-10163,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Cape_Cod_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(50,1200]",Acadian Province,PROB,Large,Massachusetts,AP_Massachusetts_Region_4,Target,NCA_MA_AP_Massachusetts_Region_4,78.35449632,Cape_Cod_Bay,41.949946,-70.25458,34.5,,Y,Y,Y,,,
4/29/2021,175041,MACA15-3011,2015,1,8/6/2015,Estuarine,MA,41.85854475,-70.49864164,2077009.863,768659.682,NCA_MA-10168,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Cape_Cod_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(50,1200]",Acadian Province,PROB,Large,Massachusetts,AP_Massachusetts_Region_4,Target,NCA_MA_AP_Massachusetts_Region_4,78.35449632,Cape_Cod_Bay,41.858527,-70.498614,13.8,,Y,Y,Y,,,
4/29/2021,175042,MACA15-3012,2015,1,9/16/2015,Estuarine,MA,41.95598405,-70.11548898,2104514.332,787594.199,NCA_MA-10170,,,Outside Gulf Coast,Region_01,AP_Massachusetts_Bays,Target_Sampled,Cape_Cod_Bay,Include,Include,Include,Include,East_Coast,Northeast,Massachusetts Bays,NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10,NCA_NO_NO_10_15,"AP_Massachusetts_Bay_(50,1200]",Acadian Province,PROB,Large,Massachusetts,AP_Massachusetts_Region_4,Target,NCA_MA_AP_Massachusetts_Region_4,78.35449632,Cape_Cod_Bay,41.955943,-70.115408,15.5,,Y,Y,Y,,,
4/29/2021,174495,MACA15-3014,2015,1,7/29/2015,Estuarine,MA,41.41796553,-70.55278683,2085750.914,719930.677,NCA_MA-10172,,,Outside Gulf Coast,Region_01,AP_Other,Target_Sampled,Sengekontacket_Pond,Include,Include,Include,Include,East_Coast,Northeast,Not_NEP,Not_NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10_RVT2,NCA_NO_NO_10_15,"AP_Other_(0,10]",Virginian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_5,Target,NCA_MA_AP_Massachusetts_Region_5,38.77912907,Sengekontacket_Pond,41.41796,-70.55278,1,,Y,Y,Y,,,
4/29/2021,183320,MACA15-3014,2015,2,9/17/2015,Estuarine,MA,41.41796553,-70.55278683,2085750.914,719930.677,NCA_MA-10172,,,Outside Gulf Coast,Region_01,AP_Other,Target_Sampled,Sengekontacket_Pond,Include,Include,Include,Include,East_Coast,Northeast,Not_NEP,Not_NEP,NCA_NO_NO_10_15,NCA_NO_NO_10_15,Base10_RVT2,NCA_NO_NO_10_15,"AP_Other_(0,10]",Virginian Province,PROB,Small,Massachusetts,AP_Massachusetts_Region_5,Target,NCA_MA_AP_Massachusetts_Region_5,38.77912907,Sengekontacket_Pond,41.418041,-70.553089,1.5,,N,N,N,,,
