UID,SITE_ID,STATE,VISIT_NO,DATE_COL,SCREENSIZE,TAXON_ORIGINAL,TAXON_CORRECTED,TOTAL,ADULT,CONDITION,DISTINCT,FLAGGED,IMMATURE,INDETERMINATE,LAB_TIN,LARVAE,NUM_AGGREGATED,PUPAE,QA_CODE,QA_COMMENTS,SAMPLE_ID,WORMS_STATUS,WORMS_APHIAID,ITIS_STATUS,ITIS_TSN,LPIL,PHYLUM,CLASS,ORDER,FAMILY,GENUS,GRAB_TYPE,Grab_Area(m^2),Number of grabs,Final_Grab_Area(m^2),Grab_Depth(cm),Sieve_Size(mm^2),Grab_QA,Grab_Comment
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Corbicula sp.,Corbicula,1,,N,Y,,N,N,2368,,0,,,,564284,accepted,238371,,81385,G,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Pleuroceridae,Pleuroceridae,1,,N,Y,,Y,N,98,,0,,,,564284,,,,71541,F,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Limnodrilus claparedeianus,Limnodrilus claparedianus,1,,N,Y,,N,N,20,,0,,,,564284,,,,68654,S,Annelida,Clitellata,Haplotaxida,Tubificidae,Limnodrilus,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Stictochironomus sp.,Stictochironomus,18,,N,Y,,N,N,996,,0,,,,564284,accepted,181587,,129785,G,Arthropoda,Insecta,Diptera,Chironomidae,Stictochironomus,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Procladius sp.,Procladius,18,,N,Y,,N,N,799,,0,,,,564284,accepted,156905,,128277,G,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Potamothrix moldaviensis,Potamothrix moldaviensis,5,,N,Y,,N,N,4454,,0,,,,564284,accepted,137563,,68789,S,Annelida,Clitellata,Haplotaxida,Tubificidae,Potamothrix,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Potamopyrgus antipodarum,Potamopyrgus antipodarum,1,,N,Y,,N,N,1043,,0,,,,564284,accepted,147123,,205006,S,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,Potamopyrgus,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Physa sp.,Physa,22,,N,Y,,N,N,93,,0,,,,564284,accepted,181551,,76677,G,Mollusca,Gastropoda,Basommatophora,Physidae,Physa,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Dreissena polymorpha,Dreissena polymorpha,122,,N,Y,,N,N,1173,,0,,,,564284,accepted,181566,,81339,S,Mollusca,Bivalvia,Veneroida,Dreissenidae,Dreissena,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
1007,NCCAGL10-1140,MI,2,7/26/2010,0.5,Cryptochironomus sp.,Cryptochironomus,10,,N,Y,,N,N,934,,0,,,,564284,accepted,181574,,129368,G,Arthropoda,Insecta,Diptera,Chironomidae,Cryptochironomus,STANDARD PONAR,0.052,1,0.052,4.5,0.5,"Q18, Q10",Grab depth < 7 cm
