Dataset:              Fish Counts by Species
File Name:            FISH_CNT.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       6341
Delimiter:            ,
Missing Value Symbol: .

Variables:    STATION       Station Name                          
              STAT_ALT      Alternate Site Sampled (A B or C)  
              EVNTDATE      Event Date                          
              FTRAWLID      Fish Trawl Descriptive Data              
              FCOMNAME      Fish Taxa Common Name              
              CLASS         Fish Size Classification          
              F_COUNT       Number of this Fish Taxa caught  

STATION,STAT_ALT,EVNTDATE,FCOMNAME,F_CLASS,F_COUNT,ftrawlid,
CT00-0001,A,08/17/00,SCUP, ,50, ,
CT00-0001,A,08/17/00,SUMMER FLOUNDER, ,2, ,
CT00-0001,A,08/17/00,WEAKFISH, ,2, ,
CT00-0005,A,09/18/00,LITTLE SKATE, ,1, ,
CT00-0005,A,09/18/00,SCUP, ,1, ,
CT00-0005,A,09/18/00,SUMMER FLOUNDER, ,3, ,
CT00-0005,A,09/18/00,WINTER FLOUNDER, ,2, ,
CT00-0007,A,08/10/00,BLACK CRAPPIE, ,1, ,
CT00-0007,A,08/10/00,BROWN BULLHEAD, ,1, ,
CT00-0007,A,08/10/00,PUMPKINSEED, ,5, ,
CT00-0007,A,08/10/00,SPOTTAIL SHINER, ,7, ,
CT00-0007,A,08/10/00,STRIPED BASS, ,1, ,
CT00-0007,A,08/10/00,WHITE CATFISH, ,2, ,
CT00-0007,A,08/10/00,WHITE PERCH, ,34, ,
CT00-0009,A,08/31/00,BAY ANCHOVY, ,1, ,
CT00-0009,A,08/31/00,BUTTERFISH, ,1, ,
CT00-0009,A,08/31/00,STRIPED SEAROBIN, ,1, ,
CT00-0009,A,08/31/00,SUMMER FLOUNDER, ,1, ,
CT00-0009,A,08/31/00,WEAKFISH, ,2, ,
CT00-0011,B,09/01/00,SCUP, ,61, ,
CT00-0011,B,09/01/00,SMALLMOUTH FLOUNDER, ,1, ,
CT00-0011,B,09/01/00,SUMMER FLOUNDER, ,4, ,
CT00-0011,B,09/01/00,WINDOWPANE, ,1, ,
CT00-0013,B,08/29/00,CARP, ,1, ,
CT00-0013,B,08/29/00,CHANNEL CATFISH, ,11, ,
CT00-0013,B,08/29/00,WHITE CATFISH, ,1, ,
CT00-0013,B,08/29/00,WHITE PERCH, ,4, ,
CT00-0013,B,08/29/00,WHITE SUCKER, ,1, ,
CT00-0015,A,09/06/00,BLACK SEA BASS, ,1, ,
CT00-0015,A,09/06/00,NORTHERN PIPEFISH, ,1, ,
CT00-0015,A,09/06/00,SCUP, ,7, ,
CT00-0015,A,09/06/00,STRIPED BASS, ,1, ,
CT00-0015,A,09/06/00,STRIPED SEAROBIN, ,1, ,
CT00-0015,A,09/06/00,SUMMER FLOUNDER, ,2, ,
CT00-0015,A,09/06/00,TAUTOG, ,2, ,
CT00-0015,A,09/06/00,WINTER FLOUNDER, ,2, ,
CT00-0017,A,09/05/00,ATLANTIC MENHADEN, ,1, ,
CT00-0017,A,09/05/00,SCUP, ,10, ,
CT00-0017,A,09/05/00,WINTER FLOUNDER, ,1, ,
