Dataset:              Fish Taxonomy Information
File Name:            fish_tax.dat
Date Created:         06/08/10
# Variables:          3
# Header Records:     14
# Data Records:       211
Delimiter:            ,
Missing Value Symbol: .

Variables:    FCOMNAME      	Common Name                 
              FSCINAME           	Scientific (Latin) Name     
              TSN      		ITIS Taxonomic Serial Number

fcomname,FSCINAME,TSN,
ACADIAN REDFISH,SEBASTES FASCIATUS,166774,
ALEWIFE,ALOSA PSEUDOHARENGUS,161706,
AMERICAN EEL,ANGUILLA ROSTRATA,161127,
AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES,172877,
AMERICAN SHAD,ALOSA SAPIDISSIMA,161702,
ANCHOVY,ENGRAULIDAE,553173,
ATLANTIC COD,GADUS MORHUA,164712,
ATLANTIC CROAKER,MICROPOGONIAS UNDULATUS,169283,
ATLANTIC HERRING,CLUPEA HARENGUS,161722,
ATLANTIC MACKEREL,SCOMBER SCOMBRUS,172414,
ATLANTIC MENHADEN,BREVOORTIA TYRANNUS,161732,
ATLANTIC SILVERSIDE,MENIDIA MENIDIA,165994,
ATLANTIC SPADEFISH,CHAETODIPTERUS FABER,169539,
ATLANTIC STURGEON,ACIPENSER OXYRHYNCHUS,553269,
ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM,161748,
ATLANTIC TOMCOD,MICROGADUS TOMCOD,164720,
BANDED DRUM,LARIMUS FASCIATUS,169269,
BANDED KILLIFISH,FUNDULUS DIAPHANUS,165646,
BAY ANCHOVY,ANCHOA MITCHILLI,161839,
BIG-EYE SCAD,SELAR CRUMENOPHTHALMUS,168677,
BIGEYE,PRIACANTHUS ARENATUS,168178,
BLACK CRAPPIE,POMOXIS NIGROMACULATUS,168167,
BLACK DRUM,POGONIAS CROMIS,169288,
BLACK EDGE CUSK-EEL,LEPOPHIDIUM BREVIBARBE,164825,
BLACK GROUPER,MYCTEROPERCA BONACI,167760,
BLACK SEA BASS,CENTROPRISTIS STRIATA,167687,
BLACKCHEEK TONGUEFISH,SYMPHURUS PLAGIUSA,173062,
BLUE CATFISH,ICTALURUS FURCATUS,163997,
BLUE CRAB,CALLINECTES SAPIDUS,98696,
BLUE SPOT,LEIOSTOMUS XANTHURUS,169267,
BLUEBACK HERRING,ALOSA AESTIVALIS,161703,
BLUEFISH,POMATOMUS SALTATRIX,168559,
BLUEGILL,LEPOMIS MACROCHIRUS,168141,
BLUESPOTTED CORNETFISH,FISTULARIA TABACARIA,166416,
BLUNTNOSE STINGRAY,DASYATIS SAY,160954,
BOXFISH,LACTOPHRYS TRICORNIS,173243,
BROWN BULLHEAD,ICTALURUS NEBULOSUS,164043,
BROWN CATFISH,SILURIFORMES,163992,
BROWN SHRIMP,FARFANTEPENAEUS,684690,
BULLHEAD BOW, ,.,
BULLHEAD CATFISH,ICTALURIDAE,163995,
BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,564391,
BUTTERFISH,PEPRILUS TRIACANTHUS,172567,
CARP,CYPRINUS,163344,
CATFISH,SILURIFORMES,163992,
CHANNEL CATFISH,ICTALURUS PUNCTATUS,163998,
CHUB,ALBURNOIDES BIPUNCTATUS,163714,
CLEARNOSE SKATE,RAJA EGLANTERIA,160855,
CONGER EEL,CONGER OCEANICUS,161326,
COWNOSE RAY,RHINOPTERA BONASUS,160985,
CRAPPIE,POMOXIS,168165,
CREEK CHUB,SEMOTILUS ATROMACULATUS,163376,
CREVALLE JACK,CARANX HIPPOS,168609,
CUNNER,TAUTOGOLABRUS ADSPERSUS,170481,
CUSK-EEL,OPHIDIIDAE,164807,
DARTER,PERCIFORMES,170315,
DOGFISH,SQUALUS ACANTHIAS,160617,
DUSKY PIPEFISH,SYNGNATHUS FLORIDAE,166446,
FAWN CUSK-EEL,LEPOPHIDIUM PROFUNDORUM,164831,
FEATHER BLENNY,HYPSOBLENNIUS HENTZ,171156,
FIVE SPOT FLOUNDER,PSEUDORHOMBUS QUINQUOCELLATUS,172846,
FLOUNDER,PARALICHTHYS DENTATUS,172735,
FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS,164748,
FOURSPINE STICKLEBACK,APELTES QUADRACUS,166397,
FOURSPOT FLOUNDER,PARALICHTHYS OBLONGUS,172739,
FRESHWATER DRUM,APLODINOTUS GRUNNIENS,169364,
