names,species,wids
Ampelisca,NA,101445
Ampelisca vadorum,Ampelisca vadorum,158022
Ampelisca verrilli,Ampelisca verrilli,158023
Anachis avara,NA,NA
Aoridae,NA,101368
Arcidae,NA,208
Aricidea,NA,129430
Aricidea (Acmira) catherinae,Aricidea (Acmira) catherinae,333034
Bivalvia,NA,105
Brania wellfleetensis,Brania wellfleetensis,157288
Calyptraeidae,NA,141
Cirratulidae,NA,919
Corophiidae,NA,101376
Crepidula fornicata,Crepidula fornicata,138963
Crepidula plana,Crepidula plana,160230
Cymadusa compta,Cymadusa compta,158082
Eobrolgus spinosus,Eobrolgus spinosus,158087
Ericthonius punctatus,Ericthonius punctatus,102408
Eumida sanguinea,Eumida sanguinea,130644
Exogone rolani,Exogone rolani,760592
Gastropoda,NA,101
Glycera americana,Glycera americana,157388
Glycinde solitaria,NA,NA
Heteromastus filiformis,Heteromastus filiformis,129884
Hydroides dianthus,Hydroides dianthus,131000
Hypereteone heteropoda,Hypereteone heteropoda,333652
Leitoscoloplos,NA,129418
Lembos smithi,NA,NA
Lepidonotus sublevis,Lepidonotus sublevis,157450
Leucon americanus,NA,NA
Libinia dubia,Libinia dubia,107335
Listriella barnardi,NA,NA
Lumbriculidae,NA,177535
Lysianopsis alba,Lysianopsis alba,158036
Mediomastus,NA,129218
Mediomastus ambiseta,Mediomastus ambiseta,157482
Microdeutopus gryllotalpa,Microdeutopus gryllotalpa,102048
Mitrella,NA,137804
Nephtys picta,Nephtys picta,157501
Nereis acuminata,NA,NA
Pagurus longicarpus,Pagurus longicarpus,158403
Paraonis fulgens,Paraonis fulgens,146932
Parapionosyllis longicirrata,Parapionosyllis longicirrata,157524
Pectinaria gouldii,Pectinaria gouldii,334421
Peloscolex heterochaetus,NA,NA
Podarke obscura,NA,NA
Prionospio heterobranchia,Prionospio heterobranchia,157543
Scolelepis texana,NA,NA
Scoloplos robustus,Scoloplos robustus,157565
Streptosyllis arenae,Streptosyllis arenae,131398
Tharyx acutus,Tharyx acutus,155243
Tubificidae,NA,NA
NA,NA,NA
Acteocina canaliculata,Acteocina canaliculata,160065
Anadara,NA,137669
Aricidea (Acmira) cerrutii,Aricidea (Acmira) cerrutii,525497
Ascidiacea,NA,1839
Asychis elongata,NA,NA
Busycotypus canaliculatus,Busycotypus canaliculatus,160192
Chione,NA,206343
Cyclaspis varians,Cyclaspis varians,157810
Haminoea solitaria,NA,NA
Japonactaeon punctostriatus,Japonactaeon punctostriatus,420514
Melinna cristata,Melinna cristata,129804
Muricidae,NA,148
Notomastus lobatus,NA,NA
Paguridae,NA,106738
Prionospio steenstrupi,Prionospio steenstrupi,131164
Ptilanthura tenuis,Ptilanthura tenuis,157908
Pyramidellidae,NA,162
Solemya,NA,138514
Spiophanes bombyx,Spiophanes bombyx,131187
Tagelus,NA,156997
Tellina,NA,138533
Turbonilla,NA,138421
Veneridae,NA,243
Acanthohaustorius shoemakeri,Acanthohaustorius shoemakeri,345320
Acuminodeutopus naglei,NA,NA
Anadara transversa,Anadara transversa,156734
Astyris lunata,Astyris lunata,160102
Caecidae,NA,126
Caecum pulchellum,Caecum pulchellum,160149
Capitella,NA,129211
Capitella capitata,Capitella capitata,129876
Capitellides jonesi,NA,NA
Caprella penantis,Caprella penantis,101846
Caprellidae,NA,101361
Caulleriella,NA,129241
Cerapus tubularis,Cerapus tubularis,158078
Cerithiidae,NA,128
Crassinella,NA,415242
Grubeosyllis clavata,NA,NA
Haminoeidae,NA,23052
Leptochelia rapax,NA,NA
Magelona papillicornis,Magelona papillicornis,130272
Magelona pettiboneae,Magelona pettiboneae,329153
Nemertea,NA,152391
Oxyurostylis smithi,Oxyurostylis smithi,157834
Philine sagra,Philine sagra,532268
Platynereis dumerilii,Platynereis dumerilii,130417
Solemya velum,Solemya velum,156994
Synchelidium americanum,NA,NA
Tectonatica pusilla,Tectonatica pusilla,160063
Tharyx parvus,Tharyx parvus,334924
Actiniaria,NA,1360
Clymenella torquata,Clymenella torquata,130279
Lumbrineridae,NA,967
Maldanidae,NA,923
Melinna maculata,Melinna maculata,157486
Notomastus latericeus,Notomastus latericeus,129898
Phyllodoce arenae,Phyllodoce arenae,157530
Polydora cornuta,Polydora cornuta,131143
Prionospio,NA,129620
Scoletoma tenuis,Scoletoma tenuis,382375
Scoletoma verrilli,Scoletoma verrilli,421066
Sphaerosyllis taylori,Sphaerosyllis taylori,131394
Streblospio benedicti,Streblospio benedicti,131191
Tubulanus,NA,122388
Alitta virens,Alitta virens,234851
Ampharetidae,NA,981
Ampithoe longimana,Ampithoe longimana,158026
Cyathura polita,Cyathura polita,157847
Eteone longa,Eteone longa,130616
Exogone dispar,Exogone dispar,333453
Gemma gemma,Gemma gemma,156803
Hesionidae,NA,946
Melita nitida,Melita nitida,146922
Monoculodes edwardsi,NA,NA
Nassarius obsoletus,NA,NA
Nassarius vibex,NA,NA
Portunidae,NA,106763
Spiochaetopterus costarum,Spiochaetopterus costarum,129922
Xanthidae,NA,106769
Ampharete acutifrons,Ampharete acutifrons,129775
Amphiura,NA,123613
Anachis,NA,137802
Ancistrosyllis hartmanae,Ancistrosyllis hartmanae,157168
Byblis serrata,Byblis serrata,101946
Cabira incerta,Cabira incerta,157290
Cancer,NA,106876
Carazziella hobsonae,Carazziella hobsonae,327357
Cardiidae,NA,229
Cirrophorus,NA,129431
Crepidula,NA,137722
Edotia triloba,Edotia triloba,157885
Exogone,NA,129654
Exogone hebes,NA,NA
Leptocheirus pinguis,Leptocheirus pinguis,158112
Libinia,NA,106906
Lyonsia hyalina,Lyonsia hyalina,156793
Malmgreniella maccraryae,Malmgreniella maccraryae,329205
Marphysa sanguinea,Marphysa sanguinea,130075
Ninoe nigripes,Ninoe nigripes,130255
Nucula proxima,Nucula proxima,156916
Pandora gouldiana,Pandora gouldiana,156932
Phascolion strombus strombus,NA,NA
Phoxocephalus holbolli,Phoxocephalus holbolli,102989
Polygordius,NA,129472
Syllidae,NA,948
Tharyx dorsobranchialis,NA,NA
Unciola irrorata,Unciola irrorata,158156
Crangon septemspinosa,Crangon septemspinosa,158355
Dentalium,NA,137886
Idunella,NA,101581
Naticidae,NA,145
Pholoe minuta,Pholoe minuta,130603
Pinnixa,NA,158444
Polycirrus,NA,129710
Scalibregma inflatum,Scalibregma inflatum,130980
Ampharete arctica,NA,NA
Cirrophorus lyriformis,NA,NA
Parvicardium pinnulatum,Parvicardium pinnulatum,181343
Levinsenia gracilis,Levinsenia gracilis,130578
Nephtys incisa,Nephtys incisa,130362
Pagurus,NA,106854
Pitar morrhuanus,NA,NA
Scoloplos,NA,NA
Yoldia limatula,Yoldia limatula,157005
Aricidea (Aricidea) wassi,Aricidea (Aricidea) wassi,326605
Echinarachnius parma,Echinarachnius parma,158062
Hippomedon serratus,Hippomedon serratus,158102
Onuphidae,NA,965
Protohaustorius wigleyi,Protohaustorius wigleyi,158137
Rhepoxynius hudsoni,Rhepoxynius hudsoni,549011
Scoloplos armiger,Scoloplos armiger,130537
Tellinidae,NA,235
Astarte castanea,NA,NA
Caecum,NA,NA
Cirrophorus lyra,NA,NA
Enchytraeidae,NA,2038
Goniadella gracilis,Goniadella gracilis,130145
Harmothoe imbricata,Harmothoe imbricata,130769
Hyperia,NA,NA
Lumbrinerides acuta,Lumbrinerides acuta,130228
Lumbrineris fragilis,NA,NA
Marphysa bellii,NA,NA
Microphthalmus aberrans,Microphthalmus aberrans,130168
Paraonidae,NA,903
Pisione remota,Pisione remota,130707
Polycirrus eximius,NA,NA
Sphaerosyllis,NA,129677
Spisula solidissima,Spisula solidissima,156996
Tharyx annulosus,NA,NA
Angulus agilis,NA,NA
Corophium,NA,101489
Drilonereis longa,Drilonereis longa,157357
Goniadidae,NA,953
Hydroides,NA,129566
Hypereteone fauchaldi,Hypereteone fauchaldi,333651
Lembos websteri,Lembos websteri,102033
Microphthalmus sczelkowii,Microphthalmus sczelkowii,130174
Monocorophium insidiosum,Monocorophium insidiosum,148592
Odontosyllis fulgurans,Odontosyllis fulgurans,131327
Phyllodoce,NA,129455
Phyllodocidae,NA,931
Spio filicornis,Spio filicornis,131183
Chiridotea coeca,Chiridotea coeca,157842
Glyceridae,NA,952
Marenzelleria jonesi,NA,NA
Marenzelleria viridis,Marenzelleria viridis,131135
Nephtys,NA,129370
Nereididae,NA,22496
Nereis,NA,129379
Spionidae,NA,913
Lineidae,NA,122314
Aricidea suecica,NA,NA
Corbula contracta,NA,NA
Diplocirrus hirsutus,NA,NA
Lumbrineris impatiens,NA,NA
Mercenaria mercenaria,Mercenaria mercenaria,141919
Nassarius trivittatus,NA,NA
Paracaprella tenuis,Paracaprella tenuis,160028
Periploma papyratium,Periploma papyratium,156958
Pettiboneia duofurca,Pettiboneia duofurca,330507
Turbonilla interrupta,Turbonilla interrupta,160082
Gammarus,NA,101537
Schizobranchia insignis,Schizobranchia insignis,331699
Capitellidae,NA,921
Mulinia lateralis,Mulinia lateralis,156870
Spio,NA,129625
Streptosyllis varians,Streptosyllis varians,131401
Eudorella,NA,110412
Macoma tenta,NA,NA
Odostomia,NA,138413
Podarkeopsis levifuscina,Podarkeopsis levifuscina,330826
Sabaco americanus,NA,NA
Sigambra tentaculata,Sigambra tentaculata,130703
Asabellides oculata,NA,NA
Boonea bisuturalis,Boonea bisuturalis,397024
Cossurella,NA,NA
Cossuridae,NA,908
Cylichna oryza,NA,NA
Nuculanidae,NA,205
Littorina irrorata,NA,NA
Owenia fusiformis,Owenia fusiformis,130544
Pherusa affinis,Pherusa affinis,157526
Terebellidae,NA,982
Panopeus herbstii,Panopeus herbstii,158436
Ensis directus,NA,NA
Loimia,NA,129700
Sipuncula,NA,1268
Amphioplus abdita,NA,NA
Anachis lafresnayi,NA,NA
Axiothella mucosa,NA,NA
Dipolydora caulleryi,Dipolydora caulleryi,131116
Dipolydora socialis,Dipolydora socialis,131124
Gilvossius setimanus,Gilvossius setimanus,158385
Mytilus edulis,Mytilus edulis,140480
Ophiuroidea,NA,123084
Sthenelais boa,Sthenelais boa,131074
Cirrophorus brevicirratus,Cirrophorus brevicirratus,157298
Geukensia demissa,Geukensia demissa,156859
Pinnixa chaetopterana,NA,NA
Amphipoda,NA,1135
Anaitides maculata,NA,NA
Autolytus,NA,NA
Crangonidae,NA,106782
Crassinella lunulata,Crassinella lunulata,420843
