Dataset:              Benthic Community Data
File Name:            va91_3_4.txt
Date Created:         11/17/97
# Variables:          10
# Header Records:     20
# Data Records:       101
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              #GRABS       Number of grabs
              #TAXA        Mean number of taxa per grab
              #ORGS        Mean number of organisms per grab
              #I_TAXA      Mean number of infaunal taxa per grab
              #I_ORGS      Mean number of infaunal organisms per grab
              BMASS        Mean biomass (g) per grab
              MOIST        Mean moisture (%) per grab
              SICL         Mean silt/clay (%) per grab

STA_NAME    DATE  #GRABS #TAXA  #ORGS   #I_TAXA       #I_ORGS    BMASS      MOIST      SICL
VA91-261  910803       3    34    247     25.67        196.67   0.2697      19.62     55.98
VA91-262  910815       3    55    746     36.33        254.67   0.4657      18.76      5.93
VA91-263  910803       3    15     58     12.00         46.00   0.0616      53.22     75.84
VA91-265  910818       3    33    206     29.00        170.33   0.7303      28.14     31.52
VA91-266  910817       3    32    203     24.67        177.67   0.4970      30.64     35.34
VA91-269  910804       3     9     49      8.00         46.33   1.2501      62.06     92.41
VA91-270  910817       3    55    448     37.67        302.00   0.7178      18.77      5.69
VA91-271  910816       3    31    212     26.67        185.00   0.4932      24.67      1.47
VA91-273  910804       3     3     18      2.33         17.67   0.0179      62.46     97.50
VA91-275  910805       3     5     27      5.00         27.33   0.0053      30.82     17.64
VA91-276  910816       3    26    158     21.00        132.67   0.2321      52.37     84.32
VA91-278       .       .     .      .       .             .      .            .         .  
VA91-279  910823       3    29    140     23.00         99.67   0.2984      31.08      2.37
VA91-281  910809       3     0      0      0.00          0.00   0.0000        .         .  
VA91-282  910812       3     9     33      9.00         32.67   0.0174      63.00     94.57
VA91-283  910823       3     9     39      8.67         38.00   0.0227      57.31     87.61
VA91-284  910812       3    29    284     25.67        234.67   0.2351      18.87      1.03
VA91-285  910822       3    33    174     28.67        164.00   0.2217      15.87      2.17
VA91-288  910810       3    12    105     10.67        102.00   0.1035      63.00     85.34
VA91-290  910811       3     1      1      1.00          1.00   0.0001      79.51     91.17
VA91-291  910811       3    23    189     21.67        183.33   0.3620      18.17      1.78
VA91-292  910822       3    20     75     17.67         72.33   0.0653      13.86      1.76
VA91-294  910730       3     6     29      3.67         24.67   0.4088      73.65     98.18
VA91-295  910821       3    21     93     20.33         91.67   0.3429      19.75      0.86
VA91-296  910821       3    23    139     19.00        122.67   0.0984      42.92     60.67
VA91-298  910730       3     5     40      5.00         40.33   0.0074      62.89     81.73
VA91-300  910729       3    16    169     15.67        168.67   0.0264      42.45     21.42
VA91-302  910728       3     3      6      3.00          6.00   0.0445      24.91      4.68
VA91-303  910827       3     1      1      0.67          0.67   0.0000      70.07     76.82
VA91-307  910827       3    23    181     20.33        160.00   0.1615      21.93      4.64
VA91-309  910729       3     7     47      6.67         47.00   0.0215      55.58     87.08
VA91-312  910728       3     0      0      0.00          0.00   0.0000        .         .  
VA91-314  910724       3    12     96      9.67         91.67   0.0583      26.52      7.71
VA91-315  910724       3    14    114     12.33        111.67   0.1163      23.29      2.57
VA91-316  910912       3    11     64     11.33         63.67   0.0914      44.66     86.38
VA91-317  910829       3    12     65     11.33         64.67   0.0406      57.04     97.08
VA91-319  910723       3     4     85      4.00         83.33   9.3150      66.45     97.48
VA91-322  910815       3    11     56     10.67         55.67   0.0134      43.29     80.80
VA91-325  910815       3     3     13      3.33         12.67   0.0056      74.63     89.22
VA91-326  910723       3    14    100     13.67         98.00   4.9397      59.18     85.28
VA91-328  910824       3    19    186     18.00        166.33   0.3329      43.43       .  
VA91-330  910817       3     3     15      2.67         14.67   0.0029      72.90     97.55
VA91-333  910722       3    16    170     15.00        169.00   5.8147        .         .  
VA91-335  910906       3    29    156     25.33        150.00   0.1870      22.63       .  
VA91-336  910816       3    11     73     10.67         72.67   0.1949      59.97     91.79
VA91-337  910906       3    34    426     27.33        342.67   0.2104      21.80       .  
VA91-338  910726       3    25    175     16.33        103.67   0.1198      22.81      5.48
VA91-339  910728       3    12    121     11.00        119.67   0.6471      45.63     59.67
VA91-340  910907       3    25    453     19.00        420.00   0.2400      27.99       .  
VA91-341  910722       3    39   1181     22.00        216.00   0.6922      14.89      2.37
VA91-342  910723       3    16    118     13.33        114.00   0.5808      60.63     76.92
VA91-343  910905       3    10     59      9.67         58.67   1.3913      61.08     96.44
VA91-344  910726       3    19    287     15.67        271.33   0.1499      50.11     58.32
VA91-346  910827       3     5     33      5.33         33.33   0.0151      56.90     83.30
VA91-349  910724       3    51    478     38.33        349.33   0.3965      42.00     59.10
VA91-352  910828       3     3      4      2.67          4.33   0.0019      40.44     12.07
VA91-353  910730       3     8     58      8.00         57.67   0.0087      25.62      7.76
VA91-355  910809       3     4     16      3.33         15.67   0.0060      50.94     86.01
VA91-357  910809       3     6    156      5.67        155.67   0.0242      24.57      3.42
VA91-358  910810       3     5     46      5.33         46.33   0.0169      25.30      1.11
VA91-360  910810       3     5     49      4.67         48.67   0.0194      23.24      0.39
VA91-362  910805       3     5    201      4.67        200.67   0.0185      81.76     73.46
VA91-365  910811       3    10    551      9.67        551.33   0.1625      45.22     54.66
VA91-369  910804       3    26    668     22.33        660.33   3.1132      39.58     33.90
VA91-371  910803       3    18    282     13.33        247.33   2.5166      28.02      9.79
VA91-372       .       .     .      .       .             .      .            .         .  
VA91-375  910807       3     3     19      2.00         17.67   0.1159      66.96     88.84
VA91-378  910806       3     5     27      4.33         26.33   0.0215      63.39     90.63
VA91-379  910805       3     5     93      5.33         92.67   0.2355      61.54     82.08
VA91-380  910817       3    21    517     18.33        512.33   1.2622      50.39     77.38
VA91-382  910815       3    33    513     26.33        490.00   0.4277      40.46     40.31
VA91-384  910827       3     9    130      8.67        129.67   0.2981      52.30     90.98
VA91-385  910822       3    11    280     10.67        279.67   0.2710      59.42     91.47
VA91-386  910822       3    30    435     27.33        429.33   0.6919      19.19      8.03
VA91-387  910825       3    20    104     17.00         90.33   1.6194      48.73     81.28
VA91-388  910816       3    39    620     32.33        589.00   0.7103      23.08     11.26
VA91-389  910816       3    19    392     16.33        352.67   2.9087      20.99      6.02
VA91-390  910905       3    26    405     19.00        113.33   0.0901      20.21      2.55
VA91-391  910903       3    21    106     17.67         53.00   0.0086      13.59       .  
VA91-392  910823       3    45    642     34.67        608.67   1.0147      45.05     79.59
VA91-394  910907       3    56    382     39.00        324.33   0.4735      20.09     12.38
VA91-397  910827       3    13     76     10.67         72.33   0.2362      54.91     91.22
VA91-398  910906       3    45   1063     32.00        933.67   1.0953      17.64      0.72
VA91-399  910906       3    61   5081     45.67       4914.00   0.9670      22.02     11.23
VA91-402  910912       3    53   1480     35.67        613.00   1.8663      14.33      1.75
VA91-403  910821       3     9    477      7.67        471.33   0.3142      17.98      2.96
VA91-404  910724       3    13    215     12.33        212.00   0.1150      53.63     68.19
VA91-405  910904       3    12    381     11.33        379.67   0.3116      59.77       .  
VA91-406  910729       3    37    383     33.33        372.33   0.3525      25.27     36.12
VA91-407  910729       3    36    215     31.67        177.33   0.1317      18.91      2.35
VA91-408  910730       3    37    233     27.33        151.33   0.2864      14.09      2.06
VA91-409  910726       3    38    645     28.67        455.00   0.1582      16.58      1.65
VA91-411  910828       3     6     40      5.33         34.33   0.0098      46.34     93.08
VA91-413  910809       3     9     50      9.00         49.33   0.0847      17.87      1.02
VA91-414  910913       3    26     94     24.00         91.33   0.1173      41.95     62.25
VA91-415  910730       3    32    210     27.67        200.00   0.0819      16.85      1.66
VA91-416  910726       3    46    316     38.67        246.67   0.5295      17.01      2.76
VA91-418  910811       3    32   2797     23.67       2670.67   0.8044      50.32     77.29
VA91-421  910810       3    35   1281     26.67       1234.00   0.3293      42.69     55.95
VA91-422  910829       3     9    234      8.67        228.33   0.0601      35.90     62.31
VA91-424  910829       3     5     36      4.67         36.00   0.0141      27.76      5.32

