Dataset:              Benthic Species Abundance Data
File Name:            va91_3_2.txt
Date Created:         03/10/96
# Variables:          7
# Header Records:     17
# Data Records:       3342
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
VA91-261 910803 ACTEOCINA CANALICULATA                3    218    72.67  39.46
VA91-261 910803 ACTEON PUNCTOSTRIATUS                 3     17     5.67   3.51
VA91-261 910803 ALIGENA ELEVATA                       3      2     0.67   0.58
VA91-261 910803 ANACHIS OBESA                         3      3     1.00   1.00
VA91-261 910803 ANCISTROSYLLIS HARTMANAE              3      2     0.67   0.58
VA91-261 910803 ANTHOZOA                              3      2     0.67   1.15
VA91-261 910803 ARICIDEA WASSI                        3      1     0.33   0.58
VA91-261 910803 ASTYRIS LUNATA                        3      3     1.00   1.73
VA91-261 910803 BHAWANIA HETEROSETA                   3      1     0.33   0.58
VA91-261 910803 BRANCHIOSTOMA CARIBAEUM               3     59    19.67  11.59
VA91-261 910803 BRANIA CLAVATA                        3     16     5.33   9.24
VA91-261 910803 CAULLERIELLA SP. B BLAKE              3     10     3.33   2.08
VA91-261 910803 CIRRATULIDAE                          3      1     0.33   0.58
VA91-261 910803 CIRROPHORUS SP. A MORRIS              3      1     0.33   0.58
VA91-261 910803 COROPHIUM TUBERCULATUM                3     39    13.00  19.05
VA91-261 910803 CREPIDULA PLANA                       3      3     1.00   1.73
VA91-261 910803 CREPIDULA SPP.                        3      3     1.00   1.73
VA91-261 910803 DIOPATRA CUPREA                       3      3     1.00   1.73
VA91-261 910803 ENSIS DIRECTUS                        3      1     0.33   0.58
VA91-261 910803 EUCERAMUS PRAELONGUS                  3      1     0.33   0.58
VA91-261 910803 GEMMA GEMMA                           3      1     0.33   0.58
VA91-261 910803 GLYCERA AMERICANA                     3      1     0.33   0.58
VA91-261 910803 GLYCINDE SOLITARIA                    3      5     1.67   2.08
VA91-261 910803 HESIONIDAE                            3      1     0.33   0.58
VA91-261 910803 KURTZIELLA ATROSTYLA                  3      1     0.33   0.58
VA91-261 910803 LEITOSCOLOPLOS ROBUSTUS               3      3     1.00   1.73
VA91-261 910803 LEITOSCOLOPLOS SPP.                   3     22     7.33   5.51
VA91-261 910803 LEPTOSYNAPTA TENUIS                   3      6     2.00   1.00
VA91-261 910803 LISTRIELLA CLYMENELLAE                3      1     0.33   0.58
VA91-261 910803 LOIMIA MEDUSA                         3      1     0.33   0.58
VA91-261 910803 MACOMA BALTHICA                       3      2     0.67   0.58
VA91-261 910803 MALDANIDAE                            3      1     0.33   0.58
VA91-261 910803 MEDIOMASTUS AMBISETA                  3     32    10.67   4.51
VA91-261 910803 MERCENARIA MERCENARIA                 3     12     4.00   3.00
VA91-261 910803 MOLGULA MANHATTENSIS                  3      1     0.33   0.58
VA91-261 910803 MULINIA LATERALIS                     3      1     0.33   0.58
VA91-261 910803 MYSELLA PLANULATA                     3      1     0.33   0.58
VA91-261 910803 MYSIDOPSIS BIGELOWI                   3      2     0.67   0.58
VA91-261 910803 NEANTHES ARENACEODENTATA              3      2     0.67   1.15
VA91-261 910803 NEANTHES SUCCINEA                     3      1     0.33   0.58
VA91-261 910803 NEMERTINEA                            3      6     2.00   1.00
VA91-261 910803 NUCULA                                3      1     0.33   0.58
VA91-261 910803 ODOSTOMIA ENGONIA                     3     53    17.67   7.09
VA91-261 910803 OLIGOCHAETA                           3     65    21.67   7.37
VA91-261 910803 ORBINIIDAE                            3      2     0.67   1.15
VA91-261 910803 PARACAPRELLA TENUIS                   3      4     1.33   2.31
VA91-261 910803 PARAHAUSTORIUS LONGIMERUS             3      6     2.00   2.65
VA91-261 910803 PARAPRIONOSPIO PINNATA                3      2     0.67   1.15
VA91-261 910803 PARVILUCINA MULTILINEATA              3      3     1.00   1.73
VA91-261 910803 PHORONIS SPP.                         3     55    18.33  10.26
VA91-261 910803 PHYLLODOCE ARENAE                     3      6     2.00   1.73
VA91-261 910803 PINNIXA SPP.                          3      5     1.67   1.15
VA91-261 910803 PINNOTHERES                           3      1     0.33   0.58
VA91-261 910803 POLYDORA CORNUTA                      3      2     0.67   1.15
VA91-261 910803 RHEPOXYNIUS HUDSONI                   3      1     0.33   0.58
VA91-261 910803 SACCOGLOSSUS KOWALEVSKII              3      1     0.33   0.58
VA91-261 910803 SPIOPHANES BOMBYX                     3      1     0.33   0.58
VA91-261 910803 STREPTOSYLLIS PETTIBONEAE             3      2     0.67   1.15
VA91-261 910803 TELLINA AGILIS                        3     27     9.00   1.73
VA91-261 910803 TEREBELLIDAE                          3      1     0.33   0.58
VA91-261 910803 TURBELLARIA                           3      1     0.33   0.58
VA91-261 910803 TURBONILLA INTERRUPTA                 3      9     3.00   2.65
VA91-261 910803 Turbonilla sp. B Mountford            3      2     0.67   1.15
VA91-262 910815 ACTEOCINA CANALICULATA                3      2     0.67   1.15
VA91-262 910815 ACTEON PUNCTOSTRIATUS                 3      5     1.67   1.15
VA91-262 910815 AGLAOPHAMUS VERRILLI                  3      1     0.33   0.58
VA91-262 910815 ALIGENA ELEVATA                       3      1     0.33   0.58
