Dataset:              Water Quality Bottom Data
File Name:            va90_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA90-021  900721    6.1  18.42  28.19    8.1     2    73      3  19.97
VA90-022  900723    3.8  18.18  27.94    7.8     3    75      4  19.83
VA90-023  900819    6.6  26.45  21.87    7.1    30    32     24  13.02
VA90-024  900721    4.7  17.71  28.13    7.9     1    78      3  20.09
VA90-025  900722    4.9  17.18  27.74    7.9     2    71      3  19.91
VA90-026  900722    4.6  16.92  27.11    7.9     3    46      3  19.49
VA90-027  900805    8.7  19.42  31.61    7.3     4    88    416  22.32
VA90-028  900731    4.8  21.43  25.71    7.2    11    72     22  17.33
VA90-029  900805    7.0  22.09  31.62    7.2     4    84     10  21.63
VA90-031  900912    7.1  23.81  25.21    8.3    25    46      3  16.30
VA90-032  900804    6.3  24.32  29.43    8.1     8    64      3  19.34
VA90-033  900912    6.3  23.93  20.02    7.9     7    58      6  12.36
VA90-034  900818    7.0  29.05  32.91    7.9    20    22    478  20.48
VA90-035  900803    6.5  24.63  23.86    8.0    12    45     12  15.04
VA90-036  900831    6.8  25.32  15.46    7.6    15    39    115   8.55
VA90-037  900816    7.1  24.05  31.68    7.2     6    83    143  21.12
VA90-038  900816    7.9  20.98  31.81    7.3     4    88     38  22.07
VA90-039  900811    7.3  27.52  18.75    8.0    15    42     30  10.37
VA90-040  900819    6.1  27.71  17.98    7.9     8    63      5   9.73
VA90-041  900720    6.5  27.37  14.60    7.9    14    57     10   7.31
VA90-042  900905    3.4  25.89  21.18    7.8     6    58      8  12.67
VA90-044  900721    6.2  25.32  26.39    7.9     4    46     57  16.75
VA90-045  900720    6.4  27.74  14.17    7.9    12    19    192   6.88
VA90-046  900804    2.0  25.85  26.18    7.6     2    71      3  16.44
VA90-047  900916    5.2  25.17  20.26    7.9     5    47      6  12.19
