Dataset:              Water Quality Surface Data
File Name:            va90_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA90-021   900721    8.4   21.16  26.58    8.3   0     0    60 18.06      . 
VA90-022   900723    7.0   21.96  26.75    8.4   8    75   775 17.97   122.2
VA90-023   900819    7.1   26.65  21.57    7.1  30    31   148 12.74      . 
VA90-024   900721    8.2   22.25  26.51    8.3   5    75  3621 17.71      . 
VA90-025   900722    9.7   22.45  26.36    8.4  12    67   678 17.54      . 
VA90-026   900722    7.9   20.29  26.28    8.2  17    66   685 18.05    12.0
VA90-027   900805    8.6   19.49  31.61    7.3   3    88  1368 22.31      . 
VA90-028   900731    7.0   22.93  25.25    7.1  20    67  1038 16.58    17.0
VA90-029   900805    7.2   22.23  31.62    7.2   5    84   326 21.59      . 
VA90-031   900912    7.9   24.19  25.12    8.4  23    55   683 16.12      . 
VA90-032   900804    7.9   24.31  26.96    8.2  23    68   268 17.48      . 
VA90-033   900912    6.3   23.93  20.01    7.8   8    59   614 12.35      . 
VA90-034   900818    7.1   29.16  32.89    7.9  17    23  1515 20.43      . 
VA90-035   900803    8.7   25.15  23.64    8.2  30    52   925 14.73      . 
VA90-036   900831    5.8   25.34  15.70    7.5  15    42   831  8.72      . 
VA90-037   900816    7.3   24.71  31.69    7.2   2    85  1844 20.93      . 
VA90-038   900816    8.0   21.12  31.76    7.3   3    89  1063 22.00      . 
VA90-039   900811    7.2   27.88  18.76    8.0  13    47  1241 10.26      . 
VA90-040   900819    6.1   27.72  17.98    7.9   8    67   136  9.73      . 
VA90-041   900720    5.6   27.37  14.55    7.9  14    57   175  7.28      . 
VA90-042   900905    5.4   25.64  20.55    7.9   6    66   312 12.27      . 
VA90-044   900721    6.8   26.70  23.55    8.0   5    66   534 14.21      . 
VA90-045   900720    6.2   27.72  14.18    7.9  12    19   267  6.89      . 
VA90-046   900804     .      .      .       .    .     .     .   .        . 
VA90-047   900916    5.8   25.00  19.70    8.0   7    72  1156 11.82      . 
VA90-048   900722    6.8   24.87  24.25    8.0   4    77   283 15.27      . 
VA90-050   900720    7.6   27.75  13.98    8.1   6    63  1654  6.73      . 
VA90-051   900731    9.0   27.33  19.89    8.6   7    78   469 11.27      . 
VA90-052   900905    7.3   22.13  31.80    7.2   4    86   289 21.75      . 
VA90-053        .     .      .      .       .    .     .     .   .        . 
VA90-054   900731    9.4   28.19  18.33    8.5  14    62  1258  9.84      . 
VA90-055   900824    6.3   25.55  15.01    7.9   6    77    77  8.15      . 
VA90-056   900819    8.5   27.61  13.05    8.4  11    30  1319  6.09      . 
VA90-057   900725    7.5   28.42  16.58    8.0   9    47   217  8.47      . 
VA90-058   900817    7.6   26.61   9.28    8.3  20    45   725  3.57      . 
VA90-059   900722    6.8   26.21  23.02    7.9  12    66   208 13.96      . 
VA90-060   900803    8.8   27.85  14.14    8.4   5    72   387  6.82      . 
VA90-061   900725    5.9   27.09  20.59    8.0  16    55   159 11.87      . 
VA90-062   900824    7.0   23.87   9.75    7.7   5    79    52  4.67      . 
VA90-063   900825    6.0   24.87  13.04    7.9   7    79   469  6.86      . 
VA90-065   900907    7.6   25.74  13.41    8.2   9    76   405  6.90      . 
VA90-066        .     .      .      .       .    .     .     .   .        . 
VA90-068   900806     .      .      .       .    .     .     .   .        . 
VA90-069   900726    7.4   21.38  31.42    6.7   9    76   314 21.67      . 
VA90-070   900728    6.8   21.97  28.20    7.0  13    81   165 19.07      . 
VA90-071   900924    7.1   18.18  31.46    8.3   3    82   100 22.52      . 
VA90-072   900804    8.5   20.88  31.45    7.3   4    87   211 21.83      . 
VA90-073   900804    8.4   20.69  31.14    7.2   2    90   216 21.64      . 
VA90-074   900803    8.6   20.55  30.83    7.2   2    88   225 21.44      . 
VA90-075   900803    7.7   19.11  30.27    7.2   4    88   911 21.39      . 
VA90-076   900729    7.8   20.21  28.90    7.1   6    83   425 20.06     9.0
VA90-077   900813    7.1   20.50  28.50    7.2   2    88  1639 19.68      . 
VA90-078   900818    7.9   24.59  27.07    7.2   5    81   933 17.48      . 
VA90-079        .     .      .      .       .    .     .     .   .        . 
VA90-086   900801    4.6   28.39  21.38    7.5  16    65   109 12.06    14.0
VA90-088   900817    3.0   26.28   0.10    7.0  16    26   196 -3.15    11.4
VA90-090   900726    9.2   27.14   1.01    9.0  20     7   713 -2.72    25.0
VA90-099   900815    6.3   25.18  28.46    7.2  25    16  2248 18.35     5.4
VA90-100   900821    7.1   20.20  23.49    7.8   9    75   118 15.95    16.0
VA90-101   900811    6.0   26.09   0.68    7.1   4    40   564 -2.67    15.2
VA90-102   900801    3.6   28.00  11.90    7.3  14    60   152  5.12     9.0
VA90-104   900819    6.2   25.75  27.63    7.1   8    68   144 17.56      . 
VA90-106   900915    6.8   22.47  28.77    8.1  15    67     9 19.36      . 
VA90-112   900727    6.7   28.09   8.47    8.2  29    28    40  2.54      . 
VA90-114   900806    6.8   26.65  10.35    8.2  16    48   160  4.36      . 
VA90-118   900811    6.0   26.11  24.46    7.7  15    64   273 15.06      . 
VA90-122   900721    5.7   23.32  25.61    8.0  23    69   137 16.74      . 
VA90-124   900827    5.7   24.91   3.86    7.3  15    15   214  0.01      . 
VA90-128   900727    7.0   28.20   5.51    8.4  30    13   183  0.31      . 
VA90-130   900811    3.0   27.03   3.83    6.5  15    15    67 -0.60      . 
VA90-134   900823    7.5   23.25   7.26    7.4  24    54    14  2.97      . 
VA90-136   900805    7.6   26.30   2.17    6.9  23    34   259 -1.62      . 
VA90-141   900724    3.2   29.40   0.03    6.3   6    57  1129 -4.09      . 
VA90-144   900721    4.8   28.47  31.98    7.7  16    49   332 19.98      . 
VA90-150   900719    5.2   25.52  29.32    7.7  22    35   462 18.90      . 
VA90-156   900730    6.7   24.46  27.87    7.1   7    79   429 18.12      . 
VA90-158   900810    7.6   22.92  28.84    8.2  13    81   334 19.29      . 
VA90-159   900719    9.0   19.48  30.03    8.2   2    83  1049 21.11     7.7
VA90-161   900720    6.8   23.64  28.79    8.2   9    67   264 19.05      . 
VA90-166   900905    6.7   21.41  31.89    7.2   3    87   400 22.02      . 
VA90-169   900821    4.9   22.30   0.15    7.2   8    72   475 -2.11      . 
VA90-173   900730    5.0   24.18  19.57    7.6   5    72   203 11.95      . 
VA90-177   900812    5.7   25.72   7.23    7.1   5    23  1391  2.30    32.6
VA90-178   900819    7.7   26.02   0.08    7.0   4    59   393 -3.10      . 
VA90-180   900816    7.2   26.56  11.53    8.3  12    74   393  5.26      . 
VA90-182   900806    7.2   26.38   8.96    8.3  19    59   178  3.40      . 
VA90-184   900806    5.9   26.64   5.82    7.5   9    48   261  0.99      . 
VA90-186   900825    5.9   26.15   0.14    6.9   6    42   601 -3.09      . 
VA90-188   900826    5.2   25.99   0.14    7.0   9    43   329 -3.04      . 
VA90-190   900815    5.0   27.50  13.43    7.8  16    53   451  6.40      . 
VA90-192   900726    6.8   28.19   2.71    7.1  23    13   704 -1.76      . 
VA90-194   900726    9.5   29.60   0.05    8.5  30    13   455 -4.13      . 
VA90-196   900805    5.6   27.30   0.04    7.4  30     8   160 -3.48      . 
VA90-199   900811    6.4   26.45   4.54    7.1   7    52   467  0.09     6.4
VA90-200   900908    6.2   26.88   0.04    7.0  23    40   119 -3.36      . 
VA90-202   900911    6.1   26.14  19.21    7.8   7    58  1397 11.12      . 
VA90-204   900821    5.7   26.75  15.74    7.7   8    40   267  8.34      . 
VA90-206   900910    5.8   25.99   3.85    7.6  16    17   154 -0.29      . 
VA90-208   900910    4.5   26.62   0.12    7.3  17    31   489 -3.23      . 
VA90-210   900723    7.7   30.48   0.10    7.5  25    27   440 -4.36      . 
VA90-215   900810    5.8   25.61   0.12    7.1  12    52   218 -2.96      . 
VA90-217   900809    8.1   26.20   0.11    7.1  13    52  1088 -3.12      . 
