Dataset:              Water Quality Bottom Data
File Name:            va_91_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       101
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA91-261  910803    6.4  26.47  22.95    7.9    13    58     19  13.83
VA91-262  910815    5.2  21.45  30.73    7.9    10    54      3  21.13
VA91-263  910803    8.1  28.39  15.07    7.8    17    20      8   7.36
VA91-265  910815    5.1  25.19  27.63    8.0    15    27      3  17.72
VA91-266  910817    7.0  27.01  20.66    7.9    15    43    864  11.95
VA91-269  910804    6.5  28.63   7.46    7.5    10    30      6   1.63
VA91-270  910817    6.4  26.62  22.76    8.0     7    65     23  13.64
VA91-271  910816    7.2  26.17  22.83    8.2     8    72    144  13.82
VA91-273  910804    6.6  28.54   0.11    7.3    23    19      2  -3.78
VA91-275  910805    7.1  28.23   0.08    7.2    23    14      2  -3.71
VA91-276  910816    5.4  26.50  21.11    7.9    10    55      7  12.44
VA91-278  910805    7.4  29.10   0.11    7.4    12    23      3  -3.94
VA91-279  910823    4.8  26.01  24.55    7.9     7    58      5  15.16
VA91-281  910809    5.1  27.49  17.47    7.7     9    70      5   9.42
VA91-282  910812    5.6  26.72  18.74    8.0    10    57      7  10.60
VA91-283  910823    4.2  26.52  21.70    7.9     4    50      3  12.87
VA91-284  910810    3.9  26.52  19.98    7.8     6    78      8  11.58
VA91-285  910822    5.7  26.62  18.80    7.8     9    58     13  10.67
VA91-288  910810    5.9  27.57  12.76    7.4    12    16      4   5.88
VA91-290  910811    4.2  27.21  16.83    7.7     7     .     38   9.02
VA91-291  910811    7.2  26.61  15.78    8.0     9    72     11   8.42
VA91-292  910822    7.5  26.31  17.41    8.0     7    43     65   9.72
VA91-294  910730    6.6  27.63   1.81    7.0    12    29      4  -2.26
VA91-295  910821    7.1  26.86  16.85    8.1     6    76     77   9.14
VA91-296  910821    6.0  26.76  16.93    7.9     8    41      3   9.23
VA91-298  910730    6.2  27.30   0.20    7.0    20    14      3  -3.36
VA91-300  910729    6.4  28.69   0.04    6.8    30    25      3  -3.88
VA91-302  910728    1.0  27.50  14.82    7.3     3    81     27   7.44
VA91-303  910827    6.2  26.26  16.81    7.9     7    77      5   9.29
VA91-307  910827    6.5  26.30  16.95    7.9     7    56     63   9.38
VA91-309  910729    7.3  29.06   0.04    7.0    30    30      3  -3.98
VA91-312  910728    0.1  27.49  14.35    7.2     5    67     66   7.09
VA91-314  910724    5.2  29.47  12.39    8.1    14    58    836   5.03
VA91-315  910724    5.3  28.42  10.51    7.6    19    57     78   3.96
VA91-316  910827    7.3  26.01  15.98    8.0     7    44     29   8.74
VA91-317  910829    6.8  26.40  14.02    7.9    19     8      3   7.16
VA91-319  910723    8.4  29.96   2.99    7.6     7    66     56  -2.08
VA91-322  910815    6.1  26.67  14.07    8.2     9    47     18   7.12
VA91-325  910815    1.1  25.51  17.00    7.6     4    65      8    .  
VA91-326  910723    8.5  29.93   0.19    8.5    21    27      3  -4.13
VA91-328  910822    7.6  27.55  28.68    8.3    23    39   1029  17.79
VA91-330  910817    2.9  26.83  14.06    7.8     5    44      2   7.07
VA91-333  910722    7.0  29.85   0.17    8.1    12    25     64  -4.12
VA91-335  910904    6.5  22.56  30.30    8.2     9    69      4  20.50
VA91-336  910816    4.9  27.01  12.86    7.9     8    41      5   6.12
VA91-337  910904    6.4  23.23  28.94    8.3    11    62      5  19.28
VA91-338  910723    8.6  26.02  27.57    8.0    25    64     27  17.43
VA91-339  910728    5.1  26.34  11.00    7.5     8    47      9   4.93
