Dataset:              Fish Community Abundance Data
File Name:            va90_4_7.txt
Date Created:         02/23/96
# Variables:          4
# Header Records:     14
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              #TAXA        Total no. of fish taxa in trawl
              #ORGS        Total no. of individual fish in trawl

STA_NAME    DATE       #TAXA    #ORGS
VA90-021       .           .        .
VA90-022  900723           4       18
VA90-023  900828           3        7
VA90-024       .           .        .
VA90-025       .           .        .
VA90-026       .           .        .
VA90-027  900805           2        2
VA90-028  900922           2        3
VA90-029  900805           1        1
VA90-031  900829           1        1
VA90-032  900804           2        7
VA90-033  900830           2        4
VA90-034  900818           6      184
VA90-035  900803           1       21
VA90-036  900831           8       58
VA90-037  900816           1        1
VA90-038  900816           1        1
VA90-039  900811          10      157
VA90-040  900819           9      321
VA90-041  900918           1        1
VA90-042  900803           3       32
VA90-044  900721           3       26
VA90-045  900720           2        6
VA90-046  900804           9      290
VA90-047  900729           7       90
VA90-048  900722           5      246
VA90-050  900720           4       30
VA90-051  900731           7       73
VA90-052  900826           1        1
VA90-053  900803           5      332
VA90-054  900731          12      519
VA90-055  900824           8       77
VA90-056  900819           2        2
VA90-057  900725           4       44
VA90-058  900817           5        9
VA90-059  900722           4       43
VA90-060  900803           4       53
VA90-061  900725           4       39
VA90-062       .           .        .
VA90-063  900825           6      399
VA90-065  900816           1        2
VA90-066  900824           4       58
VA90-068       .           .        .
VA90-069  900726           1       19
VA90-070  900728           3        7
VA90-071  900924           3       27
VA90-072  900804           2       13
VA90-073       .           .        .
VA90-074       .           .        .
VA90-075       .           .        .
VA90-076       .           .        .
VA90-077  900927           0        0
VA90-078  900818           2      151
VA90-079       .           .        .
VA90-086  900801           6      229
VA90-088  900826           4      327
VA90-090  900726           6      195
VA90-099  900726           4       11
VA90-100       .           .        .
VA90-101  900811           6       44
VA90-102  900801           2        2
VA90-104  900808           4       28
VA90-106  900814           3       39
VA90-112  900904           7      344
VA90-114  900806           1        2
VA90-118  900811           2        2
VA90-122  900921           2        2
VA90-124  900916           4        9
VA90-128  900727           4      554
VA90-130  900811           6      333
VA90-134  900815           0        0
VA90-136  900805           6       79
VA90-141  900724           1        1
VA90-144  900721          10      193
VA90-150  900719          11       43
VA90-156  900730           3       39
VA90-158       .           .        .
VA90-159  900719           3       11
VA90-161  900720           1        4
VA90-166       .           .        .
VA90-169  900821           1        1
VA90-173  900730           3       22
VA90-177  900812           2       51
VA90-178  900910           6       68
VA90-180  900816           0        0
VA90-182  900915           1        1
VA90-184  900727           6      372
VA90-186  900825           6      190
VA90-188  900826           6      124
VA90-190  900815           7      154
VA90-192  900726           5      101
VA90-194  900726           4       59
VA90-196  900805           6      143
VA90-199  900811           4       18
VA90-200  900805           7       87
VA90-202  900802          10      636
VA90-204  900821          11       47
VA90-206  900822          11       74
VA90-208  900822           8      106
VA90-210  900723           5       64
VA90-215  900810           5      240
VA90-217  900809           5       55
VA90-219  900728           8      298
VA90-223  900729           7       22
VA90-227  900808           4        8
VA90-231       .           .        .
VA90-250       .           .        .
VA90-252  900826           8      360
VA90-254  900725           7       39
VA90-256  900810           2       14
VA90-258  900810           5       55
