Dataset:              Station Information Data
File Name:            va92_1_3.txt
Date Created:         02/23/96
# Variables:          5
# Header Records:     15
# Data Records:       103
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              CLASCODE     Station class
              STRATA       Strata (L: Large, TR: Tidal River, O: Other/Small)
              STA_AREA     Station area (km2)
              ESTUARY      Estuary name

STA_NAME  CLASCODE        STRATA     STA_AREA  ESTUARY
VA92-451  BASE                O         27.51  NANSEMOND RIVER               
VA92-452  BASE                O          7.57  BROAD/LINKHORN BAY            
VA92-453  BASE                TR        43.19  JAMES RIVER                   
VA92-454  BASE                L         70.00  CHESAPEAKE BAY                
VA92-455  BASE                L         70.00  CHESAPEAKE BAY                
VA92-457  BASE                TR        66.16  JAMES RIVER                   
VA92-460  BASE                L         70.00  CHESAPEAKE BAY                
VA92-461  BASE                TR        35.94  JAMES RIVER                   
VA92-462  BASE                L         70.00  CHESAPEAKE BAY                
VA92-464  BASE                TR        17.03  JAMES RIVER                   
VA92-466  BASE                O        148.87  MOBJACK BAY                   
VA92-467  BASE                O          6.36  APPOMATOX RIVER               
VA92-468  BASE                O         26.25  CHICKAHOMINY RIVER            
VA92-469  BASE                TR         4.95  JAMES RIVER                   
VA92-470  BASE                L         70.00  CHESAPEAKE BAY                
VA92-471  BASE                O         27.78  PAMUNKEY RIVER                
VA92-472  BASE                L         70.00  CHESAPEAKE BAY                
VA92-473  BASE                L         70.00  CHESAPEAKE BAY                
VA92-474  BASE                L         70.00  CHESAPEAKE BAY                
VA92-475  BASE                L         70.00  CHESAPEAKE BAY                
VA92-477  BASE                TR        54.44  RAPPAHANNOCK RIVER            
VA92-478  BASE                L         70.00  CHESAPEAKE BAY                
VA92-481  BASE                TR         9.77  RAPPAHANNOCK RIVER            
VA92-482  BASE                L         70.00  CHESAPEAKE BAY                
VA92-483  BASE                O         28.19  BIG ANNEMESSEX RIVER          
VA92-484  BASE                TR         2.93  RAPPAHANNOCK RIVER            
VA92-485  BASE                TR        91.17  POTOMAC RIVER                 
VA92-486  BASE                O         36.54  ST MARYS RIVER                
VA92-487  BASE                L         70.00  CHESAPEAKE BAY                
VA92-488  BASE                O          7.79  MONIE BAY                     
VA92-490  BASE                TR        99.64  POTOMAC RIVER                 
VA92-491  BASE                L         70.00  CHESAPEAKE BAY                
VA92-492  BASE                O         47.40  WICOMICO RIVER (POT)          
VA92-493  BASE                TR        28.54  POTOMAC RIVER                 
VA92-494  BASE                O          7.26  AQUIA CREEK                   
VA92-495  BASE                O         52.94  ASSAWOMAN BAY/ISLE OF WIGHT BA
VA92-497  BASE                L         70.00  CHESAPEAKE BAY                
VA92-499  BASE                TR        68.18  POTOMAC RIVER                 
VA92-500  BASE                L         70.00  CHESAPEAKE BAY                
VA92-501  BASE                O         15.98  HARRIS CREEK                  
