Dataset:              Station Location Data
File Name:            va93_1_2.txt
Date Created:         02/23/96
# Variables:          5
# Header Records:     15
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (decimal degrees)
              DEPTH        Depth (m)
              SYSTEM       Large water body system

STA_NAME     LATDEG     LNGDEG     DEPTH   SYSTEM
VA93-601    36.9483   -76.1108       9.0   CHESAPEAKE BAY
VA93-602    37.0072   -76.5325       3.2   CHESAPEAKE BAY
VA93-604    37.0968   -76.0288       4.3   CHESAPEAKE BAY
VA93-606    37.2007   -76.6890       4.1   CHESAPEAKE BAY
VA93-607    37.2128   -76.3583       5.8   CHESAPEAKE BAY
VA93-608    37.2292   -76.1523      10.1   CHESAPEAKE BAY
VA93-609    37.3022   -77.0000      12.1   CHESAPEAKE BAY
VA93-610    37.3065   -77.2503       5.5   CHESAPEAKE BAY
VA93-611    37.3430   -76.6238       4.4   CHESAPEAKE BAY
VA93-612    37.3777   -76.0698      13.7   CHESAPEAKE BAY
VA93-613    37.4043   -77.3937       9.0   CHESAPEAKE BAY
VA93-615    37.5102   -76.1938       9.5   CHESAPEAKE BAY
VA93-616    37.5262   -75.9870       6.2   CHESAPEAKE BAY
VA93-617    37.6423   -76.3182       4.3   CHESAPEAKE BAY
VA93-618    37.6587   -76.1108      13.0   CHESAPEAKE BAY
VA93-619    37.6745   -75.9035       3.0   CHESAPEAKE BAY
VA93-620    37.7075   -76.4817       5.6   CHESAPEAKE BAY
VA93-621    37.9431   -76.8465       2.3   CHESAPEAKE BAY
VA93-622    37.7908   -76.2353      10.8   CHESAPEAKE BAY
VA93-623    37.8070   -76.0275       4.7   CHESAPEAKE BAY
VA93-624    37.8227   -75.8197       5.0   CHESAPEAKE BAY
VA93-626    37.9393   -76.1518      19.0   CHESAPEAKE BAY
VA93-627    37.9553   -75.9437      18.9   CHESAPEAKE BAY
VA93-628    38.0869   -76.9825       4.5   CHESAPEAKE BAY
VA93-630    38.0717   -76.2767      11.3   CHESAPEAKE BAY
VA93-631    38.0878   -76.0680       3.1   CHESAPEAKE BAY
VA93-632    38.1620   -77.0880       7.8   CHESAPEAKE BAY
VA93-633    38.1292   -75.8903       2.9   CHESAPEAKE BAY
VA93-634    38.1480   -75.2325       2.3   MARYLAND COAST
VA93-635    38.1999   -77.2229       5.5   CHESAPEAKE BAY
VA93-637    38.2198   -76.7013       7.2   CHESAPEAKE BAY
VA93-638    38.2202   -76.1928       6.1   CHESAPEAKE BAY
VA93-639    38.2489   -77.2642       6.2   CHESAPEAKE BAY
VA93-640    38.2503   -75.8422       2.3   CHESAPEAKE BAY
VA93-641    38.3167   -75.1094       2.2   MARYLAND COAST
VA93-642    38.3280   -75.8947       2.1   CHESAPEAKE BAY
VA93-643    38.3435   -76.9810       4.6   CHESAPEAKE BAY
VA93-644    38.3525   -76.3180      39.0   CHESAPEAKE BAY
VA93-645    38.4190   -77.2732       6.1   CHESAPEAKE BAY
VA93-647    38.4845   -76.4435      11.5   CHESAPEAKE BAY
VA93-648    38.4863   -76.6585       4.6   CHESAPEAKE BAY
VA93-649    38.5965   -76.0650       3.8   CHESAPEAKE BAY
VA93-650    38.6332   -76.3592       4.1   CHESAPEAKE BAY
VA93-651    38.6852   -77.1037       1.6   CHESAPEAKE BAY
VA93-652    38.7150   -76.1142       1.9   CHESAPEAKE BAY
VA93-653    38.7652   -76.4852       8.9   CHESAPEAKE BAY
VA93-654    38.8570   -75.2195       2.7   DELAWARE BAY
VA93-655    38.9030   -77.0734       4.6   CHESAPEAKE BAY
VA93-657    38.9138   -76.4005      16.9   CHESAPEAKE BAY
VA93-658    38.9197   -76.2800       5.8   CHESAPEAKE BAY
VA93-659    38.9496   -74.8946       2.8   NEW JERSEY COAST
VA93-660    39.0043   -75.1320       4.4   DELAWARE BAY
VA93-661    39.0253   -76.1883      10.6   CHESAPEAKE BAY
